pid	Verbal Report	cat_score_high	cat_score_low	cat_score_med	cat_cost_high	cat_cost_low	cat_cost_med
82	I started off randomly with the intent of finding the values of all the circles.  Once I determined that positive generally netted more positive, I tested it a couple of times and then I continued with the positive.	1	0	0	0	1	0
83	I would typically start with uncovering the $ of one of the inner 4 circles. If it was green I would click on one of the circles at the end of that route. If that circle was +12 or +20, I'd go for it. If not, I'd click on the other destination circle. I'd then go for whichever had a higher positive number. If neither were positive, I'd be at a loss and venture out randomly or bite the bullet. 	1	0	0	0	0	1
84	It was imperative that i made the most informed first move so I at least revealed the amount for the first four moves on each round. 	1	0	0	0	1	0
85	Try and guess the best first layer, then find the best final destination.	1	0	0	1	0	0
86	Seeing if there were any patterns forming, then trying them out.	0	1	0	0	1	0
87	I was not exactly sure how to plan the route but just kind of went in any direction that was having it go forward.	0	1	0	1	0	0
88	I tried to pick atleast one so i would know if it was worth going that way or not	1	0	0	1	0	0
89	Best overall payout found, hopefully without revealing all the numbers	0	0	1	0	1	0
90	looking for positive numbers	1	0	0	0	0	1
92	i guessed	0	0	1	1	0	0
93	Random	0	1	0	0	0	1
95	I chose to reveal the closest options to the center. if any of those were negative, I ruled them out of my 'flight plan'. if any of them were positive, I revealed the end destination to determine which endpoint was better. 	1	0	0	0	1	0
96	Checking the value of my moves	0	1	0	1	0	0
97	Stayed away from negative amounts for the most part	1	0	0	0	1	0
98	I clicked on several amounts and chose the route that appeared most beneficial.	0	1	0	0	0	1
99	I would gather as much information as possible before moving in order to lose less in the end.	1	0	0	0	0	1
100	Trying to determine best first decision and then ending location since I needed to pass through intermediate location either way.	0	1	0	1	0	0
101	I tested the first level each time and then the second level based on the best payout on the first level.  Based on that I checked the final destination.  If the amounts were close I checked several paths.  I tried not to spend more than I needed	1	0	0	0	0	1
102	just guessing	0	1	0	0	0	1
103	Followed my first instinct	1	0	0	1	0	0
104	/i tried tofind the maximum amount of money 	0	0	1	0	0	1
105	I tried to find what paid the most.	0	0	1	0	0	1
106	I decided to wing it.	0	1	0	0	0	1
108	I typically picked one or two of the original hubs and went with the higher amount.	0	1	0	1	0	0
109	Assess each of the first steps in each route, then, using those values, eliminating the routes which risked the most loss of money and further assessing the remaining routes until discovering the best path to take.	0	0	1	0	0	1
110	I did not check prices before hand, I chose directions at random	0	1	0	1	0	0
111	it was difficult.	0	1	0	1	0	0
112	I tried to choose different routes than the negative one before.	0	1	0	1	0	0
115	By calculating which route would make the the most amount of money with the least amount of clicks.	1	0	0	0	1	0
116	I tried to deduce what path would gain a profit as soon as possible	0	1	0	0	0	1
117	I just picked what I felt in my gut most the time, tried using some probability of where the negative numbers might be.	0	1	0	0	1	0
118	I chose to reveal the end of the routes and go that way if there was a positive sum of money	0	0	1	1	0	0
119	Tried to look at the best route, and follow it.	0	1	0	0	1	0
120	I was looking for the most money to be collected on my route	1	0	0	0	1	0
121	At first I looked at the inner routes, choosing one and going off of that. Then I shifted to the final outer destinations. After consistently having bad luck, I gave up with wasting $4 every guess.	0	1	0	1	0	0
122	played the guessing game	0	1	0	1	0	0
123	guessing	0	1	0	1	0	0
124	Just went for the same route every time.	0	1	0	0	0	1
125	I tried to take each route at least once whether or not I had lost money on the route before.	0	1	0	0	1	0
126	Check the prices beneath the closest NSEW circles. For any positives, check the next respective circles. Whichever yields a larger profit, click the left and/or right circle(s) to determine which was the best route.	1	0	0	0	1	0
127	I previewed some of the spots to determine the better routes.	0	1	0	0	1	0
128	I tried to maximize profit.	0	0	1	0	1	0
129	I first clicked on a circle adjacent/closest to the plane as there are only four of those options, and the pane will have to travel through one of those four paths before they branch out. At first, I focused more on risk taking. Later in the game, I focused more on preserving the bonus I had accumulated.	0	0	1	0	0	1
130	By choosing certain destinations to understand what the probable amount of the final destination would be	0	1	0	0	1	0
131	At first, I just revealed all locations to see what the earnings were, then went for the most earnings.  Then, I decided to try not to lose 10 cents by not choosing so many locations, once I saw that the opening spots were + or -	1	0	0	0	1	0
132	I didn't do much planning, This game was not fun at all.	0	1	0	1	0	0
133	I did the 4 immediately around the airplane first then decided where to go based on whichever was the highest amount	1	0	0	0	0	1
134	I found the route that had the highest positive value and then the secondary stop with the highest value and followed that route.	1	0	0	0	0	1
135	Tried to pick a destination that payed out positive.	0	0	1	1	0	0
136	At first I clicked every route. 	0	0	1	0	1	0
137	i performed using a typical route	0	1	0	0	1	0
138	Poorly, as it turned out.  Because it was random, I had assumed that sticking to the same route was the best option.  Then I wavered.  	0	1	0	0	1	0
139	I was just looking for the highest pay on the way	1	0	0	0	0	1
140	I randomly clicked through the routes. If I found a bad route I went to it again. If I found a good route, I left it and tried another. 	0	1	0	0	1	0
141	I tried to use my choices wisely.	0	1	0	0	0	1
142	I checked to see the best route 	0	1	0	0	1	0
143	I honest couldn't figure out a good pattern.	1	0	0	1	0	0
144	I revealed which directions I should travel by what had the largest payout.	1	0	0	0	1	0
145	I just went with what felt right	0	1	0	0	0	1
146	Sometimes I would reveal the value, other times I would just take a chance.	1	0	0	1	0	0
147	randomly. 	0	1	0	0	0	1
150	Reveal the closest circles first. Then reveal the circles after the highest closest ones. then repeat for the last circles.	0	0	1	0	0	1
151	I would click the first one then see if it was a plus or minus. 	1	0	0	0	1	0
152	just random	0	1	0	0	0	1
153	At first I tried to come up with a plan, but it did not seem to work so I ended up just guessing and hoping for the best.  Obviously that did not work well either!  	0	0	1	1	0	0
154	Going for altitude and maybe forward, moving as a plane would move	0	1	0	1	0	0
156	I checked the inner spots first to see which had the higher/lower payout and then went from there.	0	0	1	0	0	1
157	Started with the closest circles, then plotted out the most promising routes	0	0	1	0	1	0
158	random	0	1	0	0	1	0
159	I clicked on the final destinations first. When I found a positive number (especially if it was 12 or 20), I would start tracing back to the starting point to see how profitable the overall trip would be. I would then pick which one I either thought or knew was the most profitable.	1	0	0	0	1	0
160	I looked for the most money, I focused on positive paths first and saw what the best path was	0	0	1	0	1	0
161	took path that started with positive number	0	0	1	0	0	1
162	Tried to estimate what would make me gain the most using the least clues	0	0	1	0	0	1
163	I looked at the values and picked the values that would gain me more money. 	1	0	0	0	1	0
165	I clicked on the amounts. 	0	1	0	0	1	0
167	I chose and end point and if it was positive I took my chances getting there. If it was negative I went the other direction.	1	0	0	1	0	0
168	looking for highest value in squares closest	0	0	1	0	1	0
169	To reveal the amount of each location then looking for most positive route.	0	0	1	0	1	0
170	I tried to maximize my winnings.	1	0	0	1	0	0
171	Randomized it as best as I could	0	1	0	1	0	0
172	At first I picked randomly but after several rounds I decided to plan to go in the northwest direction every time rotating counter-clockwise in each consecutive round.	1	0	0	1	0	0
173	tried to make the most money	1	0	0	1	0	0
175	I first uncovered the values of all the destinations one hop away from the start. From there, I followed paths of positive values first. If I hit upon a path with all positive values that seemed high, I usually stopped uncovering values and chose that route. If all the initial nodes showed negative or low positive values, it was usually necessary to uncover many more nodes before making a decision.	1	0	0	0	1	0
177	I looked for a certain profit.	1	0	0	0	1	0
178	I generally tried to go up first	0	1	0	0	1	0
179	Attempted to see if the final destination was positive enough to be worth it.	1	0	0	1	0	0
180	I would check in all directions, and chose the best	0	0	1	0	0	1
181	it should be at least minimally profitable	1	0	0	1	0	0
182	By finding the route that gave the most money to start out and then click from there to find the best path.	1	0	0	0	1	0
183	clicking last circle at end and beginning circ	0	0	1	0	1	0
184	As soon as I uncovered a route then ended with a positive total I took it.	1	0	0	0	0	1
185	I tried to gather as much information as possible to determine what route would be optimal by revealing the monetary values.	0	1	0	0	1	0
186	looked for positive values	1	0	0	0	1	0
187	based on the ultimate reward	0	1	0	1	0	0
188	If one route gave me more I'd take that route again but the values always changed. 	0	0	1	1	0	0
189	I tried to see if the route paid.	0	1	0	1	0	0
191	picked a couple of endpoints to reveal value.	0	0	1	1	0	0
193	i would click the closest route first then guess from there as it would cost too much to reveal anything after 	0	0	1	1	0	0
195	I just guessed	0	0	1	1	0	0
196	looked for $20s or the highest amount and went in that direction	0	0	1	1	0	0
197	At first I tried to just uncover the first stops of the plane to decide in which direction to go, but then as I went on, I went with uncovering more to try and find the highest value and least negatives.	0	0	1	0	1	0
198	I generally paid extra to view the last stops and see their values.  Then I worked inward, paying to see earlier stops to try to find the most advantageous route.  	1	0	0	0	0	1
199	I tried to decide which route would give me the best gain on the first move.	0	0	1	0	0	1
201	I found a direction that earned a decent amount and stuck with it until the amount earned became negative.	0	1	0	0	0	1
202	revealed endpoints, and paths along the way to greatest rewards	1	0	0	0	1	0
203	random choice	0	1	0	1	0	0
204	At first I just guessed, because I didn't want to have to pay $4.00	0	1	0	1	0	0
205	I initially didn't check the amount of the route and was blindly moving. I then decided to take the hit to my bonus to see the right path where I could gain. It worked briefly but I felt it was still by chance as each move was a coin toss after the first move.	0	1	0	0	1	0
206	I just clicked to I found a positive number	0	0	1	0	0	1
207	I just picked a direction and went with it.	1	0	0	1	0	0
209	Mostly trying to quickly find a profitable route without incurring information costs	1	0	0	0	0	1
210	I always tried to pick the best first move and hoped for the best from there.	1	0	0	0	0	1
212	I used intuition, poorly.	0	0	1	1	0	0
213	chose the route that I thought would give me the best bonus	1	0	0	0	1	0
214	I looked for an optimum destination and tried to reach it as cheaply as possible	0	1	0	1	0	0
216	Tried to identify most profitable first trip/	0	0	1	1	0	0
217	I would click on a single circle and depending on my route plan around that.	1	0	0	1	0	0
218	I tried to find path that started with a net gain, and then hoped for the best	1	0	0	1	0	0
219	Mostly at random 	0	1	0	0	1	0
220	Well, at first I was doing them randomly. Then I began forming an idea of doing them diagonally. 	0	1	0	0	0	1
222	guessing instead of wasting $4 for worthless info	0	0	1	1	0	0
223	By choosing the path that got me the most money	1	0	0	0	0	1
224	At first it took me longer.	0	0	1	0	1	0
225	At first it was to check the beginnings of each route, then check the ends of the best, but it became apparent quite quickly that this was counterproductive.  From then it was mostly just checking until I found a decent start, then checking the ends, which was okay but very easily ruined by bad luck when picking.	1	0	0	1	0	0
226	I checked one of the four routes to see if it was a large negative, then I guessed one of the remaining three and hoped for the best.	0	1	0	0	0	1
227	Guessing where to go and hoping for the best. 	1	0	0	1	0	0
228	I didn't. I really didn't understand what was going on with this, even after reading the directions.	0	1	0	0	1	0
229	Good guessing honestly 	0	0	1	1	0	0
230	I searched all 4 of the starting points and then uncovered the path of the starting points with positive values until i found one that ended up with the most positive sum.	1	0	0	0	1	0
231	I looked at the areas with the highest price attached.	0	0	1	0	0	1
232	I tried to not repeat my moves.	0	0	1	1	0	0
233	trying to calculate the most in profit 	1	0	0	0	0	1
234	highest next to beginning then checked one over	0	0	1	0	0	1
236	Not really since planning only helps if there are patterns	0	1	0	0	1	0
237	I checked the first four circles around the plane chose the two circles with the highest amounts. I then checked both of those circles destination circles and took the route that had the highest destination amount.	1	0	0	0	0	1
238	I would look at prices for 2 routes and choose the best one.	0	0	1	0	1	0
239	If there were two green numbers and they added up to bring my negative to a positive then I went that route. 	1	0	0	0	0	1
240	trying different methods never came to a real system i do believe the amounts did have some type of planned rotation tho	0	1	0	0	1	0
242	I clicked all four of the first choices and then usually clicked two choices from those.	1	0	0	0	0	1
243	Sometimes I just went with my gut feeling. Other times I liked to click on one of the outer numbers to see how much I could earn. Mostly I think I was trying to avoid losing money so I tried not to check the amounts too much.	0	0	1	0	0	1
244	I started with positive routes and explored only as far as I needed to to gain a profit. 	0	0	1	0	1	0
245	By Expectation .	0	0	1	1	0	0
246	Tried to find the least expensive and highest paying without spending too much money before. 	0	0	1	0	0	1
247	I plan by not going the same way and mixing and varying the direction I would select. 	0	1	0	0	0	1
248	by trying to maximize loss and increase my gains	0	0	1	0	0	1
249	I looked at highest final values and then sometimes check the route to see if it was good or bad on the way	1	0	0	0	0	1
250	Checking the one or 2 options fron the first move	0	1	0	0	1	0
251	I would have to select the destinations to see what would end in a positive outcome. After seeing the (+) amounts, I was then left to guess which route to take. 	0	1	0	0	1	0
252	I just went whatever way I felt like because the amounts change every time anyway.	0	0	1	0	0	1
253	tried to find destinations with good payouts	0	0	1	0	0	1
254	I tried to click as few as possible but I ended up not making very smart decisions	0	0	1	0	0	1
255	I first began by just choosing a path then clearing the rest of the board, however the penalties added up so I changed to first checking the end points of the plane until I found the best result.	1	0	0	0	1	0
256	Originally looking at every thing, after that just guessing, a few times i looked at the numbers in the first move only	0	1	0	0	0	1
258	i picked the between the initial four then I would branch from a positive node attempting to hit a 20 somewhere	1	0	0	0	0	1
260	I wanted to maximize my bonus without incurring too many payments for looking at the spaces. First, I uncovered all of the buttons to see the range of values. For the next several rounds, I just tried to find a fairly high positive value. By the last few rounds, I was aiming for a positive value above 20, and stopped uncovering new spaces when I found a route that would net more than $20.	0	0	1	0	1	0
261	I ended up taking guesses because I didn't know how much I would get with each move.	0	1	0	0	0	1
262	I winged it.	0	0	1	1	0	0
263	I have to be honest--I don;t get this game and was just hoping for the best.	0	0	1	0	0	1
264	I quickly looked for a circle with a positive amount in it	0	0	1	0	0	1
265	Planning didn't matter	0	0	1	1	0	0
266	Started with the first step, and if it was a positive number, pursued the next steps. If the complete route revealed seemed large enough, I did not both to reveal other routes.	1	0	0	0	0	1
268	I clicked on many of the dots to see how much they would cost.	1	0	0	0	1	0
269	Based on the amount at the two hubs	0	1	0	1	0	0
270	Whatever appeared to give me the most amount of money.	1	0	0	0	0	1
271	I found out what was the highest number at the beginnings of the routes, then the end, assuming that the numbers were identical, I then looked at the middle numbers as well.	1	0	0	0	1	0
272		0	1	0	1	0	0
273	how high the landing spot had	0	0	1	0	0	1
274	I tried to look for a path that led to the highest amount without spending a lot. If I found a green path I took it. 	1	0	0	0	0	1
275	I really went with my gut instinct and tried to determine the best route.	0	1	0	0	0	1
276	I tried different ways. First was selecting the node at the intersection and going for the highest reward. That didn't seem to work so I tried going the opposite way. After a while it all seemed random	0	1	0	1	0	0
277	I tried to find the best ending location and then move that direction.	0	1	0	1	0	0
278	Looked at the risks and determined if I was going to make a profit	0	0	1	0	0	1
279	I tried to find out what the final destination highest price would be, and then took the least risky option to get there. I still didn't really pick up on a pattern, but there might have been one.	1	0	0	0	1	0
281	uncovered some of the first leg bubbles, then a few of the outermost bubbles	0	0	1	1	0	0
282	I tried to search for routes that are at least a little profitable.	0	0	1	1	0	0
283	i checked the tiles	0	1	0	1	0	0
284	I was taking turns making it go in different directions	0	0	1	1	0	0
285	I tried to determine probabilities	0	1	0	0	0	1
286	Initially I assumed it was better not to worry about planning the route. So I did not uncover the amounts. Then the losses got out of hand so I began to uncover the routes for to see the ones that would provide the least impact. Since uncovering the amounts held the potential to outpace the profits of most flights a minimalists view was optimal, if not forced. 	0	1	0	1	0	0
287	Initially I looked for patterns, whether or not it was rotating or a mirror of one side versus the other than eventually I gave up and started essentially flying blind because the values didn't appear to provide enough chances of actually making a bonus to begin with. I felt deceived really. 	0	1	0	1	0	0
288	I determined which path would earn the most by spending the money to reveal the award.	1	0	0	0	1	0
289	very carefully .  i went for the green instead of the red.	0	0	1	0	1	0
290	Guessed	0	0	1	1	0	0
292	I would check the four initial (or secondary) squares (since they're really interchangeable -- choosing one is choosing both). Of those (if any) that showed positive, I would check the final destinations. If the greatest positive route from what was shown was less than $20, I would check the final square to ensure the route was, in fact, profitable.	0	0	1	0	0	1
294	I tried to see if the end or beginning had a negative or which had the larger dollar amount.	0	0	1	1	0	0
295	I went for what looked like to be the best path based on only clicking on the four paths around the plane	0	1	0	0	1	0
296	I would check the first at last stop 	1	0	0	0	0	1
297	Do the first four then based off of those pick the best one or two and then do the same thing for those ones.	1	0	0	0	1	0
298	clicking to see which routes had green values without clicking too many to where you would lose more than you would make.	0	1	0	0	1	0
302	I clicked on the circles nearest to the airplane first then made my way out through the rest to determine the most profitable route.	0	0	1	0	1	0
303	I open the 4 possible first moves first and then tried to follow a path that started with the highest green until I felt comfortable with the route.	1	0	0	0	1	0
304	It was wise to uncover all initial steps to determine what would likely be the best path. After that I tried to be as reticent as possible in revealing more information.	0	0	1	0	0	1
305	tried best	1	0	0	0	0	1
306	I had no plan.	0	0	1	1	0	0
307	Tried to not pick the same as the last route. 	1	0	0	1	0	0
308	I tried to reveal a path to an endpoint with a positive value.  While revealing the minimal amount of locations	0	1	0	0	0	1
309	I tried to pick the find the destination with the highest value	0	1	0	1	0	0
310	just guessed and took a chance	0	0	1	0	0	1
311	occasionally clicking the circles, but mostly just winging it.	1	0	0	1	0	0
312	I tried not clicking on the boxes, but than I started clicking on the boxes, but it didn't make a difference	0	0	1	1	0	0
313	viewing the values almost entirely unless one route shows an all negative pattern.	0	0	1	0	0	1
314	based on previous choices	1	0	0	1	0	0
315	Guess	0	0	1	1	0	0
316	If something lit up green I would typically go that way or try to find something light up green before choosing a way to go. 	0	0	1	0	0	1
318	I clicked the center choice for each then revealed those surrounding the ones that were positive amounts	0	0	1	0	1	0
319	It was totally random.	0	1	0	1	0	0
320	Apparently not very well. 	0	0	1	1	0	0
321	I tried to do it blind at first but decided to use one of my options to see the cost.	0	0	1	0	0	1
322	I started with the first four spots, then chose the highest paying ones to pick the remainder of the spots to determine the highest paying route.	0	0	1	0	1	0
324	I revealed destination values and then revealed values on stops along the way based on highest values. 	0	0	1	0	1	0
325	I went the same route each time because it appeared that the best route was completely random each time I played.  There was no consistency to any of the moves or how I was earning money or losing money.	0	1	0	1	0	0
326	i checked the locations for their rewards	0	0	1	0	1	0
328	I tried to use the least number of clicks to find the least risk	0	1	0	0	0	1
329	"I clicked on all the end points to see which ones were \""green\"" and then followed path that earned most money"	1	0	0	0	1	0
330	I did not plan. 	0	0	1	1	0	0
331	At first, I only clicked on a couple of circles for high numbers and was losing a lot. Then I decided to click more circles to find the most $ and just make up for the amount of clicks.	0	0	1	0	0	1
332	it was random 	0	1	0	0	0	1
333	When I found I high amount I went that way	1	0	0	0	0	1
334	I tried only clicking what I needed to 	0	1	0	1	0	0
335	trial and error	0	1	0	0	1	0
336	The route that ended up with the least loss or most gain was effective.	0	0	1	0	1	0
337	I started with going the route where the positive numbers were.	1	0	0	0	1	0
339	I looked for the path that would pay the highest.	0	0	1	0	1	0
340	i uncovered the spots closest to me whatever was positive i went	0	1	0	0	1	0
341	At first I was hesitant to plan at all because I didn't want to lose any money, but I realized the game only scores based on the final outcome. I went based on how much I would gain vs how much I would lose.	0	1	0	0	0	1
342	I wanted to earn as much money as possible.	1	0	0	0	1	0
343	I looked for the highest green values with least amount of red values.	1	0	0	0	1	0
345	Based on the greatest possible expected value at each node.	1	0	0	0	0	1
346	Based on the first highest amount that was shown in the intermediary. Then basically guessing. 	0	1	0	1	0	0
347	First i revealed all the possible options trying to find the most profitable route without spending too much. Then i choose the route that was going to make me the most money	0	0	1	0	1	0
348	Started interiorly and worked outward. If I hit a -$20, I would go to another route. If the negative value was low, I might still consider that route.	1	0	0	0	1	0
349	Started with the first 4 closest locations, followed the positive numbers first	0	1	0	1	0	0
350	I clicked on each option and did the math in my head.	1	0	0	0	1	0
351	I would click until either a profitable route fully appeared or it seemed like I'd lose the least amount of money. Selected the inner circle first, if it was positive, moved outward and finished the route.	1	0	0	0	0	1
352	taking the route that offered the highest paying first stop.	0	1	0	0	0	1
353	Randomly 	0	0	1	1	0	0
354	clicking amounts of nearest dots and going outward from the best paying ones	0	0	1	0	1	0
355	It was random but I did notice I selected the right arrow more often.	1	0	0	1	0	0
356	just tried to pick the best	1	0	0	1	0	0
357	I tried to find the net amount that yielded the highest reward.	1	0	0	0	0	1
358	I went by the biggest award amount from the hints given.	0	0	1	0	1	0
359	I just took a chance.	0	1	0	0	1	0
360	I guessed, as is reflected in my bonus :-(	0	0	1	1	0	0
361	I tried selecting two nodes and moving toward the higher valued node.	0	1	0	0	0	1
362	I felt it was worth investing about 20% to get the best possible outcome	1	0	0	0	1	0
363	at first i had no plan, then I figured out which route was most profitable by clicking more circles.	0	1	0	0	1	0
365	I mainly stuck with take the airplane down, and then randomly chose to go to the right or to the left.	0	1	0	0	0	1
366	I just hit random buttons :)	1	0	0	1	0	0
367	I checked each option in the first level, and immediately explored any that were 12 or 20. If there were no 12s or 20s, I would explore the highest value after checking them all. While exploring down paths, I went with three positive numbers in a row if found without uncovering more values. When their were multiple possibilities, I chose the path with the highest aggregate value based on the information I had.	1	0	0	0	0	1
368	At first I tried to select only one guess then follow that path. towards the end, I took a chance and flew the same path each time	0	0	1	1	0	0
369	I looked for the most Dollars	0	1	0	0	0	1
370	I tried to go in a circle, choosing a different direction in order each time.	1	0	0	1	0	0
371	trying to maximize my bonus	0	1	0	0	0	1
372	I calculated which route was worth most after revealing all of the amounts.	0	0	1	0	1	0
373	In general, I always evaluated the first link, then a second if there was a tie.  However, I don't feel like this was the best plan	0	1	0	1	0	0
374	I started by only revealing the spots right around the airplane.	0	1	0	0	1	0
375	I did a lot of checking the route prices before choosing the route. 	0	0	1	0	1	0
376	I clicked on the end points to see which ones I wanted to head toward first. I looked at those with the bigger positive numbers. Then i clicked on the stops in between. I added up which route made the most money and went that way. 	1	0	0	0	1	0
377	I mainly aimed for the last mark to be high paying.	1	0	0	1	0	0
378	I initially chose to not spend the 10 cents to reveal any values, opting instead to see what plain luck would decide for the route and its bonus. This didn't work too well, so after I while I decided to start revealing the value of the first move by clicking usually no more than two of the first level reveals, then clicking on a relevant third level reveal before I decided on a route. This seemed to give me the best results: clicking first level reveals until I found a good one, then jumping to third level reveals before deciding which route to ultimately take.  	0	1	0	0	1	0
380	I looked at the first circles and saw what they were valued at then went down the path of the highest one.	0	0	1	0	0	1
382	I figured doing a set route would be the best, especially since it changed every round.	1	0	0	1	0	0
