pid,responses,rt,time_elapsed
25,"{""Q0"":""female"",""Q1"":""45"",""Q2"":""USA"",""Q3"":""Full-time"",""Q4"":""1""}",14291,14304
26,"{""Q0"":""Male"",""Q1"":""28"",""Q2"":""USA"",""Q3"":""Self-Employed"",""Q4"":""3""}",18534,18544
27,"{""Q0"":""female"",""Q1"":""28"",""Q2"":""usa"",""Q3"":""employed"",""Q4"":""2""}",10942,10982
28,"{""Q0"":""female"",""Q1"":""38"",""Q2"":""US"",""Q3"":""homemaker"",""Q4"":""2""}",17773,17799
29,"{""Q0"":""male"",""Q1"":""33"",""Q2"":""USA"",""Q3"":""employed"",""Q4"":""5""}",12847,12936
30,"{""Q0"":""Non-binary"",""Q1"":""31"",""Q2"":""United States"",""Q3"":""Not employed"",""Q4"":""3""}",24302,24329
31,"{""Q0"":""non-binary"",""Q1"":""32"",""Q2"":""United States of America"",""Q3"":""Self-Employed"",""Q4"":""4""}",21159,21195
32,"{""Q0"":""female"",""Q1"":""33"",""Q2"":""United States"",""Q3"":""student"",""Q4"":""1""}",32252,32270
33,"{""Q0"":""Female"",""Q1"":""23"",""Q2"":""USA"",""Q3"":""Part-time"",""Q4"":""2""}",27238,27265
33,"{""Q0"":""The last steps had the bigger numbers and I wanted to know which step had 48, so I only clicked on the last steps."",""Q1"":""The first and second steps had the smallest numbers, so I didn't want to waste my $1 on clicking those."",""Q2"":""I stop clicking when I saw 48."",""Q3"":""I was most likely to click on the right wing of either last step."",""Q4"":""I just clicked on the last steps and tried my best to guess where 48 might be.""}",277660,904901
33,"{""Q0"":""I don't think I learned anything. I just learned how to play the game."",""Q1"":""No."",""Q2"":""No, thank you. I enjoy playing this game. Thanks for making my day a little bit brighter.""}",82903,988835
34,"{""Q0"":""female"",""Q1"":""35"",""Q2"":""United States"",""Q3"":""employed"",""Q4"":""3""}",16967,17011
35,"{""Q0"":""female"",""Q1"":""30"",""Q2"":""usa"",""Q3"":""full time"",""Q4"":""1""}",12074,12089
36,"{""Q0"":""F"",""Q1"":""58"",""Q2"":""usa"",""Q3"":""retired"",""Q4"":""2""}",25547,25560
36,"{""Q0"":""just guessed"",""Q1"":""just guessed"",""Q2"":""oh, i didn't realize you could stop clicking. I thought you had to go to the end of a line."",""Q3"":""just any node, guessed."",""Q4"":""i didn't see a pattern so was unable to figure out a strategy.""}",124628,611878
36,"{""Q0"":""Read instructions more carefully."",""Q1"":""It wouldn't have been if I had read more carefully."",""Q2"":""Too bad for me.""}",71046,683926
37,"{""Q0"":""Male"",""Q1"":""20"",""Q2"":""USA"",""Q3"":""Part-time"",""Q4"":""3""}",16747,16756
37,"{""Q0"":""last node gave largest value, so clicked that"",""Q1"":""first two nodes are low value, so not worth clicking as there are 6 nodes total (for the first two steps) for a $6 cost to open them. And just blindly picking one towards the greatest last node value would lose less money."",""Q2"":""when i got 48 in last node"",""Q3"":""last node"",""Q4"":""click last node --> find largest number --> if largest is 24, click on 2nd node""}",148319,666197
37,"{""Q0"":""how to do math?"",""Q1"":""no"",""Q2"":""interesting study, really enjoyed it as opposed to the mindless HITs that we normally do.""}",50402,717603
38,"{""Q0"":""Male"",""Q1"":""23"",""Q2"":""United States"",""Q3"":""Student"",""Q4"":""5""}",16189,16199
38,"{""Q0"":""I would keep clicking the end nodes until i saw the +48"",""Q1"":""I thought that it would only be worth it to click the end nodes"",""Q2"":""Once I saw a + 48"",""Q3"":""the end nodes"",""Q4"":""""}",54480,568887
38,"{""Q0"":""I learned that you were supposed to click as little as possible once you found your goal."",""Q1"":""n/a"",""Q2"":""n/a""}",68938,638828
39,"{""Q0"":""male"",""Q1"":""36"",""Q2"":""USA"",""Q3"":""employed"",""Q4"":""1""}",23724,23735
40,"{""Q0"":""Male"",""Q1"":""30"",""Q2"":""US"",""Q3"":""Full time"",""Q4"":""5""}",49609,49622
41,"{""Q0"":""female"",""Q1"":""31"",""Q2"":""USA"",""Q3"":""homemaker"",""Q4"":""4""}",11574,11598
42,"{""Q0"":""Female"",""Q1"":""31"",""Q2"":""USA"",""Q3"":""Full-time employement"",""Q4"":""3""}",40826,40855
43,"{""Q0"":""Female"",""Q1"":""27"",""Q2"":""The US"",""Q3"":""Full-time employee"",""Q4"":""2""}",40537,40560
44,"{""Q0"":""Male"",""Q1"":""27"",""Q2"":""United States"",""Q3"":""Self-employed"",""Q4"":""3""}",12435,12450
45,"{""Q0"":""Male"",""Q1"":""24"",""Q2"":""USA"",""Q3"":""Full-time"",""Q4"":""1""}",16594,16608
45,"{""Q0"":""I clicked everywhere to take all the luck out of the game."",""Q1"":""I didn't not click anywhere; I clicked every node for every game. To make sure my decisions were not left to chance."",""Q2"":""I clicked everything. So I'd know which path to take for sure."",""Q3"":""First I clicked all right side, then top, then left for each game."",""Q4"":""Click everything to make a guaranteed profit. The $1 cost to reveal a node is cheap relative to it's effect and payout.""}",908949,1519486
45,"{""Q0"":""I learned how balance risk and reward to make a steady profit."",""Q1"":""No."",""Q2"":""""}",57044,1577553
46,"{""Q0"":""Male"",""Q1"":""26"",""Q2"":""USA"",""Q3"":""Self-Employed"",""Q4"":""2""}",28089,28105
47,"{""Q0"":""male"",""Q1"":""24"",""Q2"":""usa"",""Q3"":""n/a"",""Q4"":""1""}",9540,9551
47,"{""Q0"":""I clicked all of the nodes of the first one"",""Q1"":""The nodes near the start weren't worth clicking"",""Q2"":""If I saw a 48, then I took a beeline to that node."",""Q3"":""The end nodes"",""Q4"":""no""}",58473,477804
47,"{""Q0"":""Optimization strategy"",""Q1"":""no"",""Q2"":""no""}",18271,497084
48,"{""Q0"":""female"",""Q1"":""47"",""Q2"":""USA"",""Q3"":""full time"",""Q4"":""4""}",12053,12089
49,"{""Q0"":""Female"",""Q1"":""38"",""Q2"":""United States"",""Q3"":""Self-employed/ part-time"",""Q4"":""4""}",34725,34751
50,"{""Q0"":""Male"",""Q1"":""44"",""Q2"":""United States"",""Q3"":""Self-employed"",""Q4"":""1""}",27344,27353
51,"{""Q0"":""Male"",""Q1"":""25"",""Q2"":""USA"",""Q3"":""Part-time"",""Q4"":""3""}",49434,49448
52,"{""Q0"":""Male"",""Q1"":""30"",""Q2"":""United States"",""Q3"":""Unemployed"",""Q4"":""2""}",20994,21016
53,"{""Q0"":""Male"",""Q1"":""29"",""Q2"":""USA"",""Q3"":""Full-time Employed"",""Q4"":""2""}",30582,30600
54,"{""Q0"":""Man"",""Q1"":""25"",""Q2"":""USA"",""Q3"":""Self employed"",""Q4"":""3""}",10289,10297
55,"{""Q0"":""male"",""Q1"":""30"",""Q2"":""USA"",""Q3"":""Employed full time"",""Q4"":""1""}",28753,28774
56,"{""Q0"":""Male"",""Q1"":""36"",""Q2"":""USA"",""Q3"":""Full-Time"",""Q4"":""1""}",13132,13146
57,"{""Q0"":""female"",""Q1"":""23"",""Q2"":""USA"",""Q3"":""part time employed"",""Q4"":""6""}",21641,21669
57,"{""Q0"":""i decided to go for it and click all the nodes to see the best money making path"",""Q1"":""i clicked all"",""Q2"":""i clicked all to see all options"",""Q3"":""left to right"",""Q4"":""clicked all ""}",52839,636488
57,"{""Q0"":""not sure"",""Q1"":""none"",""Q2"":""none""}",12775,650299
58,"{""Q0"":""Female"",""Q1"":""55"",""Q2"":""The United States of America"",""Q3"":""Employed full-time"",""Q4"":""1""}",26076,26104
58,"{""Q0"":""I tried not to repeat directions, and clicked a different of two nodes."",""Q1"":""I tried not to repeat the node for the direction I went in the previous round."",""Q2"":""I only clicked once - because I didn't want to waste my bank."",""Q3"":""Probably up."",""Q4"":""No, other than I obviously wasn't very good at it. But! I did concentrate, which is why I'm not sure about the range of either round (it seemed like such a long time ago!).""}",132862,604476
58,"{""Q0"":""I'm not a risk taker."",""Q1"":""No."",""Q2"":""Thank you and good luck with your research! This was fun!""}",25119,630603
59,"{""Q0"":""Female"",""Q1"":""31"",""Q2"":""United States of America"",""Q3"":""Full Time"",""Q4"":""9""}",16844,16882
60,"{""Q0"":""Male"",""Q1"":""25"",""Q2"":""United States"",""Q3"":""Full-time"",""Q4"":""1""}",13728,13739
61,"{""Q0"":""male"",""Q1"":""31"",""Q2"":""USA"",""Q3"":""full-time employee"",""Q4"":""1""}",11628,11637
62,"{""Q0"":""female"",""Q1"":""53"",""Q2"":""USA"",""Q3"":""Retired"",""Q4"":""2""}",19642,19664
62,"{""Q0"":""I tried to find a pattern of green hits from the prior round."",""Q1"":""It was a pure guess."",""Q2"":""When I got to the largest sum in green."",""Q3"":""Once I got the hang of it, at the outer reaches of the web."",""Q4"":""My strategy was slow to develop. But once developed it was worth the $1 to click on the outer edges of the web.""}",100718,693172
62,"{""Q0"":""I learned that this was a fun game."",""Q1"":""No."",""Q2"":""Nothing to add.""}",36738,730922
63,"{""Q0"":""Male"",""Q1"":""48"",""Q2"":""USA"",""Q3"":""Employed "",""Q4"":""3""}",16363,16384
63,"{""Q0"":""the end, because is the final value "",""Q1"":""when the final value was not good"",""Q2"":""when i found the best value "",""Q3"":""the end "",""Q4"":""find for the 48""}",58758,558558
63,"{""Q0"":""A good strategy "",""Q1"":""no "",""Q2"":""""}",16668,576230
64,"{""Q0"":""Female"",""Q1"":""36"",""Q2"":""United States"",""Q3"":""Self-employed"",""Q4"":""2""}",15558,15566
65,"{""Q0"":""Female"",""Q1"":""27"",""Q2"":""United States"",""Q3"":""Employed"",""Q4"":""4""}",16734,16748
66,"{""Q0"":""female"",""Q1"":""23"",""Q2"":""usa"",""Q3"":""student"",""Q4"":""4""}",10370,10389
66,"{""Q0"":""I just guessed at first and then decided to click on the final buttons or all buttons one direction."",""Q1"":""the middles were useless for clicking."",""Q2"":""When I got to the highest possible amount in a corner."",""Q3"":""the ends"",""Q4"":""no""}",46765,489614
66,"{""Q0"":""to click the final box"",""Q1"":""NO"",""Q2"":""N/A""}",16790,507422
67,"{""Q0"":""female"",""Q1"":""41"",""Q2"":""America"",""Q3"":""unemployed"",""Q4"":""4""}",28960,28973
68,"{""Q0"":""male"",""Q1"":""35"",""Q2"":""usa"",""Q3"":""full time"",""Q4"":""4""}",13173,13220
69,"{""Q0"":""Male"",""Q1"":""30"",""Q2"":""USA"",""Q3"":""Full Time"",""Q4"":""1""}",18034,18052
70,"{""Q0"":""female"",""Q1"":""40"",""Q2"":""United States"",""Q3"":""Part time employee"",""Q4"":""2""}",34783,34806
71,"{""Q0"":""Male"",""Q1"":""41"",""Q2"":""United Staets"",""Q3"":""Self-Employed"",""Q4"":""1""}",11225,11238
72,"{""Q0"":""Male"",""Q1"":""22"",""Q2"":""USA"",""Q3"":""Unemployed"",""Q4"":""5""}",27684,27696
72,"{""Q0"":""I chose to click the closest nodes to give a possible reference for what further nodes hold."",""Q1"":""I decided that I would not continue to click on areas that lead to negative numbers unless all other options were exposed."",""Q2"":""I decided to stop clicking when I uncovered a satisfyingly high money gain."",""Q3"":""The first three nodes surrounding the spider."",""Q4"":""N/A""}",222379,906990
72,"{""Q0"":""Steps that either start with a negative result or have a negative result somewhere in the middle don't always end up being the worst option. I learned the opposite as well. Steps that start with a positive result don't always result in the best end result."",""Q1"":""No"",""Q2"":""""}",159884,1067879
73,"{""Q0"":""FEMALE"",""Q1"":""31"",""Q2"":""USA"",""Q3"":""EMPLOYED"",""Q4"":""3""}",35915,35986
74,"{""Q0"":""female"",""Q1"":""54"",""Q2"":""USA"",""Q3"":""employed"",""Q4"":""3""}",20499,20557
74,"{""Q0"":""node selector"",""Q1"":""node selector"",""Q2"":""when I got to the end"",""Q3"":""to the right"",""Q4"":""I didn't use any strategy""}",55987,556889
74,"{""Q0"":""nothing"",""Q1"":""no"",""Q2"":""no""}",16291,574200
75,"{""Q0"":""male"",""Q1"":""44"",""Q2"":""USA"",""Q3"":""part time"",""Q4"":""4""}",20843,20863
76,"{""Q0"":""Male"",""Q1"":""25"",""Q2"":""America"",""Q3"":""Full-time"",""Q4"":""2""}",19781,19799
77,"{""Q0"":""Female"",""Q1"":""48"",""Q2"":""United States"",""Q3"":""unemployed"",""Q4"":""2""}",28999,29020
77,"{""Q0"":""I clicked the end nodes to see which had the highest value"",""Q1"":""I didn't click the first node often, except when there were two end nodes to choose from."",""Q2"":""I stopped clicking when I found a positive 48."",""Q3"":""The end nodes."",""Q4"":""No, just looked for the positive 48.""}",186186,871935
77,"{""Q0"":""It took me a few rounds to learn a good strategy."",""Q1"":""No, everything was clear."",""Q2"":""""}",52727,925674
78,"{""Q0"":""Male"",""Q1"":""31"",""Q2"":""United States"",""Q3"":""Full-Time"",""Q4"":""2""}",7947,7957
79,"{""Q0"":""Male"",""Q1"":""36"",""Q2"":""USA"",""Q3"":""Full Time"",""Q4"":""2""}",10950,10978
80,"{""Q0"":""female"",""Q1"":""61"",""Q2"":""USA"",""Q3"":""self employed"",""Q4"":""6""}",32418,32464
80,"{""Q0"":""I was trying to find a pattern and sometimes clicked when I thought the pattern would be there."",""Q1"":""If I paid a dollar and saw the number was negative, I went a different way."",""Q2"":""I didn't. I always clicked to the end haoping to get the biggest reward."",""Q3"":""I started on the left side the most as I got my biggest reward on that side."",""Q4"":""It didn't work very well.""}",142815,678288
80,"{""Q0"":""That I don't do well at this game and was bad at figuring out a good pattern."",""Q1"":""No."",""Q2"":""It was fun. Thank you.""}",50300,729622
81,"{""Q0"":""Female"",""Q1"":""50"",""Q2"":""USA"",""Q3"":""Full-time employed"",""Q4"":""2""}",14980,14994
81,"{""Q0"":""I just figured out the last value was better"",""Q1"":""First moves and second to last moves not important"",""Q2"":""When I found the biggest value"",""Q3"":""On far circles"",""Q4"":""Took about 3 rounds to get it""}",64236,694265
81,"{""Q0"":""There was a pattern to follow"",""Q1"":""No"",""Q2"":""This was fun!""}",20250,715520
82,"{""Q0"":""FEMALE"",""Q1"":""29"",""Q2"":""USA"",""Q3"":""FULL TIME"",""Q4"":""2""}",13157,13173
83,"{""Q0"":""male"",""Q1"":""35"",""Q2"":""United States of America"",""Q3"":""Full Time Employee"",""Q4"":""8""}",28450,28466
84,"{""Q0"":""Male"",""Q1"":""29"",""Q2"":""United States"",""Q3"":""Unemployed (Student)"",""Q4"":""2""}",10483,10492
85,"{""Q0"":""female"",""Q1"":""33"",""Q2"":""USA"",""Q3"":""Employed full-time"",""Q4"":""2""}",14151,14163
86,"{""Q0"":""female"",""Q1"":""58"",""Q2"":""USA"",""Q3"":""unemployed"",""Q4"":""2""}",32944,32980
86,"{""Q0"":""it seemed like the highest values were in the terminal nodes"",""Q1"":""the inner nodes weren't worth as much"",""Q2"":""when I found 48"",""Q3"":""one of the ends"",""Q4"":""i am not a strategy person""}",67644,644899
86,"{""Q0"":""i just reinforced my knowledge that I am bad at games"",""Q1"":""no"",""Q2"":""nope""}",30954,676867
87,"{""Q0"":""Male"",""Q1"":""32"",""Q2"":""United States"",""Q3"":""Employed Full Time"",""Q4"":""4""}",31731,31741
88,"{""Q0"":""Female"",""Q1"":""44"",""Q2"":""United States"",""Q3"":""Full-time"",""Q4"":""2""}",14938,14970
89,"{""Q0"":""female"",""Q1"":""44"",""Q2"":""US"",""Q3"":""self employed"",""Q4"":""2""}",72317,72331
90,"{""Q0"":""Female"",""Q1"":""36"",""Q2"":""United States"",""Q3"":""Employed for Wages"",""Q4"":""4""}",17503,17541
91,"{""Q0"":""Male"",""Q1"":""27"",""Q2"":""USA"",""Q3"":""Full-time"",""Q4"":""2""}",13153,13186
92,"{""Q0"":""female"",""Q1"":""47"",""Q2"":""USA"",""Q3"":""employed"",""Q4"":""3""}",18048,18074
93,"{""Q0"":""Female"",""Q1"":""32"",""Q2"":""USA"",""Q3"":""Part-time self-employed"",""Q4"":""1""}",22851,22866
94,"{""Q0"":""Female"",""Q1"":""42"",""Q2"":""USA"",""Q3"":""part-time freelance"",""Q4"":""3""}",46942,47011
95,"{""Q0"":""Male"",""Q1"":""44"",""Q2"":""USA"",""Q3"":""Employed "",""Q4"":""6""}",34918,34956
96,"{""Q0"":""male"",""Q1"":""30"",""Q2"":""US"",""Q3"":""full-time"",""Q4"":""5""}",11898,11932
97,"{""Q0"":""Male"",""Q1"":""35"",""Q2"":""USA"",""Q3"":""Self-employed"",""Q4"":""4""}",27980,28006
98,"{""Q0"":""Female"",""Q1"":""28"",""Q2"":""USA"",""Q3"":""Employed"",""Q4"":""3""}",17014,17038
99,"{""Q0"":""Male"",""Q1"":""26"",""Q2"":""USA"",""Q3"":""Full-Time"",""Q4"":""1""}",7980,7997
100,"{""Q0"":""male"",""Q1"":""34"",""Q2"":""usa"",""Q3"":""employeed"",""Q4"":""2""}",24901,24911
101,"{""Q0"":""Male"",""Q1"":""31"",""Q2"":""USA"",""Q3"":""Employed Full Time"",""Q4"":""3""}",28480,28500
102,"{""Q0"":""Female"",""Q1"":""28"",""Q2"":""USA"",""Q3"":""Full-time employed"",""Q4"":""3""}",11837,11855
103,"{""Q0"":""female"",""Q1"":""25"",""Q2"":""USA"",""Q3"":""unemployed"",""Q4"":""3""}",17948,17965
104,"{""Q0"":""Male"",""Q1"":""32"",""Q2"":""United States of America"",""Q3"":""Full Time Employee"",""Q4"":""2""}",23821,23831
105,"{""Q0"":""Male"",""Q1"":""32"",""Q2"":""United States"",""Q3"":""Unemployed, looking for work."",""Q4"":""1""}",26514,26529
106,"{""Q0"":""male"",""Q1"":""24"",""Q2"":""USA"",""Q3"":""employed"",""Q4"":""3""}",18903,18921
106,"{""Q0"":""Randomly"",""Q1"":""It was random. I completely forgot I could check a node"",""Q2"":""I always clicked to the end. I did not know it could end early"",""Q3"":""I only did it once"",""Q4"":""I wish I had a strategy! Or had the opportunity to do it again""}",62355,507891
106,"{""Q0"":""nothing"",""Q1"":""I thought you had to go all the way to the end"",""Q2"":""""}",29528,538429
107,"{""Q0"":""Female"",""Q1"":""19"",""Q2"":""USA"",""Q3"":""full-time university student"",""Q4"":""4""}",28087,28096
107,"{""Q0"":""I clicked on the \""end nodes\"", knowing that there were only four of them and that would be the most economical way to determine where there would be a positive monetary value."",""Q1"":""I decided I wouldn't click on any nodes along the way, as the \""end nodes\"" had the most value."",""Q2"":""I stopped clicking either when I saw a positive monetary value or the largest positive value possible, 48 (depending on how much money I had that round)"",""Q3"":""I was most likely to click on the leftmost \""end nodes\""."",""Q4"":""""}",118074,521732
107,"{""Q0"":""I learned that I'm not as strategic as I thought I was (it took me quite a few rounds to develop a strategy)."",""Q1"":""At first I was confused about the directions in which the spider could move."",""Q2"":""""}",54239,576978
108,"{""Q0"":""Female"",""Q1"":""34"",""Q2"":""USA"",""Q3"":""Unemployed"",""Q4"":""2""}",11286,11302
109,"{""Q0"":""female"",""Q1"":""35"",""Q2"":""US"",""Q3"":""self employed"",""Q4"":""5""}",15379,15393
110,"{""Q0"":""male"",""Q1"":""38"",""Q2"":""usa"",""Q3"":""full"",""Q4"":""5""}",15773,15784
111,"{""Q0"":""male"",""Q1"":""30"",""Q2"":""usa"",""Q3"":""full time"",""Q4"":""3""}",16362,16373
112,"{""Q0"":""Female"",""Q1"":""30"",""Q2"":""United States"",""Q3"":""Unemployed - Stay at home parent."",""Q4"":""4""}",24951,24960
113,"{""Q0"":""Female"",""Q1"":""34"",""Q2"":""United States"",""Q3"":""Unemployed"",""Q4"":""2""}",14997,15007
114,"{""Q0"":""Female"",""Q1"":""23"",""Q2"":""USA"",""Q3"":""Employed Full Time"",""Q4"":""2""}",14973,14990
114,"{""Q0"":""I clicked the outside nodes to find where the green 48 or 24 node was and then I would follow whatever path I needed to in order to get there."",""Q1"":""After playing the game, I realized the only beneficial place to click is the end nodes since no matter what you will have to go through the first and middle nodes."",""Q2"":""When I found the highest paying green node."",""Q3"":""The last nodes."",""Q4"":""""}",73242,594239
114,"{""Q0"":""I learned that there is usually a good strategy to these games and they required patience to understand them."",""Q1"":""No"",""Q2"":""""}",32567,627814
115,"{""Q0"":""Female"",""Q1"":""50"",""Q2"":""USA"",""Q3"":""Self-employed"",""Q4"":""3""}",26631,26655
115,"{""Q0"":""I clicked at the end of the nodes to see the amount."",""Q1"":""I checked the amount of the last node before proceeding."",""Q2"":""All that mattered was that I did not end at the negative nodes, so I checked those first."",""Q3"":""Wherever it would take me so that I could get to the positive end node."",""Q4"":""Once I started pre-checking the end nodes, it was easy.""}",207122,1077146
115,"{""Q0"":""Pre-checking was completely worth the money I had to pay."",""Q1"":""No."",""Q2"":""It was fun - thanks!""}",42510,1120672
116,"{""Q0"":""female"",""Q1"":""31"",""Q2"":""usa"",""Q3"":""working/secretary"",""Q4"":""2""}",23247,23270
117,"{""Q0"":""MALE"",""Q1"":""24"",""Q2"":""UNITED STATES"",""Q3"":""FULL-TIME"",""Q4"":""2""}",12521,12533
117,"{""Q0"":""WHERE THE BIG NUMBERS ARE, SEEKING LARGEST FINAL SPACE"",""Q1"":""LOW POINT CIRCLES ARE MINIMAL IMPACT"",""Q2"":""WHENEVER I HIT $48 OR LOOKED AT ALL OF LAST CIRCLES"",""Q3"":""WHERE I SAW THE 48 LAST (CLOSEST TO WHERE MOUSE WAS)"",""Q4"":""AS SOON AS SEEN 48, STOP CLICKING AND GO STRAIGHT THERE""}",62824,490336
117,"{""Q0"":""where to click for best use of revealing numbers"",""Q1"":""no"",""Q2"":""""}",28118,519458
118,"{""Q0"":""Male"",""Q1"":""23"",""Q2"":""United States"",""Q3"":""Unemployed, looking for work"",""Q4"":""6""}",18852,18862
