,0,1,2,3,4,5,6,7,8,9,10,11,12
28,50,Female,Full-time employed,USA,2,First moves and second to last moves not important,I just figured out the last value was better,On far circles,When I found the biggest value,Took about 3 rounds to get it,No,There was a pattern to follow,This was fun!
29,29,FEMALE,FULL TIME,USA,2,,,,,,,,
30,44,Female,Full-time,United States,2,,,,,,,,
31,44,female,self employed,US,2,,,,,,,,
32,47,female,employed,USA,3,,,,,,,,
33,42,Female,part-time freelance,USA,3,,,,,,,,
34,44,Male,Employed ,USA,6,,,,,,,,
35,35,Male,Self-employed,USA,4,,,,,,,,
36,28,Female,Employed,USA,3,,,,,,,,
37,34,male,employeed,usa,2,,,,,,,,
38,31,Male,Employed Full Time,USA,3,,,,,,,,
39,25,female,unemployed,USA,3,,,,,,,,
40,32,Male,Full Time Employee,United States of America,2,,,,,,,,
41,32,Male,"Unemployed, looking for work.",United States,1,,,,,,,,
42,19,Female,full-time university student,USA,4,"I decided I wouldn't click on any nodes along the way, as the ""end nodes"" had the most value.","I clicked on the ""end nodes"", knowing that there were only four of them and that would be the most economical way to determine where there would be a positive monetary value.","I was most likely to click on the leftmost ""end nodes"".","I stopped clicking either when I saw a positive monetary value or the largest positive value possible, 48 (depending on how much money I had that round)",,At first I was confused about the directions in which the spider could move.,I learned that I'm not as strategic as I thought I was (it took me quite a few rounds to develop a strategy).,
43,35,female,self employed,US,5,,,,,,,,
44,50,Female,Self-employed,USA,3,I checked the amount of the last node before proceeding.,I clicked at the end of the nodes to see the amount.,Wherever it would take me so that I could get to the positive end node.,"All that mattered was that I did not end at the negative nodes, so I checked those first.","Once I started pre-checking the end nodes, it was easy.",No.,Pre-checking was completely worth the money I had to pay.,It was fun - thanks!
45,29,Female,Employed,USA,2,,,,,,,,
46,36,Female,Self-Employed,USA,4,,,,,,,,
47,40,male,full time,usa,3,,,,,,,,
48,38,male,full-time,united states,3,,,,,,,,
49,27,Male,Employed,USA,1,,,,,,,,
50,27,female,employed full time,united states,2,,,,,,,,
51,39,female,full time,usa,3,,,,,,,,
52,19,Male,Employed part-time,United States of America,4,If the 48 was already found,The final ones to see which one held the highest amount,top right,When I found the 48 or best route,Just aim for 48 no matter the path,No,Get through smaller hits to pay for the bigger amount of 48.,Most fun survey I have had thus far
53,58,female,Employed Full Time,United States,3,"If I found the positive highest amount on the last node, I didn't click anymore.",I decided that the last nodes were the most important since they held the highest values.,On one of the outermost nodes. ,"If I found the positive highest amount on the last node, I didn't click anymore because I didn't feel like I needed to.",I just tried to find the highest positive value and head towards it.,No,"I learned that it was important to find the highest positive value in the outer nodes, even if it meant spending money to do so. ",
54,26,male,full time,usa,3,,,,,,,,
55,33,FEMALE,PT,USA,3,,,,,,,,
56,45,female,full time,USA,1,,,,,,,,
57,35,Male,Part-time,United States,3,,,,,,,,
58,24,Male,Full time,USA,1,I avoided nodes that would cost me after checking,I checked the node first to see what my options were,Towards the top and right,Once I had a good route,Eventually I decided to do more checking before moving my spider,No,I learned strategies for making money,No
59,27,Male,Full time,USA,2,,,,,,,,
60,27,Female,Part-time,USA,3,,,,,,,,
61,25,Female,Employed Full Time,USA,2,,,,,,,,
62,22,Male,Student,USA,2,Same logic as why I did,Lowest cost and seeing a pattern,Yes?,When I got to a stop point,Once I saw a 48 I just went to it because the path to it couldn't be worse,N/A,N/A,Neat task!
63,27,Male,Full-time,USA,2,,,,,,,,
64,27,Male,Full Time Employee,United States,4,,,,,,,,
65,29,female,Employed Full Time,USA,2,,,,,,,,
66,21,Female ,Part-time,United States,3,I did not click towards a path where I saw only negative values ,I clicked on the higher paying nodes first and then depending on where the 48 value ones were I clicked on the path that lead there.,The highest value nodes,When a path with an end node of 48 with the least amount of negatives in the path appeared ,None,None,I learned we come up with strategies especially when money is at stake.,Very fun and interesting 
67,34,Male,Employed,USA,5,,,,,,,,
68,39,female,homemaker,United States,6,,,,,,,,
69,22,,,,,,,,,,,,
