,groundtruth,return,actions
21,"(-2, -4, 24, -2, -8, -48, -4, 24, -1)",40.0,"[1, 7, 0, 2, 5, 4, 9]"
22,"(-2, -4, -24, 2, -8, -24, -4, 24, -2)",18.0,"[1, 7, 0, 2, 5, 4, 9]"
23,"(1, 8, 48, -1, -8, 24, -8, -24, 1)",67.0,"[1, 7, 6, 0, 5, 2, 9]"
24,"(2, 4, 48, -2, -4, 24, 8, -24, -2)",74.0,"[1, 7, 0, 5, 2, 6, 9]"
25,"(2, 4, -24, -2, -4, -48, 4, -24, 1)",-1.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
26,"(-1, 4, 48, 2, 8, -48, -4, -24, 1)",50.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
27,"(-1, 8, 24, 2, -4, 48, 8, -48, 1)",74.0,"[1, 7, 6, 0, 5, 2, 9]"
28,"(1, 4, -48, -1, 8, 24, -8, 48, 2)",71.0,"[1, 7, 0, 5, 2, 9]"
29,"(2, -4, -48, 2, -4, 24, 4, 48, 2)",69.0,"[1, 7, 0, 2, 5, 9]"
30,"(1, -4, 24, -2, 8, -24, 8, -48, 1)",33.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
31,"(-1, 8, 48, 2, -8, -48, 8, -48, -2)",51.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
32,"(2, -4, 24, 2, 4, 48, -8, 48, 1)",115.0,"[1, 7, 0, 2, 5, 9]"
33,"(-2, -4, -24, -1, 8, -48, -8, 48, 1)",48.0,"[1, 7, 0, 2, 5, 4, 9]"
34,"(-2, 8, -48, 1, -8, 48, -4, -24, -2)",48.0,"[1, 7, 6, 0, 5, 2, 9]"
35,"(-1, -4, -48, -1, 8, -48, 4, -24, 1)",4.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
36,"(1, 4, 48, -2, 8, -24, -8, -24, 1)",50.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
37,"(2, -4, -48, 1, 4, 24, -8, 24, -1)",45.0,"[1, 7, 0, 2, 5, 9]"
38,"(-1, 8, 48, 1, 4, 24, -8, -24, -1)",65.0,"[1, 7, 6, 0, 5, 2, 9]"
39,"(1, 8, 48, -2, 4, 24, -4, -24, 1)",67.0,"[1, 7, 6, 0, 5, 2, 9]"
40,"(-1, -8, 48, -1, -4, -24, 4, 24, 2)",65.0,"[1, 7, 0, 2, 5, 4, 9]"
41,"(-1, -8, 24, -2, -8, 24, -8, 24, 2)",67.0,"[1, 7, 0, 2, 5, 9]"
42,"(-1, 8, 24, 1, -8, -48, -8, 48, 1)",67.0,"[1, 7, 0, 5, 2, 4, 9]"
43,"(-2, 4, -48, -2, -4, 48, 4, 24, -2)",71.0,"[1, 7, 0, 5, 2, 9]"
44,"(2, -8, 24, -1, -4, 24, -4, -24, 1)",43.0,"[1, 7, 0, 2, 5, 6, 9]"
45,"(2, 4, -24, -2, -4, -24, -8, -48, -2)",-7.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
46,"(2, 4, -48, 2, -4, 48, -8, -24, 2)",48.0,"[1, 7, 0, 5, 2, 6, 9]"
47,"(-2, 8, 24, -1, 4, 48, 4, -24, 1)",70.0,"[1, 7, 6, 0, 5, 2, 9]"
48,"(-2, 8, -24, -1, 8, -24, 8, -24, 1)",17.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
49,"(-1, -8, 48, 2, 4, 24, 4, -48, 2)",70.0,"[1, 7, 0, 2, 5, 6, 9]"
50,"(-1, -8, -24, -1, -4, 48, -4, 48, 2)",90.0,"[1, 7, 0, 2, 5, 9]"
51,"(1, -8, -24, 1, -4, 48, -8, -24, 1)",44.0,"[1, 7, 0, 2, 5, 6, 9]"
52,"(2, -8, -48, 1, -8, 24, -8, 48, 2)",69.0,"[1, 7, 0, 2, 5, 9]"
53,"(2, 4, -24, -1, 4, 24, 8, -24, -1)",30.0,"[1, 7, 0, 5, 2, 6, 9]"
54,"(-1, -4, -48, 1, -8, 48, 8, 48, 1)",90.0,"[1, 7, 0, 2, 5, 9]"
55,"(-2, 8, -24, -2, 4, -24, 8, -48, -2)",13.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
56,"(2, -4, 24, -2, -4, 48, -8, -24, 2)",68.0,"[1, 7, 0, 2, 5, 6, 9]"
57,"(-2, -8, -24, -1, 4, 24, 8, 48, 1)",65.0,"[1, 7, 0, 2, 5, 9]"
58,"(-1, -4, -24, -2, 4, -24, -4, -24, 2)",-2.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
59,"(2, -8, 48, -2, 4, -24, -4, 24, -2)",70.0,"[1, 7, 0, 2, 5, 4, 9]"
60,"(-1, -8, -24, 1, 4, -24, -4, -48, -2)",-6.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
61,"(2, -8, 48, -1, 8, -48, 8, 24, -1)",74.0,"[1, 7, 0, 2, 5, 4, 9]"
62,"(-2, -4, 48, -1, 4, -24, 4, -48, -2)",49.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
63,"(1, -4, -48, 1, -8, 24, -4, 24, 1)",44.0,"[1, 7, 0, 2, 5, 9]"
64,"(-1, 4, 24, -1, -4, -24, -4, -24, 1)",17.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
65,"(-2, -8, -24, -2, -4, -48, 4, 48, 1)",38.0,"[1, 7, 0, 2, 5, 4, 9]"
66,"(-2, -8, -24, 1, -8, -24, 8, 24, 1)",17.0,"[1, 7, 0, 2, 5, 4, 9]"
67,"(1, 8, 24, -1, -8, -24, -8, 48, 1)",65.0,"[1, 7, 0, 5, 2, 4, 9]"
68,"(-1, -8, 24, -2, 4, -24, 8, -48, 1)",29.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
69,"(-1, 8, -24, 2, 4, -24, -8, -48, 1)",6.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
70,"(2, 8, 24, 2, -4, -48, 8, -24, -1)",27.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
71,"(-2, -4, 48, -2, 8, 48, 4, 48, 2)",139.0,"[1, 7, 0, 2, 5, 9]"
72,"(-2, 4, 24, -1, -4, 24, 4, -48, -2)",46.0,"[1, 7, 0, 5, 2, 6, 9]"
73,"(1, 4, 24, 1, -4, -48, -8, 24, 2)",43.0,"[1, 7, 0, 5, 2, 4, 9]"
74,"(-2, 8, 48, -1, -8, 48, 4, 24, 1)",115.0,"[1, 7, 0, 5, 2, 9]"
75,"(1, -8, 48, 2, 4, 24, -8, 24, -1)",91.0,"[1, 7, 0, 2, 5, 9]"
76,"(-1, 8, -24, -2, -8, 48, 8, 48, -2)",99.0,"[1, 7, 0, 5, 2, 9]"
77,"(2, 4, 48, -2, -8, 48, -4, 24, -2)",115.0,"[1, 7, 0, 5, 2, 9]"
78,"(-2, 4, 48, 2, 8, -24, 8, -48, -2)",57.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
79,"(1, -4, 24, -2, 8, -24, 8, 48, -2)",74.0,"[1, 7, 0, 2, 5, 4, 9]"
80,"(1, 4, -24, 1, 8, 24, -8, -24, -1)",21.0,"[1, 7, 0, 5, 2, 6, 9]"
81,"(-1, -4, 48, 2, 8, -48, -8, 24, -2)",74.0,"[1, 7, 0, 2, 5, 4, 9]"
82,"(-1, 4, 24, 2, -4, 48, 8, 48, -2)",115.0,"[1, 7, 0, 5, 2, 9]"
83,"(-1, 4, 24, 2, 8, -24, -4, 24, -1)",50.0,"[1, 7, 0, 5, 2, 4, 9]"
84,"(-2, -4, -48, 1, 8, -48, -8, -24, -1)",-2.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
85,"(1, 4, -24, 1, -4, 24, -4, -24, 1)",23.0,"[1, 7, 0, 5, 2, 6, 9]"
86,"(-2, -8, -48, 2, -8, 24, 4, -24, 2)",20.0,"[1, 7, 0, 2, 5, 6, 9]"
87,"(1, 8, 48, -2, -8, 48, 4, 24, 2)",115.0,"[1, 7, 0, 5, 2, 9]"
88,"(1, 4, 24, 2, 4, 24, 4, -48, -2)",46.0,"[1, 7, 0, 5, 2, 6, 9]"
89,"(-1, -4, -24, -2, 4, -48, -8, -24, -2)",-6.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
90,"(-2, -8, 48, 2, -8, -24, -4, 24, -1)",68.0,"[1, 7, 0, 2, 5, 4, 9]"
91,"(-2, -4, -24, -2, -4, 24, 4, 24, 2)",41.0,"[1, 7, 0, 2, 5, 9]"
92,"(2, 8, -24, -1, -8, 48, -4, -24, -1)",49.0,"[1, 7, 6, 0, 5, 2, 9]"
93,"(1, 4, -24, 2, 4, 24, 8, 48, 1)",71.0,"[1, 7, 0, 5, 2, 9]"
94,"(1, 4, 24, -1, -4, -24, 4, -48, 2)",20.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
95,"(-2, -8, 48, 1, 4, 48, 4, -24, 2)",94.0,"[1, 7, 0, 2, 5, 6, 9]"
96,"(-2, 8, 48, 2, 4, -48, -8, 24, 1)",70.0,"[1, 7, 0, 5, 2, 4, 9]"
97,"(2, 8, -24, -1, 8, -24, 8, 48, -2)",58.0,"[1, 7, 0, 5, 2, 4, 9]"
98,"(1, 4, -24, 2, -4, -48, -4, -24, -1)",-2.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
99,"(1, -4, 48, -2, 8, 24, -4, -48, 2)",68.0,"[1, 7, 0, 2, 5, 6, 9]"
100,"(1, -4, -24, 2, -8, -48, 4, 48, -2)",45.0,"[1, 7, 0, 2, 5, 4, 9]"
101,"(1, 4, -48, -2, 4, 48, -4, 48, 1)",95.0,"[1, 7, 0, 5, 2, 9]"
102,"(1, 4, -24, 1, 4, 48, -8, -24, -1)",45.0,"[1, 7, 0, 5, 2, 6, 9]"
103,"(-1, -8, -48, 2, 4, -24, 8, 48, -1)",45.0,"[1, 7, 0, 2, 5, 4, 9]"
104,"(-2, -8, 48, -1, -8, 48, -4, 48, -1)",139.0,"[1, 7, 0, 2, 5, 9]"
105,"(-2, -4, 48, -2, 4, -48, -4, -48, -1)",44.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
106,"(-2, 8, -24, 1, 8, 24, 8, 48, 2)",75.0,"[1, 7, 0, 5, 2, 9]"
107,"(-2, 8, 24, -2, -4, -48, -4, -48, -2)",13.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
108,"(-2, -8, 24, -2, 4, 24, 8, -48, 1)",50.0,"[1, 7, 0, 2, 5, 6, 9]"
109,"(1, -4, 24, -2, 8, 24, -4, 48, -2)",91.0,"[1, 7, 0, 2, 5, 9]"
110,"(-2, 4, -24, 1, 4, 24, 8, 24, 1)",47.0,"[1, 7, 0, 5, 2, 9]"
111,"(1, -8, -24, 2, -4, -48, -8, -24, -2)",-6.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
112,"(-1, 4, 48, -2, 8, 48, -8, 48, 2)",139.0,"[1, 7, 0, 5, 2, 9]"
113,"(2, -8, 48, -1, -8, 24, 8, -24, 1)",74.0,"[1, 7, 0, 2, 5, 6, 9]"
114,"(-2, 8, 48, -1, 8, -24, -8, 24, 1)",74.0,"[1, 7, 0, 5, 2, 4, 9]"
115,"(-2, 4, -24, 1, 4, -48, 4, 24, 1)",26.0,"[1, 7, 0, 5, 2, 4, 9]"
116,"(-1, -4, 48, -2, -8, 48, -8, -24, -1)",89.0,"[1, 7, 0, 2, 5, 6, 9]"
117,"(-1, -4, -48, 2, -8, 48, -8, 48, -2)",90.0,"[1, 7, 0, 2, 5, 9]"
118,"(2, 4, -48, 2, 4, 48, -8, 24, 2)",71.0,"[1, 7, 0, 5, 2, 9]"
119,"(2, -4, -48, 2, 4, -48, -8, -24, 2)",1.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
120,"(1, 4, 24, -1, -4, 48, 8, 48, 1)",115.0,"[1, 7, 0, 5, 2, 9]"
121,"(-2, -8, -48, -2, 8, -24, 4, 24, -2)",24.0,"[1, 7, 0, 2, 5, 4, 9]"
122,"(-2, 4, -24, -1, -4, 24, 4, -48, -2)",26.0,"[1, 7, 0, 5, 2, 6, 9]"
123,"(1, -4, -48, 1, 4, -24, 8, 24, -1)",23.0,"[1, 7, 0, 2, 5, 4, 9]"
124,"(-2, 4, 24, -1, -4, -24, 4, -24, -1)",20.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
125,"(1, -8, 24, -2, -8, 48, 4, -24, 1)",70.0,"[1, 7, 0, 2, 5, 6, 9]"
126,"(-2, -8, -48, -2, 4, -24, 4, -48, -1)",-1.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
127,"(1, -8, -48, 2, 4, -48, -4, 24, 1)",23.0,"[1, 7, 0, 2, 5, 4, 9]"
128,"(2, -4, -48, -2, -8, 24, 8, 24, -1)",45.0,"[1, 7, 0, 2, 5, 9]"
129,"(1, -4, 24, -2, 8, 24, 8, -48, -2)",50.0,"[1, 7, 0, 2, 5, 6, 9]"
130,"(-2, -4, 24, -2, -4, 48, -4, -48, 2)",68.0,"[1, 7, 0, 2, 5, 6, 9]"
131,"(1, 8, -24, 1, 4, -48, -8, -24, -1)",4.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
132,"(2, -4, 48, 2, 8, -24, 8, -24, 2)",57.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
133,"(-1, -8, -48, -2, -4, 24, -8, -24, 1)",18.0,"[1, 7, 0, 2, 5, 6, 9]"
134,"(2, -4, 24, 2, 4, 48, 4, 24, -2)",91.0,"[1, 7, 0, 2, 5, 9]"
135,"(1, -4, -48, 2, 8, -48, 4, 48, -2)",51.0,"[1, 7, 0, 2, 5, 4, 9]"
136,"(-2, -8, -48, -2, -8, -24, -4, -24, 1)",-10.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
137,"(2, -8, 24, 1, -4, 24, 8, -48, 2)",50.0,"[1, 7, 0, 2, 5, 6, 9]"
138,"(1, 4, -24, 2, 8, -48, -4, -48, 2)",7.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
139,"(-1, 8, 48, 2, -8, -48, -4, -24, -2)",41.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
140,"(1, -8, -48, -1, -8, -24, -8, 24, -2)",18.0,"[1, 7, 0, 2, 5, 4, 9]"
141,"(2, 4, -48, -1, 4, -48, -8, 24, 2)",26.0,"[1, 7, 0, 5, 2, 4, 9]"
142,"(2, 4, 24, 2, -8, -48, 8, -24, -1)",27.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
143,"(1, -4, -24, -1, 4, 48, -8, -48, -2)",41.0,"[1, 7, 0, 2, 5, 6, 9]"
144,"(-2, 8, -24, -2, 4, 24, -4, 48, 1)",75.0,"[1, 7, 0, 5, 2, 9]"
145,"(-1, -8, 24, -2, 4, 48, 4, -24, 1)",70.0,"[1, 7, 0, 2, 5, 6, 9]"
146,"(-1, 4, -24, -1, -4, 48, -4, -48, 2)",48.0,"[1, 7, 0, 5, 2, 6, 9]"
147,"(-1, 4, -48, 1, 8, 48, -4, -48, -1)",45.0,"[1, 7, 0, 5, 2, 6, 9]"
148,"(1, -8, -48, -2, 4, 24, -8, 48, 2)",68.0,"[1, 7, 0, 2, 5, 9]"
149,"(2, 8, 48, 2, 8, 48, -4, -24, 1)",91.0,"[1, 7, 6, 0, 5, 2, 9]"
150,"(2, -4, 48, 1, 4, 24, 8, 48, -2)",115.0,"[1, 7, 0, 2, 5, 9]"
151,"(2, -8, -24, 2, 4, 48, 8, 48, -1)",93.0,"[1, 7, 0, 2, 5, 9]"
152,"(2, 4, -48, -1, -4, -24, -8, -24, 2)",-2.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
153,"(-2, 4, -24, -2, -4, 48, -8, -24, 1)",47.0,"[1, 7, 0, 5, 2, 6, 9]"
154,"(1, 4, 24, 2, 8, 48, 4, 24, 2)",91.0,"[1, 7, 0, 5, 2, 9]"
155,"(1, 8, -48, 1, -8, -48, -8, -24, -2)",0.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
156,"(-1, 4, -24, -2, -4, 48, 8, 48, -1)",95.0,"[1, 7, 0, 5, 2, 9]"
157,"(2, 4, -24, -1, 4, 24, -8, -24, -1)",21.0,"[1, 7, 0, 5, 2, 6, 9]"
158,"(-2, -8, 24, 1, 4, 48, 4, 24, -2)",91.0,"[1, 7, 0, 2, 5, 9]"
159,"(2, -8, -48, -1, -4, 24, -8, 48, 2)",69.0,"[1, 7, 0, 2, 5, 9]"
160,"(2, -4, -24, -1, 4, 24, -8, -24, -1)",19.0,"[1, 7, 0, 2, 5, 6, 9]"
161,"(2, -4, -24, -2, -8, 24, 8, 48, 1)",69.0,"[1, 7, 0, 2, 5, 9]"
162,"(-1, 8, 48, 1, 8, 48, 4, -24, -1)",94.0,"[1, 7, 6, 0, 5, 2, 9]"
163,"(1, -4, -24, -1, 8, -48, 8, 24, -2)",27.0,"[1, 7, 0, 2, 5, 4, 9]"
164,"(-1, -4, -24, 2, -4, 24, -8, 48, 1)",66.0,"[1, 7, 0, 2, 5, 9]"
165,"(2, 4, 48, 2, 8, 48, -8, -48, 2)",92.0,"[1, 7, 0, 5, 2, 6, 9]"
166,"(-1, 8, 48, -2, 8, 24, 4, 24, 2)",91.0,"[1, 7, 0, 5, 2, 9]"
167,"(2, -8, -24, -1, 8, 48, 4, 48, 2)",93.0,"[1, 7, 0, 2, 5, 9]"
168,"(1, 4, -48, -1, 8, 24, 4, 24, 2)",47.0,"[1, 7, 0, 5, 2, 9]"
169,"(1, 8, 24, -2, -4, 48, -8, -48, -2)",64.0,"[1, 7, 6, 0, 5, 2, 9]"
170,"(-2, -8, -24, 1, 4, 24, 4, -48, 2)",20.0,"[1, 7, 0, 2, 5, 6, 9]"
171,"(1, 8, 24, 2, -8, -48, 4, 24, 1)",44.0,"[1, 7, 0, 5, 2, 4, 9]"
172,"(-2, -8, -24, 1, 4, 48, -4, -24, -1)",39.0,"[1, 7, 0, 2, 5, 6, 9]"
173,"(-2, 4, 24, 1, 4, 48, -4, 24, -2)",91.0,"[1, 7, 0, 5, 2, 9]"
174,"(-1, 8, -48, -2, 4, -48, 8, 48, 2)",54.0,"[1, 7, 0, 5, 2, 4, 9]"
175,"(2, -4, 24, 1, -8, 48, -4, -24, 2)",68.0,"[1, 7, 0, 2, 5, 6, 9]"
176,"(-1, -8, -24, 2, 8, 48, -4, 24, -1)",66.0,"[1, 7, 0, 2, 5, 9]"
177,"(1, 8, -24, -2, -4, 24, 4, -24, 1)",30.0,"[1, 7, 6, 0, 5, 2, 9]"
178,"(1, -8, 24, 1, 8, 48, 4, 48, 2)",115.0,"[1, 7, 0, 2, 5, 9]"
179,"(2, -4, 48, 2, -4, -24, 8, 24, 2)",68.0,"[1, 7, 0, 2, 5, 4, 9]"
180,"(1, -8, 24, -2, 8, -24, -4, -48, 2)",27.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
181,"(1, -8, 24, -1, -8, -48, -4, -24, 1)",17.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
182,"(2, -8, -48, 2, 8, -24, 8, -24, 1)",11.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
183,"(2, 8, 48, -1, -8, 24, -8, 24, -2)",91.0,"[1, 7, 0, 5, 2, 9]"
184,"(-2, 4, 48, -2, -4, -48, 4, 24, 2)",64.0,"[1, 7, 0, 5, 2, 4, 9]"
185,"(-2, 4, -24, 1, -4, -48, 4, 48, 2)",47.0,"[1, 7, 0, 5, 2, 4, 9]"
186,"(1, 4, 24, 2, 4, 24, -8, -24, 1)",43.0,"[1, 7, 0, 5, 2, 6, 9]"
187,"(-1, 4, -48, 1, 4, 48, -4, -48, -1)",45.0,"[1, 7, 0, 5, 2, 6, 9]"
188,"(1, 8, 24, -1, 8, -24, -4, -24, -2)",23.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
189,"(-1, -4, 48, -1, 4, 24, -8, -48, -1)",65.0,"[1, 7, 0, 2, 5, 6, 9]"
190,"(1, 4, 24, 1, 8, 48, -4, 48, 1)",115.0,"[1, 7, 0, 5, 2, 9]"
191,"(1, -4, -48, -2, -4, 48, -8, 48, 2)",92.0,"[1, 7, 0, 2, 5, 9]"
192,"(2, -4, -24, 2, -8, -24, -4, -48, 1)",-2.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
193,"(-1, 4, -24, -2, 8, 24, 4, -24, -1)",26.0,"[1, 7, 0, 5, 2, 6, 9]"
194,"(2, 4, 24, 1, 4, 24, -8, 24, 1)",67.0,"[1, 7, 0, 5, 2, 9]"
195,"(2, -8, -24, 1, 4, -48, -4, 48, -2)",48.0,"[1, 7, 0, 2, 5, 4, 9]"
196,"(1, 4, -48, -2, 4, -24, 8, 24, 2)",26.0,"[1, 7, 0, 5, 2, 4, 9]"
197,"(2, 8, 48, 2, 4, -24, 4, 24, -1)",70.0,"[1, 7, 0, 5, 2, 4, 9]"
198,"(1, 8, -24, -2, -4, -24, 8, 24, -1)",24.0,"[1, 7, 0, 5, 2, 4, 9]"
199,"(1, 8, -24, 2, -4, 24, 4, -24, 2)",30.0,"[1, 7, 6, 0, 5, 2, 9]"
200,"(2, -8, 24, -1, 8, -48, -4, 48, -1)",74.0,"[1, 7, 0, 2, 5, 4, 9]"
201,"(-2, 4, 24, 2, 4, -48, -4, -48, -2)",19.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
202,"(-2, -4, 48, 2, 8, 24, 4, -48, 2)",70.0,"[1, 7, 0, 2, 5, 6, 9]"
203,"(2, -8, -24, 1, 8, -48, 4, 48, -2)",52.0,"[1, 7, 0, 2, 5, 4, 9]"
204,"(2, -4, 24, 2, 8, 48, -4, 24, -1)",91.0,"[1, 7, 0, 2, 5, 9]"
205,"(2, 4, 48, 2, 8, -24, -4, 24, 2)",74.0,"[1, 7, 0, 5, 2, 4, 9]"
206,"(-1, -4, -48, 1, 8, 24, -8, 24, -1)",42.0,"[1, 7, 0, 2, 5, 9]"
207,"(1, -4, -24, -1, 4, 24, -4, -48, 1)",20.0,"[1, 7, 0, 2, 5, 6, 9]"
208,"(-2, 8, -48, 2, 8, -24, -8, -48, -2)",7.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
209,"(2, -4, 48, 1, -4, 24, -4, -48, 2)",68.0,"[1, 7, 0, 2, 5, 6, 9]"
210,"(-2, -4, 48, 1, -8, -48, 8, 48, -1)",91.0,"[1, 7, 0, 2, 5, 4, 9]"
211,"(2, 4, 48, -2, 8, -24, 8, 48, 1)",98.0,"[1, 7, 0, 5, 2, 4, 9]"
212,"(-2, 8, -48, -2, -4, -24, -8, -24, -2)",-3.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
213,"(-2, 8, 48, 1, 8, 24, -4, -48, -1)",65.0,"[1, 7, 6, 0, 5, 2, 9]"
214,"(-2, -4, 48, -1, -4, -48, -4, -48, 1)",41.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
215,"(-2, -4, -48, -2, -8, -48, 8, 24, -1)",14.0,"[1, 7, 0, 2, 5, 4, 9]"
216,"(-2, 8, 24, -2, -8, 48, -4, 24, -2)",91.0,"[1, 7, 0, 5, 2, 9]"
217,"(-2, 8, -24, 1, 4, 24, -4, 24, -1)",51.0,"[1, 7, 0, 5, 2, 9]"
218,"(-1, -8, 24, 2, 8, -24, 4, -24, -2)",29.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
219,"(-2, -4, -48, -1, 8, 24, -4, 48, 1)",65.0,"[1, 7, 0, 2, 5, 9]"
220,"(-1, -4, 24, -2, -4, 24, -4, 48, 1)",91.0,"[1, 7, 0, 2, 5, 9]"
221,"(1, 8, -48, -1, 8, -48, 4, 24, 1)",34.0,"[1, 7, 0, 5, 2, 4, 9]"
222,"(1, 4, 48, 1, -8, -48, 8, -48, 1)",50.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
223,"(2, 8, 48, 1, -8, 48, 4, 48, 2)",139.0,"[1, 7, 0, 5, 2, 9]"
224,"(-1, -4, -48, -1, 4, -24, 4, -24, 1)",0.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
225,"(-1, 4, -48, -1, 4, 48, 4, -24, -2)",50.0,"[1, 7, 0, 5, 2, 6, 9]"
226,"(2, -4, 24, 1, -4, 48, -4, -24, -1)",65.0,"[1, 7, 0, 2, 5, 6, 9]"
227,"(-2, 4, 24, -1, -8, 48, 4, 24, -2)",91.0,"[1, 7, 0, 5, 2, 9]"
228,"(-1, 4, 24, -1, -4, 24, 4, -48, -2)",46.0,"[1, 7, 0, 5, 2, 6, 9]"
229,"(-2, 4, 24, -2, 8, -24, -4, 24, -1)",50.0,"[1, 7, 0, 5, 2, 4, 9]"
230,"(1, 8, -24, -1, 8, 24, -8, -48, 1)",27.0,"[1, 7, 6, 0, 5, 2, 9]"
231,"(2, 4, -24, -1, 8, 48, -8, 48, -2)",95.0,"[1, 7, 0, 5, 2, 9]"
232,"(-1, -4, -48, 1, -4, -24, 8, 24, -2)",18.0,"[1, 7, 0, 2, 5, 4, 9]"
233,"(-2, 8, 24, 2, -4, -48, -8, -24, 1)",20.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
234,"(-2, -4, 48, 2, -8, 24, 8, 24, -1)",91.0,"[1, 7, 0, 2, 5, 9]"
