,clicks,decision,ground_truth,outcome_probs,reward_mu,reward_sigma,trial_index,workerid
11,[11],3,"[4.31, 5.58, 0.27, 3.93, 1.46, 6.19, 4.49, 3.7, 3.03, 5.5, 4.15, 3.65, 4.92, 6.74, 2.94, 9.08, 0.93, 3.46, 8.07, 3.36, 4.83, 1.82, 4.99, 5.03, 9.03, 5.7, 6.34, 5.0]","[0.25, 0.15, 0.22, 0.38]",5.0,2.994,11,A2HSCKH5NKN5LP
12,[],6,"[2.16, 0.22, 6.67, 1.65, 6.7, 5.48, 4.92, 4.64, 8.05, 2.3, 5.23, 3.03, 2.96, 8.31, 4.36, 3.74, 7.24, 6.52, 6.9, 4.55, 2.89, 1.52, 3.52, 2.03, 6.3, 0.87, 0.78, 7.98]","[0.28, 0.23, 0.18, 0.31]",5.0,2.994,12,A2HSCKH5NKN5LP
13,"[3, 11, 7, 15, 19, 23, 27]",4,"[5.48, 7.93, 1.86, 5.57, 3.31, 4.44, 3.22, 1.91, 5.25, 9.24, 1.37, 6.0, 0.13, 7.67, 7.94, 9.2, 3.56, 7.47, 7.69, 0.47, 8.11, 1.58, 8.19, 4.32, 4.49, 6.98, 7.32, 0.99]","[0.07, 0.03, 0.05, 0.85]",5.0,2.994,13,A2HSCKH5NKN5LP
14,"[2, 6, 10, 14, 18, 22, 26]",6,"[3.49, 1.4, 2.55, 7.76, 5.53, 8.97, 3.4, 7.01, 7.91, 4.46, 2.4, 8.26, 4.79, 7.79, 5.51, 6.79, 7.28, 0.56, 7.29, 3.08, 7.42, 2.73, 7.82, 4.95, 7.47, 4.75, 4.89, 2.26]","[0.03, 0.03, 0.89, 0.05]",5.0,2.994,14,A2HSCKH5NKN5LP
15,"[3, 7, 11, 15, 19, 23, 27]",5,"[4.34, 1.66, 8.41, 3.47, 4.94, 2.07, 3.55, 4.69, 6.82, 8.32, 5.47, 6.79, 5.58, 7.14, 8.96, 6.64, 0.52, 3.55, 6.62, 7.19, 0.66, 7.49, 3.0, 2.77, 4.63, 1.78, 5.63, 4.99]","[0.02, 0.03, 0.05, 0.9]",5.0,2.994,15,A2HSCKH5NKN5LP
16,"[0, 4, 8, 16, 12, 20, 24]",5,"[4.81, 8.31, 6.72, 2.04, 3.93, 4.19, 3.68, 4.21, 2.5, 2.57, 3.59, 3.99, 4.1, 8.28, 0.55, 5.48, 9.15, 5.43, 6.12, 5.81, 0.75, 4.55, 6.25, 0.69, 5.19, 4.02, 4.93, 1.77]","[0.87, 0.05, 0.04, 0.04]",5.0,2.994,16,A2HSCKH5NKN5LP
17,[],3,"[2.96, 3.15, 8.41, 0.4, 6.55, 5.69, 3.96, 3.63, 8.88, 2.66, 5.67, 8.01, 5.42, 0.81, 3.19, 5.9, 3.83, 6.85, 9.78, 9.54, 2.64, 8.13, 3.87, 4.38, 2.9, 6.03, 6.38, 6.14]","[0.14, 0.16, 0.38, 0.32]",5.0,2.994,17,A2HSCKH5NKN5LP
18,[],2,"[7.58, 4.76, 8.54, 8.34, 5.58, 5.58, 4.29, 7.71, 3.25, 2.44, 8.13, 9.97, 6.51, 6.95, 5.48, 8.05, 4.7, 3.29, 4.45, 6.45, 5.34, 8.31, 5.35, 3.22, 8.18, 3.91, 8.78, 4.34]","[0.32, 0.11, 0.3, 0.27]",5.0,2.994,18,A2HSCKH5NKN5LP
19,[],3,"[4.76, 8.14, 8.15, 5.28, 2.58, 6.38, 6.25, 3.06, 4.39, 6.89, 5.76, 3.01, 5.52, 4.44, 5.92, 5.75, 4.37, 3.19, 7.51, 1.67, 4.59, 4.66, 4.32, 4.71, 6.21, 7.93, 5.51, 6.6]","[0.37, 0.26, 0.16, 0.21]",5.0,2.994,19,A2HSCKH5NKN5LP
20,"[10, 18, 2]",1,"[0.09, 0.08, 0.18, 0.2, 0.11, 0.18, 0.08, 0.12, 0.04, 0.16, 0.13, 0.03, 0.09, 0.15, 0.15, 0.18, 0.24, 0.14, 0.08, 0.09, 0.11, 0.15, 0.07, 0.17, 0.1, 0.03, 0.11, 0.07]","[0.1, 0.04, 0.85, 0.01]",0.13,0.072,0,A8RDXT4ZILHQT
21,"[1, 17, 9]",3,"[0.12, 0.1, 0.1, 0.06, 0.12, 0.04, 0.11, 0.18, 0.09, 0.2, 0.1, 0.14, 0.17, 0.04, 0.2, 0.21, 0.04, 0.13, 0.14, 0.21, 0.09, 0.16, 0.17, 0.17, 0.1, 0.15, 0.19, 0.1]","[0.1, 0.85, 0.02, 0.03]",0.13,0.072,1,A8RDXT4ZILHQT
22,[2],1,"[0.16, 0.15, 0.22, 0.2, 0.14, 0.16, 0.12, 0.22, 0.16, 0.18, 0.19, 0.14, 0.08, 0.19, 0.12, 0.1, 0.15, 0.07, 0.12, 0.08, 0.17, 0.06, 0.12, 0.21, 0.12, 0.09, 0.04, 0.12]","[0.26, 0.14, 0.3, 0.3]",0.13,0.072,2,A8RDXT4ZILHQT
23,"[3, 5, 15, 21]",6,"[0.09, 0.08, 0.2, 0.04, 0.05, 0.1, 0.21, 0.18, 0.14, 0.09, 0.15, 0.15, 0.04, 0.19, 0.13, 0.14, 0.17, 0.13, 0.13, 0.03, 0.15, 0.19, 0.12, 0.04, 0.12, 0.15, 0.05, 0.16]","[0.17, 0.27, 0.21, 0.35]",0.13,0.072,3,A8RDXT4ZILHQT
24,"[3, 0, 12]",4,"[0.06, 0.07, 0.1, 0.03, 0.18, 0.17, 0.05, 0.14, 0.11, 0.17, 0.07, 0.16, 0.24, 0.02, 0.15, 0.15, 0.14, 0.21, 0.1, 0.14, 0.2, 0.03, 0.09, 0.13, 0.08, 0.13, 0.12, 0.18]","[0.34, 0.12, 0.22, 0.32]",0.13,0.072,4,A8RDXT4ZILHQT
25,"[1, 9, 17, 25, 13]",4,"[0.08, 0.14, 0.17, 0.18, 0.09, 0.18, 0.16, 0.22, 0.2, 0.13, 0.14, 0.14, 0.04, 0.16, 0.1, 0.01, 0.07, 0.15, 0.2, 0.1, 0.2, 0.1, 0.11, 0.14, 0.18, 0.12, 0.02, 0.13]","[0.04, 0.85, 0.07, 0.04]",0.13,0.072,5,A8RDXT4ZILHQT
26,[1],1,"[0.2, 0.21, 0.05, 0.18, 0.12, 0.12, 0.16, 0.11, 0.16, 0.05, 0.06, 0.11, 0.15, 0.18, 0.03, 0.12, 0.18, 0.16, 0.06, 0.18, 0.07, 0.18, 0.04, 0.1, 0.24, 0.19, 0.12, 0.08]","[0.02, 0.85, 0.04, 0.09]",0.13,0.072,6,A8RDXT4ZILHQT
27,"[1, 9]",3,"[0.2, 0.1, 0.16, 0.17, 0.13, 0.07, 0.04, 0.02, 0.07, 0.18, 0.06, 0.15, 0.2, 0.19, 0.09, 0.11, 0.15, 0.17, 0.14, 0.15, 0.23, 0.19, 0.2, 0.14, 0.04, 0.12, 0.19, 0.25]","[0.27, 0.39, 0.13, 0.21]",0.13,0.072,7,A8RDXT4ZILHQT
28,"[0, 16, 8, 24]",4,"[0.12, 0.11, 0.08, 0.02, 0.09, 0.11, 0.17, 0.08, 0.15, 0.18, 0.09, 0.02, 0.05, 0.14, 0.16, 0.08, 0.13, 0.06, 0.12, 0.17, 0.07, 0.22, 0.18, 0.14, 0.11, 0.02, 0.03, 0.16]","[0.36, 0.19, 0.16, 0.29]",0.13,0.072,8,A8RDXT4ZILHQT
29,"[3, 19]",3,"[0.06, 0.08, 0.12, 0.1, 0.09, 0.06, 0.19, 0.09, 0.18, 0.22, 0.19, 0.08, 0.03, 0.04, 0.16, 0.18, 0.13, 0.09, 0.25, 0.11, 0.07, 0.08, 0.2, 0.19, 0.19, 0.04, 0.18, 0.05]","[0.01, 0.08, 0.04, 0.87]",0.13,0.072,9,A8RDXT4ZILHQT
30,"[1, 7, 9, 15, 17, 19]",5,"[6.16, 0.96, 7.36, 9.14, 5.65, 3.72, 6.55, 5.08, 5.71, 3.44, 4.8, 7.16, 6.24, 3.24, 4.16, 5.3, 0.82, 7.59, 9.46, 4.71, 6.39, 6.52, 5.44, 4.61, 4.69, 5.71, 4.52, 0.87]","[0.31, 0.26, 0.15, 0.28]",5.0,2.994,10,A8RDXT4ZILHQT
31,"[3, 1, 0, 2, 11, 9, 6, 4, 5, 7]",2,"[4.45, 7.28, 3.82, 8.84, 8.2, 9.62, 6.02, 2.68, 2.47, 2.35, 1.33, 5.57, 2.29, 8.82, 9.08, 5.83, 6.82, 5.16, 2.8, 5.21, 4.32, 3.76, 2.01, 4.01, 5.06, 4.57, 6.4, 2.45]","[0.2, 0.26, 0.25, 0.29]",5.0,2.994,11,A8RDXT4ZILHQT
32,"[0, 3, 8, 11, 9, 10, 18, 22, 26, 24, 25, 27, 14, 17, 16]",3,"[7.22, 2.42, 7.66, 0.5, 0.65, 7.22, 1.42, 0.39, 6.12, 4.94, 2.71, 5.93, 4.29, 3.52, 2.6, 6.17, 0.87, 3.26, 5.92, 2.07, 5.91, 9.48, 2.15, 3.12, 2.33, 5.11, 6.49, 7.2]","[0.36, 0.14, 0.21, 0.29]",5.0,2.994,12,A8RDXT4ZILHQT
33,"[3, 2, 0, 11, 10, 8, 19, 18, 27, 26, 15]",3,"[4.36, 3.99, 5.23, 7.21, 3.38, 6.89, 1.79, 8.95, 7.42, 8.13, 4.89, 7.49, 3.41, 6.85, 2.95, 0.84, 4.81, 4.76, 2.57, 1.72, 6.66, 5.61, 3.2, 5.58, 3.69, 5.37, 6.93, 0.01]","[0.26, 0.19, 0.28, 0.27]",5.0,2.994,13,A8RDXT4ZILHQT
34,"[0, 8, 16, 20, 4, 12]",4,"[6.45, 1.04, 6.98, 5.05, 4.47, 3.75, 2.28, 2.66, 6.64, 8.23, 5.4, 5.65, 8.07, 2.93, 6.7, 6.78, 4.24, 3.55, 8.55, 0.28, 4.54, 3.03, 3.68, 3.61, 2.57, 1.86, 1.3, 6.09]","[0.85, 0.01, 0.09, 0.05]",5.0,2.994,14,A8RDXT4ZILHQT
35,"[2, 18, 10, 26, 22, 14]",4,"[6.47, 3.79, 4.84, 4.83, 1.6, 3.53, 3.19, 7.96, 3.94, 5.34, 2.23, 2.66, 2.77, 5.94, 9.73, 4.55, 5.2, 0.51, 2.1, 5.48, 3.7, 0.3, 2.15, 5.77, 2.46, 8.93, 4.74, 2.99]","[0.01, 0.07, 0.91, 0.01]",5.0,2.994,15,A8RDXT4ZILHQT
36,"[0, 5, 12, 13, 20, 25, 24, 16, 8]",4,"[2.8, 6.27, 5.7, 2.08, 0.9, 2.05, 2.74, 8.15, 3.51, 3.03, 4.16, 6.14, 7.93, 3.42, 2.94, 5.01, 4.49, 8.76, 3.14, 8.23, 2.29, 8.55, 5.29, 6.89, 5.62, 6.23, 6.06, 4.26]","[0.85, 0.1, 0.02, 0.03]",5.0,2.994,16,A8RDXT4ZILHQT
37,"[1, 2, 3, 13, 14, 15, 21, 22, 23]",1,"[0.21, 7.79, 6.08, 5.29, 6.95, 7.1, 7.09, 0.35, 3.57, 4.46, 5.46, 4.82, 7.41, 7.05, 2.4, 7.66, 5.98, 5.91, 3.57, 5.8, 0.86, 6.9, 6.26, 5.13, 6.32, 5.82, 8.2, 4.99]","[0.17, 0.31, 0.22, 0.3]",5.0,2.994,17,A8RDXT4ZILHQT
38,"[2, 14, 22, 26, 18, 10, 6]",7,"[7.4, 6.78, 0.27, 4.13, 4.87, 9.02, 3.88, 4.08, 7.22, 7.63, 3.18, 5.95, 6.7, 0.16, 4.2, 6.98, 5.53, 3.89, 8.03, 3.04, 5.03, 3.05, 1.23, 3.68, 7.17, 8.02, 8.97, 5.52]","[0.02, 0.01, 0.87, 0.1]",5.0,2.994,18,A8RDXT4ZILHQT
39,"[1, 5]",2,"[7.7, 4.75, 1.4, 3.69, 2.44, 9.67, 2.93, 3.84, 8.23, 3.03, 4.13, 4.93, 5.65, 2.83, 1.57, 3.29, 7.65, 4.24, 7.49, 2.57, 2.23, 1.06, 3.5, 8.55, 3.3, 8.05, 3.95, 6.5]","[0.02, 0.88, 0.01, 0.09]",5.0,2.994,19,A8RDXT4ZILHQT
40,[8],5,"[0.02, 0.16, 0.25, 0.06, 0.16, 0.13, 0.1, 0.19, 0.1, 0.11, 0.22, 0.21, 0.15, 0.1, 0.16, 0.2, 0.17, 0.2, 0.22, 0.19, 0.18, 0.06, 0.08, 0.12, 0.19, 0.01, 0.24, 0.1]","[0.33, 0.33, 0.13, 0.21]",0.13,0.072,0,A0017268R9SKD8U2Y3F
41,[],6,"[0.11, 0.1, 0.23, 0.12, 0.17, 0.16, 0.15, 0.12, 0.05, 0.17, 0.14, 0.13, 0.05, 0.15, 0.12, 0.11, 0.22, 0.07, 0.05, 0.09, 0.1, 0.12, 0.03, 0.1, 0.14, 0.15, 0.13, 0.04]","[0.14, 0.21, 0.33, 0.32]",0.13,0.072,1,A0017268R9SKD8U2Y3F
42,[],2,"[0.12, 0.08, 0.22, 0.11, 0.14, 0.18, 0.18, 0.1, 0.14, 0.08, 0.14, 0.15, 0.14, 0.16, 0.14, 0.09, 0.1, 0.14, 0.13, 0.15, 0.09, 0.07, 0.13, 0.2, 0.18, 0.15, 0.03, 0.16]","[0.03, 0.01, 0.85, 0.11]",0.13,0.072,2,A0017268R9SKD8U2Y3F
43,[],5,"[0.09, 0.12, 0.15, 0.22, 0.04, 0.23, 0.13, 0.13, 0.18, 0.01, 0.06, 0.08, 0.15, 0.1, 0.19, 0.1, 0.11, 0.18, 0.03, 0.21, 0.21, 0.12, 0.13, 0.07, 0.07, 0.21, 0.22, 0.12]","[0.07, 0.02, 0.05, 0.86]",0.13,0.072,3,A0017268R9SKD8U2Y3F
44,[],7,"[0.04, 0.1, 0.03, 0.03, 0.09, 0.11, 0.17, 0.16, 0.03, 0.1, 0.16, 0.13, 0.15, 0.14, 0.2, 0.09, 0.18, 0.15, 0.13, 0.18, 0.06, 0.23, 0.04, 0.19, 0.22, 0.1, 0.1, 0.06]","[0.25, 0.25, 0.25, 0.25]",0.13,0.072,4,A0017268R9SKD8U2Y3F
45,[],1,"[0.14, 0.08, 0.18, 0.17, 0.1, 0.13, 0.17, 0.03, 0.06, 0.05, 0.18, 0.04, 0.03, 0.03, 0.04, 0.11, 0.07, 0.18, 0.05, 0.09, 0.23, 0.13, 0.25, 0.12, 0.16, 0.14, 0.14, 0.13]","[0.01, 0.04, 0.1, 0.85]",0.13,0.072,5,A0017268R9SKD8U2Y3F
46,[],1,"[0.14, 0.09, 0.13, 0.15, 0.2, 0.15, 0.07, 0.15, 0.06, 0.1, 0.11, 0.21, 0.12, 0.1, 0.02, 0.07, 0.02, 0.09, 0.18, 0.22, 0.04, 0.11, 0.24, 0.08, 0.06, 0.14, 0.07, 0.07]","[0.86, 0.05, 0.04, 0.05]",0.13,0.072,6,A0017268R9SKD8U2Y3F
47,[],6,"[0.06, 0.18, 0.06, 0.16, 0.24, 0.12, 0.15, 0.18, 0.11, 0.08, 0.11, 0.1, 0.14, 0.07, 0.14, 0.16, 0.14, 0.21, 0.13, 0.12, 0.11, 0.13, 0.17, 0.08, 0.09, 0.06, 0.06, 0.03]","[0.16, 0.2, 0.37, 0.27]",0.13,0.072,7,A0017268R9SKD8U2Y3F
48,[],4,"[0.21, 0.13, 0.15, 0.18, 0.05, 0.03, 0.02, 0.06, 0.07, 0.02, 0.2, 0.12, 0.22, 0.25, 0.04, 0.09, 0.02, 0.04, 0.1, 0.08, 0.2, 0.19, 0.15, 0.11, 0.21, 0.06, 0.21, 0.1]","[0.28, 0.24, 0.3, 0.18]",0.13,0.072,8,A0017268R9SKD8U2Y3F
49,[],4,"[0.1, 0.24, 0.23, 0.08, 0.06, 0.05, 0.1, 0.17, 0.19, 0.08, 0.02, 0.17, 0.22, 0.15, 0.13, 0.07, 0.01, 0.12, 0.11, 0.18, 0.05, 0.11, 0.04, 0.13, 0.16, 0.18, 0.07, 0.07]","[0.87, 0.03, 0.04, 0.06]",0.13,0.072,9,A0017268R9SKD8U2Y3F
50,[],2,"[1.36, 4.77, 5.98, 5.07, 0.87, 3.78, 0.83, 8.84, 9.93, 9.1, 5.21, 1.0, 8.6, 5.81, 6.6, 8.13, 3.4, 5.81, 5.06, 6.2, 5.75, 0.48, 7.03, 5.53, 4.61, 6.05, 8.44, 4.62]","[0.27, 0.27, 0.3, 0.16]",5.0,2.994,10,A0017268R9SKD8U2Y3F
51,[],4,"[7.33, 4.75, 2.61, 7.3, 1.93, 4.33, 3.55, 7.47, 7.48, 4.54, 4.85, 8.53, 2.35, 6.75, 7.93, 9.32, 0.47, 9.89, 6.48, 6.59, 3.94, 7.33, 5.6, 4.49, 6.93, 5.22, 6.62, 6.78]","[0.02, 0.06, 0.9, 0.02]",5.0,2.994,11,A0017268R9SKD8U2Y3F
52,[],4,"[7.35, 3.76, 6.88, 4.36, 4.42, 5.42, 9.39, 4.09, 0.21, 2.94, 6.92, 5.39, 8.01, 5.77, 3.98, 1.66, 6.37, 7.05, 5.52, 9.65, 8.05, 4.82, 6.02, 1.85, 4.96, 7.16, 4.99, 1.55]","[0.23, 0.39, 0.21, 0.17]",5.0,2.994,12,A0017268R9SKD8U2Y3F
53,[],4,"[4.22, 8.51, 5.16, 3.84, 8.89, 9.07, 5.53, 4.4, 2.54, 1.94, 0.51, 4.29, 7.9, 8.14, 9.72, 1.24, 6.2, 8.7, 4.01, 2.51, 7.63, 7.28, 8.56, 6.48, 5.36, 0.19, 1.99, 6.37]","[0.18, 0.12, 0.33, 0.37]",5.0,2.994,13,A0017268R9SKD8U2Y3F
54,[],4,"[3.0, 6.22, 7.45, 2.9, 7.64, 4.56, 9.82, 6.12, 6.28, 9.31, 5.18, 6.18, 5.21, 4.07, 6.69, 2.77, 7.58, 3.9, 5.76, 2.93, 5.55, 5.91, 2.57, 1.74, 4.17, 4.67, 0.62, 2.96]","[0.22, 0.39, 0.28, 0.11]",5.0,2.994,14,A0017268R9SKD8U2Y3F
55,[],4,"[7.49, 8.81, 2.14, 5.21, 8.51, 7.91, 8.69, 5.45, 9.33, 6.79, 4.91, 2.55, 3.87, 4.15, 3.14, 4.64, 3.27, 4.67, 3.3, 3.51, 4.73, 9.14, 1.56, 4.47, 7.06, 0.92, 4.04, 4.74]","[0.03, 0.03, 0.08, 0.86]",5.0,2.994,15,A0017268R9SKD8U2Y3F
56,[],5,"[3.96, 2.8, 4.59, 3.12, 6.09, 4.67, 9.76, 5.71, 4.65, 3.28, 4.27, 6.47, 6.58, 4.88, 5.81, 9.47, 4.92, 8.3, 8.44, 6.7, 5.4, 5.44, 5.79, 1.14, 6.17, 1.4, 0.18, 4.05]","[0.01, 0.09, 0.01, 0.89]",5.0,2.994,16,A0017268R9SKD8U2Y3F
57,[],5,"[7.68, 2.36, 7.91, 1.33, 1.35, 0.5, 5.76, 3.29, 3.15, 9.57, 4.18, 2.67, 1.32, 1.22, 3.19, 6.21, 8.36, 1.89, 8.26, 5.61, 6.53, 7.64, 0.31, 9.01, 6.65, 4.93, 2.67, 5.46]","[0.08, 0.02, 0.05, 0.85]",5.0,2.994,17,A0017268R9SKD8U2Y3F
58,[],5,"[3.85, 8.14, 6.17, 2.23, 7.21, 2.17, 5.47, 3.8, 5.56, 7.78, 7.76, 2.49, 1.92, 6.13, 4.56, 5.62, 6.44, 6.42, 6.73, 0.43, 5.8, 6.87, 5.3, 6.32, 0.64, 0.38, 4.43, 3.68]","[0.07, 0.88, 0.03, 0.02]",5.0,2.994,18,A0017268R9SKD8U2Y3F
59,[],5,"[8.47, 6.51, 7.12, 4.79, 5.57, 2.81, 6.15, 1.38, 5.23, 8.98, 4.44, 3.78, 7.05, 2.88, 2.73, 0.61, 6.52, 9.69, 2.17, 2.94, 1.16, 6.87, 6.35, 0.45, 4.39, 6.94, 5.46, 0.43]","[0.28, 0.35, 0.13, 0.24]",5.0,2.994,19,A0017268R9SKD8U2Y3F
60,"[0, 4, 8, 12, 20, 16, 24]",6,"[6.76, 2.31, 6.07, 7.5, 3.59, 0.64, 7.88, 3.52, 3.45, 5.41, 3.86, 5.54, 6.82, 6.21, 6.25, 3.61, 3.08, 9.37, 2.4, 5.84, 9.55, 4.52, 7.14, 8.58, 0.79, 5.66, 6.59, 0.09]","[0.04, 0.05, 0.05, 0.86]",5.0,2.994,0,A1OBB3PWYWK9KK
61,"[2, 6, 10, 14]",4,"[9.15, 1.95, 3.89, 9.14, 7.67, 9.03, 4.6, 5.29, 5.98, 8.39, 1.66, 3.19, 8.35, 9.91, 9.15, 2.54, 9.02, 5.69, 6.55, 3.11, 0.73, 4.68, 3.28, 4.01, 5.58, 4.99, 8.07, 2.5]","[0.24, 0.15, 0.33, 0.28]",5.0,2.994,1,A1OBB3PWYWK9KK
62,"[0, 4, 8, 12, 16, 20, 24]",7,"[7.36, 4.23, 5.82, 4.02, 8.53, 4.45, 7.52, 5.22, 0.44, 3.38, 0.56, 6.68, 2.68, 8.37, 0.34, 6.25, 4.71, 3.09, 2.23, 4.04, 1.51, 6.15, 7.07, 8.52, 9.14, 5.29, 6.18, 3.11]","[0.31, 0.22, 0.19, 0.28]",5.0,2.994,2,A1OBB3PWYWK9KK
63,"[3, 7, 11, 15, 19, 23, 27]",6,"[2.61, 9.19, 3.87, 5.14, 4.34, 3.2, 5.89, 3.12, 4.13, 3.54, 1.95, 6.19, 4.12, 4.18, 2.7, 3.14, 7.76, 2.22, 6.71, 5.96, 5.46, 6.18, 8.47, 8.5, 6.78, 6.56, 8.14, 3.93]","[0.15, 0.15, 0.32, 0.38]",5.0,2.994,3,A1OBB3PWYWK9KK
64,"[1, 5, 9, 13, 17, 21, 25, 3, 11]",1,"[2.8, 5.22, 0.46, 6.25, 6.96, 4.03, 4.48, 2.77, 0.69, 5.36, 5.85, 2.79, 5.16, 2.21, 7.18, 6.47, 2.62, 6.25, 5.39, 6.51, 6.07, 1.05, 0.75, 6.62, 2.31, 0.15, 9.87, 4.16]","[0.27, 0.31, 0.18, 0.24]",5.0,2.994,4,A1OBB3PWYWK9KK
65,[2],1,"[3.11, 5.78, 9.26, 8.0, 6.07, 6.17, 9.87, 1.0, 5.94, 3.89, 6.48, 2.38, 4.08, 8.84, 1.1, 8.0, 4.11, 5.49, 6.81, 6.9, 8.24, 4.54, 8.09, 6.89, 4.23, 7.31, 9.07, 7.1]","[0.02, 0.01, 0.91, 0.06]",5.0,2.994,5,A1OBB3PWYWK9KK
66,"[3, 7, 11, 15, 19, 23, 27]",7,"[1.26, 4.0, 3.16, 2.45, 4.16, 6.84, 4.42, 6.1, 2.71, 6.74, 1.35, 5.77, 4.32, 1.31, 7.51, 6.3, 1.9, 5.53, 4.66, 8.87, 3.22, 5.61, 3.8, 5.73, 6.08, 6.98, 2.5, 8.96]","[0.01, 0.05, 0.03, 0.91]",5.0,2.994,6,A1OBB3PWYWK9KK
67,"[3, 7, 11, 15, 19, 23, 27]",3,"[6.2, 6.46, 6.93, 2.36, 2.22, 8.14, 3.59, 3.11, 2.33, 4.89, 3.07, 8.39, 0.62, 4.54, 2.03, 3.72, 7.94, 2.89, 2.84, 2.04, 9.18, 4.13, 5.61, 1.16, 3.15, 5.33, 1.76, 1.3]","[0.18, 0.26, 0.23, 0.33]",5.0,2.994,7,A1OBB3PWYWK9KK
