workerid,baseline,epsilon,log_likelihood
A6TSV1WPP3GG3,-67.34591659972948,0.5,-64.20287330261762
A7JY83XLBASTQ,-423.628528937875,0.4897959183673469,-352.664705932107
A7SXWHGK8B40R,-242.1865184616337,0.4693877551020408,-208.36350629697594
A8KX1HFH8NE2Q,-575.6004720301621,0.47959183673469385,-475.19537771084015
A8RDXT4ZILHQT,-415.127512933736,0.5,-363.2145942369604
A94DL4GI8ZBUO,-600.138361715173,0.5,-601.2151789554237
AA1NQOU3UEG1M,-251.6469214742754,0.4387755102040816,-213.55345676980437
ACGZDI611LU0I,-600.225337928759,0.4897959183673469,-497.65848025846185
AE0LA2Z8PAVG1,-362.64379233697053,0.5,-319.0781765041315
AEHONA1BIY9JB,-342.2103484789722,0.3061224489795918,-238.18572762525238
AHIM8PGYOIN0K,-604.8884210378812,0.5,-519.36256245817
AIOOOO5OXWXKM,-733.2865391824923,0.5,-824.9973514318301
AJDMNI5LT1VKR,-556.7745324234056,0.5,-478.39504012423686
AL83KKXUORS9Y,-368.9653975242114,0.4897959183673469,-309.4629988328345
AMPMTF5IAAMK8,-241.26216802811695,0.36734693877551017,-182.48474118638308
AQOXSP4W3ITSW,-239.89854950250165,0.44897959183673464,-194.4554334337698
AS6G83OZEFHY,-67.34591659972948,0.5,-64.20287330261762
AT7THGIGM9XN5,-343.6861802408107,0.39795918367346933,-264.48485533111665
ATUY1BTU5BQDE,-348.52075937464474,0.3571428571428571,-266.01141783750444
AUOLR6JOD7STS,-391.350467053432,0.5,-355.5822573453199
AV22FQTJNBUZT,-720.9554142877663,0.5,-738.0396179943634
AW0MG225VXWCN,-811.7387036083828,0.5,-846.8719763123481
AYF8B7WJO2YQU,-431.5485819539209,0.5,-375.4090867966284
AYFOAD75CRBKE,-656.7229405069762,0.5,-582.0546939305655
