p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""I clicked to see the value of each circle and chose the highest value, then chose randomly."",""Q1"":""Regardless of how many were left, I always moved on a +20 circle "",""Q2"":""22"",""Q3"":""Female""}",63138,,1059248,,,survey-text,,57
,,,,,,,,,,,,,"{""Q0"":""In the beginning I determined that the penalty for learning the hidden values was low, so I didn't mind selecting them.  I"",""Q1"":""I started the game selecting the outermost corners and then evolved towards selecting the innermost ones.  I knew that $36 was the max I could win so if I had a sense early I was following the best route I would just keep going to minimize the penalties. "",""Q2"":""33"",""Q3"":""Male""}",95300,,1231423,,,survey-text,,58
,,,,,,,,,,,,,"{""Q0"":""I just did the same thing over and over."",""Q1"":""No"",""Q2"":""63"",""Q3"":""male""}",51983,,1020715,,,survey-text,,59
,,,,,,,,,,,,,"{""Q0"":""trying not to be influenced by previous reward or deduction"",""Q1"":""not really"",""Q2"":""32"",""Q3"":""female""}",38880,,1025449,,,survey-text,,61
,,,,,,,,,,,,,"{""Q0"":""Usually the first leg less "",""Q1"":""yes I made money by taking the lowest first leg "",""Q2"":""46"",""Q3"":""male""}",49338,,1161571,,,survey-text,,62
,,,,,,,,,,,,,"{""Q0"":""I would check the final destinations first looking for green, then work backward and calculate. If I found a good one quickly I would go for it, otherwise I kept clicking until I found something."",""Q1"":""I learned that it never goes above 20, so if I find a 20 and any other greens in the route I will go with that and not waste money by clicking."",""Q2"":""30"",""Q3"":""Male""}",203425,,1404896,,,survey-text,,63
,,,,,,,,,,,,,"{""Q0"":""just tried to find the most profitable route"",""Q1"":""not really"",""Q2"":""38"",""Q3"":""male""}",27413,,1166465,,,survey-text,,64
,,,,,,,,,,,,,"{""Q0"":""I would check the first stop and find a positive dollar amount and then I would click on the last stop along that route to find another positive amount. I tried not to click more than three times. "",""Q1"":""I tried to limit how many times I uncovered the monetary value of the stops. "",""Q2"":""31"",""Q3"":""male""}",72913,,1022138,,,survey-text,,65
,,,,,,,,,,,,,"{""Q0"":""I tried to plan things, but it didn't work out very well.  "",""Q1"":""Yes, I definitely learned to quit while you're ahead, instead of being greedy and trying to get more.  "",""Q2"":""48"",""Q3"":""Caucasian American ""}",71135,,1664718,,,survey-text,,66
,,,,,,,,,,,,,"{""Q0"":""I mostly just chose randomly. Once in awhile I would duplicate the pattern twice in a row, but mostly tried to rotate through the options."",""Q1"":""Not really."",""Q2"":""35"",""Q3"":""Female""}",78704,,1102892,,,survey-text,,67
,,,,,,,,,,,,,"{""Q0"":""I randomly picked a route every time."",""Q1"":""No, it seemed like if I had an idea about how it would go, it would go the opposite."",""Q2"":""31"",""Q3"":""Female""}",47267,,1006566,,,survey-text,,69
,,,,,,,,,,,,,"{""Q0"":""I had good luck with going north, so I went that direction."",""Q1"":""Not really.  "",""Q2"":""34"",""Q3"":""female""}",30077,,1035341,,,survey-text,,70
,,,,,,,,,,,,,"{""Q0"":""Try to find the best paying bubble directly connected to my departure spot, then select the next bubble from the best paying bubble and proceed out the best paying combined branch."",""Q1"":""Yeah, sometimes the worst option on level 1 ended up giving the best overall result."",""Q2"":""46"",""Q3"":""Male""}",104563,,1137211,,,survey-text,,71
,,,,,,,,,,,,,"{""Q0"":""I would try to look for profit amounts then plan route."",""Q1"":""I learned I'm not good a route planning or aviation! Even when there were profits in the end, it still came up negative."",""Q2"":""43"",""Q3"":""male""}",89311,,988226,,,survey-text,,72
,,,,,,,,,,,,,"{""Q0"":""I checked the value of all the destination points first, then the intermediate points to determine the best outcome"",""Q1"":""look at the goal first, then figure out the steps in between"",""Q2"":""68"",""Q3"":""female""}",67745,,1096710,,,survey-text,,73
,,,,,,,,,,,,,"{""Q0"":""there was no good way"",""Q1"":""no"",""Q2"":""33"",""Q3"":""female""}",26315,,1495086,,,survey-text,,74
,,,,,,,,,,,,,"{""Q0"":""I first checked to see if there were any very profitable routes immediately surrounding my starting position, If there were any +12 or +20 routes nearby, I would explore those."",""Q1"":""Yes, once I learned the possible values I was able to gauge much better if further exploration of dots along the path were worth the investment."",""Q2"":""33"",""Q3"":""Male""}",145615,,1110865,,,survey-text,,75
,,,,,,,,,,,,,"{""Q0"":""first at random, then for highest value"",""Q1"":""look at all options"",""Q2"":""31"",""Q3"":""female""}",30767,,1081693,,,survey-text,,76
,,,,,,,,,,,,,"{""Q0"":""none"",""Q1"":""no"",""Q2"":""43"",""Q3"":""male""}",38657,,1245652,,,survey-text,,77
,,,,,,,,,,,,,"{""Q0"":""Random choice"",""Q1"":""no"",""Q2"":""53"",""Q3"":""Male""}",17352,,1201697,,,survey-text,,78
,,,,,,,,,,,,,"{""Q0"":""At first I thought I would click anywhere but once I saw the penalties I decided to click on the end routes in a clockwise fashion."",""Q1"":""Spend a little to get more."",""Q2"":""48"",""Q3"":""Male""}",69709,,980005,,,survey-text,,80
,,,,,,,,,,,,,"{""Q0"":""The routes that worked before for good payouts."",""Q1"":""Where ever you go you can only make 3 moves."",""Q2"":""39"",""Q3"":""Male""}",60176,,1055749,,,survey-text,,82
,,,,,,,,,,,,,"{""Q0"":""I guessed"",""Q1"":""No not really, numbers seemed random"",""Q2"":""30"",""Q3"":""male""}",44920,,1155601,,,survey-text,,83
,,,,,,,,,,,,,"{""Q0"":""At first I picked several random circles and looked at their values. That ended up costing more than I could make up for. Then I tried picking routes without looking -- that failed too, Then I tried looking at one or two first steps, that didn;t work well either."",""Q1"":""No. I could see no pattern, rhyme or reason to determine the best route."",""Q2"":""56"",""Q3"":""Male""}",285752,,1298861,,,survey-text,,84
,,,,,,,,,,,,,"{""Q0"":""Checked a far circle in each of the sectors until I found a positive value."",""Q1"":""Yes, limited checking in each of the four sectors; stopping the check when I found a positive value."",""Q2"":""43"",""Q3"":""Male""}",50264,,1410545,,,survey-text,,85
,,,,,,,,,,,,,"{""Q0"":""I started by looking at all possibilities, then realized it was difficult to retrieve the losses."",""Q1"":""Once I had found a good route, that ended up being more profitable than spending extra \""reveals\"" to try and find the optimal route."",""Q2"":""47"",""Q3"":""Male""}",79185,,1075892,,,survey-text,,86
,,,,,,,,,,,,,"{""Q0"":""I figured I could only afford to lose $8 (2 hints) for each round."",""Q1"":""I don't think so"",""Q2"":""58"",""Q3"":""female""}",66602,,1055618,,,survey-text,,87
,,,,,,,,,,,,,"{""Q0"":""no specific route...just moved "",""Q1"":""not really"",""Q2"":""46"",""Q3"":""female""}",61217,,1094704,,,survey-text,,88
,,,,,,,,,,,,,"{""Q0"":""I took the route each time that had given me positive results in the past"",""Q1"":""A little bit.  Most of the time, the same route each time gave me positive results. But sometimes it gave me negative results"",""Q2"":""48"",""Q3"":""female""}",79825,,1189220,,,survey-text,,89
,,,,,,,,,,,,,"{""Q0"":""i checked the intersection of each route first, then checked the sides connected to the positive ones"",""Q1"":""not to check them all"",""Q2"":""45"",""Q3"":""female""}",49614,,1032264,,,survey-text,,90
,,,,,,,,,,,,,"{""Q0"":""went with higher numbers"",""Q1"":""go with route that will give me a profit, not necessarily the highest"",""Q2"":""26"",""Q3"":""female""}",133924,,1334600,,,survey-text,,92
,,,,,,,,,,,,,"{""Q0"":""just went with my gut"",""Q1"":""no, not really"",""Q2"":""64"",""Q3"":""female""}",34860,,1226807,,,survey-text,,93
,,,,,,,,,,,,,"{""Q0"":""The first profitable route i found i took"",""Q1"":""Not really. I just had to think about where i wanted to end up and do some quick math"",""Q2"":""29"",""Q3"":""Male""}",83444,,993414,,,survey-text,,94
,,,,,,,,,,,,,"{""Q0"":""I tried to reveal at least one route and if the first one was negative I avoided that branch"",""Q1"":""At first I revealed several routes but was wasting money so I stopped doing that. "",""Q2"":""29"",""Q3"":""female""}",48605,,962795,,,survey-text,,95
,,,,,,,,,,,,,"{""Q0"":""By chance"",""Q1"":""I don't think it mattered. "",""Q2"":""42"",""Q3"":""male""}",35692,,918801,,,survey-text,,96
,,,,,,,,,,,,,"{""Q0"":""I found values of all possible end points. Eventually I also found values of the routes that went to the highest end point values."",""Q1"":""Yes, eventually I planned a lot better."",""Q2"":""68"",""Q3"":""Female""}",78705,,1471748,,,survey-text,,97
,,,,,,,,,,,,,"{""Q0"":""I tried to make the most money, or at least not lose too much. I started in and worked my way out."",""Q1"":""I think I could have looked at more routes, but usually if one looked good enough, I went for it."",""Q2"":""44"",""Q3"":""female""}",90912,,1021462,,,survey-text,,98
,,,,,,,,,,,,,"{""Q0"":""I went with my gut"",""Q1"":""no"",""Q2"":""50"",""Q3"":""female""}",19075,,964292,,,survey-text,,99
,,,,,,,,,,,,,"{""Q0"":""pretty much random; spending $4 for each look didn't seem to help much"",""Q1"":""not really"",""Q2"":""68"",""Q3"":""female""}",51926,,1304825,,,survey-text,,100
,,,,,,,,,,,,,"{""Q0"":""I chose to show a few spots, searching for a positive number instead of negative. once I found a good route I went that way, without looking for a more profitable way."",""Q1"":""Not really"",""Q2"":""33"",""Q3"":""female""}",51922,,1512642,,,survey-text,,101
,,,,,,,,,,,,,"{""Q0"":""I have no freaking clue I wasted all my money"",""Q1"":""No"",""Q2"":""23"",""Q3"":""female""}",24378,,1461265,,,survey-text,,102
,,,,,,,,,,,,,"{""Q0"":""In the beginning, I viewed the first stop to look for the highest paid, and then the next stops to avoid losing money.  didn't work all that well - inconsistent.  At the end, I tried some random paths - seemed to work better. "",""Q1"":""Not really "",""Q2"":""64"",""Q3"":""female""}",91391,,1075101,,,survey-text,,103
,,,,,,,,,,,,,"{""Q0"":""Trial and error."",""Q1"":""Nope, not a thing."",""Q2"":""29"",""Q3"":""male""}",20802,,890788,,,survey-text,,104
,,,,,,,,,,,,,"{""Q0"":""I tried to expose the route with the highest payout, then progressed where I'd just reveal the first 4 legs and took a gamble."",""Q1"":""I think that revealing the routes further paid out more than just gambling even though it cost more upfront."",""Q2"":""29"",""Q3"":""Male""}",87375,,1187654,,,survey-text,,105
