,0,1,2,3,4,5,6,7
29,If it was a negative number on the first node,I checked all of the first nodes if it was a ten I checked that path farther,right side path,when I had a profitable path found,I kept my strategy simple. ,29,No the instructions were perfect. ,No comments 
30,Not going the same way too much.,I tried not to go in the same area too many times,The top arrow.,I just stopped when I could not move anymore in hopes of maximizing my earnings.,I was just trying to take random paths.,32,No,
31,"If it was a good enough deal, I did not click any more",Mostly random choices.,The right most path,"When I was happy with my choice of path, I stopped clicking",Just kind of guessing and hoping it would be a decent deal. ,27,"Easy to understand, fun to play.","Thank you for this HIT, it is interactive and great pay. Appreciate it."
32,I stop when I see that its -5.,"Well, I clicked the first three nodes.",the first three nodes.,"Depends but generally, if the first node is already negative, I will stop.","I can't explain it.... But I maximize everything. If already got three green nodes, I pursue it right away.",23,None.,None.
33,If an end showed a big negative number i wouldn't click around that path.,I clicked on the last node of a path and went with the highest path.,I would mostly click the bottom right one. From the practice rounds it was almost positive every so rounds.,Once i felt comfortable with a path. It didn't subtract that much from my pool.,I wouldn't try to click and reveal more than 4-5 nodes. Try and get at least 10 out of each round.,36,No. Easy to understand.,Really loved the game.
34,"Never clicked the middle nodes, and never clicked stuff that was in a path where the first node was negative.",I clicked first nodes out until I found a positive. Then I would click on one of the furthest out points of the positive path to see if it was negative or positive.,Any of the first nodes.,"Once I had found a positive first node, and knew whether it was a positive or negative to left or right at the fork.","It was pretty much what I said when saying how I decided how to click, but only other thing was the last click was either a positive or negative. If it was positive, that was path I went, if it was negative I went the other path.",34,Nope.,
35,Same as above,I tried to rely on intuition but it failed me,I did't really have a method,When I was losing more money than I was winning,No real method,28,no,
36,I took a gamble each time i tried to play,wild guess,to my left,When I reached the end of the line,no strategy,42,no,
37,It was random guessing,It was random guessing,Top,When I was losing too much money,I had no strategy,21,No,No
38,did no go to -10,checked around to find first 10 ,left,when i found 2 green on one side,no,39,no,none
39,I GUESS AT TI.,I GUESS AT IT. ,I DON'T KNOW,I DO KNOW.,NO.,58,NO. THIS WAS NOT RIGHT.,NO. IT WRONG.
40,I decided not to click when I decided that the chosen route was more advantageous.,"I decided the joint nodes and immediate nodes to scan, though I should have chosen the joint nodes from the start.",I clicked exclusively at the beginning of the round and towards the middle. I took more risk near the end of the round.,I tried to stop clicking after 3 or 4 clicks.,That's about it other than hoping for the best.,33,"At first, I forgot that I could click on any node before moving the spider and it didn't have to be on adjacent nodes.",It was fun.
41,I didnt click,I didnt click,I didnt click,I didnt click,I went to where the positive points were in the previous,19,no,Was pretty fun
42,"I didn't, it was entirely random.",I was trying to remember patterns.,No order.,When I got to the end.,Nothing.,27,No.,
43,I tried to stay away from the -10,I thought using the same line would give pretty reliable results but i decided to click the center of each 3 lines to try and find the highest positive number,right,It depended on if I was above 10,I just tried to stay in the positive in each round,31,no,
44,I only clicked the outer most points.,The outer most points.,Outer most points on any side.,When I found a ten.,"That is it, find a ten and go towards it.",35,not at all,
45,some didn't need to be because it was a bad route anyway,random,then end circle,once a good path was found,once a good path was found just went with it,26,no,no other comments
46,if the second to last was a high loss,the second to last was a good indicator of how much i would make,always the second to last node,max was 3 clicks for me,chase the 10's,40,no,n
47,I did not want to follow a trail of negatives.,I tried to look for a pattern. I then had to evaluate totals vs options,It varied but mostly to the left.,I usually stopped for a total of 20 to 25.,I could only hope for the best.,52,no,
48,I really just based this on a guess.,"I took a chance on where to click, if I clicked a node in the previous round, I clicked a different node in the next round to get a variety.",I think I mostly clicked on the first node up or the node just to the right.,I only clicked on one node per round and ventured a guess at the nodes based on that one node.,"I kind of based my movements off of the first practice rounds, such as where I saw the most positive amounts of money.",44,"No, nothing was confusing or hard to understand.",This was a lot of fun to play
49,I did not click on areas that I did not think would reveal significant information for me to make a decision about which route to take.,"I clicked on nodes that were most likely to reveal characteristics about the whole path, like whether it was mostly a gaining money or losing money path, such as the starting point or end point of the node.",I was most likely to click on the nodes immediately surrounding the center node so I could see if I would lose or gain money by making my first moves.,I decided to stop clicking when I identified a safe path to maximize the money I collected without losing much money. ,,20,No.,
50,based on already clicked nodes.,based on corners.,one of the 3 adjacent nodes to the center.,when i got a safe route.,that's about it.,25,no,
51,if there was already a path with enough information that would be greater or equal to maximum possible path with nodes remaining hidden,tried to find a path with most possible money taking into account maximum that could be under each path with nodes still remaining hidden,three nodes surrounding center spider,"preferred to have most information, but tried to click as much as possible without losing money on the round, although I was willing to have some negative rounds to get best info",like to have more info even if it costs a little,62,no,
52,There was no need to click the furthest away nodes first if I didn't know how much I would lose before getting there. ,I tried to find the highest paying node closest to the spider so I could click on the fewest.,the nodes closest to the spiders,"Once I had 2 out of 3 good choices, or once I hit five clicks. ","I clicked the node closest, then the furthest once I found a high paying close node.",49,not confusing,
53,I did not click the nodes that were down the spider web that were negative numbers.,I clicked the nodes down the spider web that had a positive number.,I chose the closest nodes from the spider first.,when the total appeared to be positive.,if the total was for the first nodes was 10 I would guess on the last node without seeing what it was.,23,Everything was clear.,Interesting Experiment
54,"If there was a negative high number to start, I gave up on the ones after it.","I went with the highest reward I could find, and if it looked profitable, I chose those.",The first 3 inner closest nodes.,"I had a certain amount in my head, after I reached that amount I went with the most profitable option, without having to peak at others too much.","2 out of 3 was pretty good, so I guessed and hope to get lucky a lot. I didn't do all 3 closet nodes all the time ",33,,Cool Hit! Thanks
55,i avoided the red numbers,i followed the green numbers,the first spot to my right left or front,when i could see a path that looked good enough,just try to end up on the positive side,33,no,:)
56,When nodes were red,By inspecting nodes and seeing which ones were green,Wherever there was a green node,If too many red nodes were in that path,I clicked on green nodes and took a chance based on that,32,no,thanks
57,I chose to avoid the directions that I thought would cost me money,I just chose the directions I thought would provide me with the highest payoff.,To the left.,When I lost too much money.,I just tried to look for patterns.  It did not work out for me.,33,"No, I thought everything was clear",
58,Last ones,Second guess was always first.,The second move,When I was in the green,If I got a 10 I would see what the route was,30,No,Fun game
59,check end point,Took path with initial positive amount by paying for information,circle on the left,Tried to kept investment down to 3 clicks,no,50,no,no
