pid	Verbal Report	cat+AF8-score	cat+AF8-cost	label
69	I randomly picked a route every time.	0	0	0
70	I had good luck with going north, so I went that direction.	2	2	1
71	Try to find the best paying bubble directly connected to my departure spot, then select the next bubble from the best paying bubble and proceed out the best paying combined branch.	2	1	0
72	I would try to look for profit amounts then plan route.	0	0	0
73	I checked the value of all the destination points first, then the intermediate points to determine the best outcome	1	0	0
74	there was no good way	1	2	1
75	I first checked to see if there were any very profitable routes immediately surrounding my starting position, If there were any +//0- or +//0- routes nearby, I would explore those.	2	1	0
76	first at random, then for highest value	0	0	0
77	none	0	2	1
78	Random choice	0	0	0
80	At first I thought I would click anywhere but once I saw the penalties I decided to click on the end routes in a clockwise fashion.	1	0	0
82	The routes that worked before for good payouts.	0	0	0
83	I guessed	0	1	0
84	At first I picked several random circles and looked at their values. That ended up costing more than I could make up for. Then I tried picking routes without looking +AC0ALQ- that failed too, Then I tried looking at one or two first steps, that didn+ADs-t work well either.	1	2	1
85	Checked a far circle in each of the sectors until I found a positive value.	2	2	1
86	I started by looking at all possibilities, then realized it was difficult to retrieve the losses.	1	1	0
87	I figured I could only afford to lose +ACQ-8 (2 hints) for each round.	0	2	1
88	no specific route...just moved 	0	1	0
89	I took the route each time that had given me positive results in the past	2	2	1
90	i checked the intersection of each route first, then checked the sides connected to the positive ones	2	0	0
92	went with higher numbers	2	1	0
93	just went with my gut	0	1	0
94	The first profitable route i found i took	2	1	0
95	I tried to reveal at least one route and if the first one was negative I avoided that branch	2	2	1
96	By chance	0	0	0
97	I found values of all possible end points. Eventually I also found values of the routes that went to the highest end point values.	0	1	0
98	I tried to make the most money, or at least not lose too much. I started in and worked my way out.	2	1	0
99	I went with my gut	0	0	0
100	pretty much random+ADs- spending +ACQ-4 for each look didn't seem to help much	1	2	1
101	I chose to show a few spots, searching for a positive number instead of negative. once I found a good route I went that way, without looking for a more profitable way.	1	0	0
102	I have no freaking clue I wasted all my money	0	2	1
103	In the beginning, I viewed the first stop to look for the highest paid, and then the next stops to avoid losing money.  didn't work all that well +AC0- inconsistent.  At the end, I tried some random paths +AC0- seemed to work better. 	0	2	1
104	Trial and error.	0	2	1
105	I tried to expose the route with the highest payout, then progressed where I'd just reveal the first 4 legs and took a gamble.	1	1	0
