,0,1,2,3,4,5,6,7,8
17,I avoided negative node areas ,I inspected every end-node until I found one with the max positive value,I started my inspections from the top left node then went clockwise  ,Once a found a node with the max value of points,I just used the same strategy that the practice round taught me. It really helped me understand how to use the inspection tool to find the best route. I would have done poorly if I did not follow the practice round advice.,no,I learned to use logic better in understanding where to guide my spider than what my original idea was.,I liked this HIT,31
18,GUT INSTINCT.,GUT INSTINCT.,TOP,GUT INSTINCT.,JUST A HUNCH.,NO.,TO BE MORE CAUTIOUS.,IT WAS FUN. I LIKE TO PLAY AGAIN I FEEL I WOULD DO BETTER.,51
19,pattern,random,left,I didnt,,no,about a greed,,41
20,if I had already revealed the highest ammount,by learning that I need to look at the last node,the top right last node,when I revealed the highest ammount,no,no,to look at the end for a result,no,43
21,i didn't click on any other part because it was irrelevant,"i would only click on the furthest away spots, because this was where the $48 reward was, which was the highest prize",The furthest away part,when I found the $48 prize,"Find the 48 by clicking, stop clicking and go to the 48",I didn't understand the delay for poor planning in the second part,The setbacks from penalties are worth it if there is a bigger prize at the end,,23
22,least expensive ones,expensive nodes first,farthest node,i clicked until i got +48,,,,,35
23,The first and second nodes were smaller values and had a smaller impact on the final earnings for the round.,Went to the furthest nodes as any negative amounts incurred along the way would be offset by any +48,Outer node.,When I revealed a +48 or a +24 if I had clicked many nodes before I figured out the optimal strategy.,It took me longer to figure out the optimal strategy than I would have liked. It seems obvious now.,No. ,Learned to consider my strategy more carefully rather than random clicking.,,39
24,"Again, I used my intuition. ",I basically used my intuition which did not prove to be any good. ,To the right. ,Once I got to the end then obviously there was no where else to go. ,"I tried to use reasoning, intuition and my experiences form the previous rounds to make decisions. ","No, the game was pretty simple. ",I learned that my intuition was not working too well today lol. ,thank you! this was fun! ,35
25,I kind of didn't make a choice about this aspect.,By choosing the spots that I felt offered the most return.,I kind of chose randomly.,Once I found a spot that was offering $48 or if the highest amount available was $24.,"No, that's about all there was to it.",No,I'm not really sure what I learned in particular. I'd have to be asked a more specific question.,This was really interesting and fun. Thanks! ,37
26,guess,guess,"max value node, right side mostly",reached more value,good game,no,guessing node,good game,32
27,If the number was minus,To try to find the biggest payout number,on the outside nodes,when I found 48,no,no,that it paid to spend the dollar to know what value the node had.,none,50
28,Using the node inspector to start out and determine the best route to go.,Guessed and tried to find patterns,With the node inspector to see what the best route might be.,Got to the end of a path,Mostly used the node instructor to get started on the best route and then from there was kind of a guessing game.,No,There may have been a better strategy.,,48
29,I didn't really concentrate on the first nodes a lot because it wasn't worth losing a dollar. ,"Clicking was sort of random. I figured that if I was successful in one spot before, I probably wouldn't be successful in that same spot. I clicked on the last nodes first and if I got a value of 48, I knew that I should move to the node to maximize my earnings. ","At the beginning of each round, I clicked the last nodes first.","When I got a value of 48 on the last node, I knew that I should move to the that one to maximize my earnings. So, I eventually stopped clicking other places.","Not really, other than the fact that I tried to be random when deciding which of the last nodes I should click.","No, the instructions were very clear and easy to follow. The practice rounds were also helpful","I think the task was great at helping me outweigh my outcomes, strategize and take risks. I'm usually not a risk taker but this was fun to do.",This is probably the best game-based survey I've taken on Mturk. Great job!,26
30,what clicking?? i had to wait 42 seconds between each click !!!,"i clicked willy nilly. the learning stage was SOOOOOO defective, i learned NOTHING AT ALL",anywhre i could,i had a choice? i got 3 clicks then nothing,move when the program let me,"yes, i was confused as to why i just spent 17:48 on this stupidity",absolutely nothing,i feel cheated out of almost 20 minutes of my life,51
31,I SAW THE RED,I TRIED CLIKCING NODES,END NOTED,FINAL ANSWERS, CLICKED ON MY BEST CHSACES ,NO,TO CLICK ON CERTIAN ONES,NO,29
32,I quickly realized that it wasn't worth clicking any of the steps close to you because landing on a -$24 or -$48 at the end would just wipe it all out anyway.,There was the most value in clicking the last steps to look for 24 or 48 positive points.,The last steps in all the different directions.,I would usually stop clicking once I found a $48 square.,"I think clicking the last steps, looking for a $48 square (or at least $24) and then going in that direction pretty much sums it up.","No, it was clear and easy to understand.",In the game the space you end up on is much more important than the spaces you take to get there.,"Fun hit, thank you.",31
33,"I tried to do whatever I didn't do last time, since I was not good at this game.",I tried to figure out a pattern.,I tended to go up the most.,When it was over.,Obviously I didn't have a good one.,,nothing,,47
34,if the last node was negative,i clicked the final nodes first,,when i found a green 48,,,,,33
35,away from the red negatives,Guessing game ,middle ,when the numbers were too high,no ,no ,the game,no ,29 
36,"I only tried not clicking nodes once, I was experimenting to see if I did about as well as I did when I revealed the nodes. I felt like I did more poorly when I didn't click the nodes.",I clicked all of the first nodes.,I clicked all of the nodes.,Most of the time I revealed all of the nodes.,That's pretty much it. I guessed the whole time.,No.,"I learned that I should be a strategist or a gambler, haha!",Nope.,33
37,"If two red numbers were revealed at the end of a node, I did not bother clicking the nodes closer to the spider.","After the training block, it was clear that good planning involved clicking on the further away nodes first. When a green 48 was revealed, I often did not click any more nodes.",Bottom left node,When I could maximize the amount I earned without having to waste clicks to uncover less lucrative routes.,"Minimize clicks, try to find the green 48. When a green 48 is found, go to it, only click the nodes on it's path if a 2nd green 48 is found. Choose the more lucrative path in this situation.",I did not expect to be penalized for poor planning in the training block. I did not understand what was considered good/poor planning until the 8th block or so.,"Poor planning involves evaluating the short term outcomes. When evaluating long term outcomes, the outcomes in the short term can often be disregarded, or at least mitigated.","The 42 second penalty for poor planning was severe and in my opinion, disrespectful to me as a participant. That is too steep a penalty for this task. Please reconsider.",29
38,"If the end of the node ad a negative number, I avoided those areas.",I tried clicking on random places then realized I should only click the ends to minimize my clicks.,"I started clicking right next to the spider to begin. After I learned a batter strategy, I started clicking on the ends only.","If I saw a 48, I stopped clicking.",,Nothing was confusing.,I learned that strategy is important.,Fun game!,30
39,"wherever the -48 where at, i avoided",whereever the 48$ ends wheere ,the ones with the most money ,whenever i found the 48 ,avoid negatives ,no ,you win some you lose some ,n/a,21 
40,I did not click on any first or second nodes as the values on those were relatively insignificant to my final score.,I clicked on the final nodes looking for the $48,"Any given final node, I did not really follow a pattern with which one.","Once I found the positive $48, I stopped.",I was simply trying to get to the +$48,No,"To focus on getting to the largest, positive final node.",N/A,24
41,I only clicked on paths leading to big rewards.,"I clicked the outside first to find out where the big rewards were, then worked my way in.",On the outside bottom corner.,Once I had found a decent enough reward.,I clicked more than I needed to because it only cost a dollar.,"At first when I was being penalized I was confused as to why, but I figured it out pretty easily.",I learned the best technique to make the most out of this game. I also learned to do more HITS from y'all.,It was fun! Thanks!,25
42,The first few were lower values so not as worth it,It seemed the last value you ended up on was always the largest so I would click at the ends to determine where I would end up,the ends of the Ts on each side,When I found a plus 48,Nope - pretty simple,No,That it was worth giving up a few dollars to have more in the end,No,25
43,I never clicked on the first node.,"I would do the end nodes first. If any of them had 48, I would go there. If two had 48, I would do the second to last node.",the end nodes,If I had a 48 OR if I had 2 48s and the second node was larger in one node,"If one group of end nodes had one 48, I wouldn't click on the other",Nope,A strategy for evaluating paths,The training session was annoying and made me needlessly wait 3+ seconds to display the same dialog box over and over again,24
44,"Clicking on the inside wasn't usually important, unless there was more than one 48.","I clicked on the outside, generally on all of them to see where the 48 was.",I was most likely to click any of the outside at random.,I decided to stop clicking when I determined it wouldn't make as much of a difference in choosing which lane I went down.,My strategy was all about maximizing the opportunity to get the 48 since that would make the dollar cost to click as irrelevant as possible.,No.,I learned how much I'm willing to spend to get the highest prize.,N/a,30
45,"Not where the cost of clicking would not have made an impact, the first two steps.","At the end of the line, where to financial impact was greatest.",Wherever I felt like the placement of the +48 route would be.,When I found a stop that was a +48 or all endings had been explored.,"I'd relied much on luck, I suppose it could have gone much worse.",No,Sometimes you have to spend money to make money.,,18
46,just change,just chance,a corner,after I found some green,nothing really,no,I found no plan,na,45
47,bad payer previously,tried to find a good payer and milk it out. ,right,when the spider stopped,not too good!,nothing,"stay away from spiders!  No, I learned to keep trying new routes",,65
48,where the endpoints were -24 or -48,"i clicked the goal points to find the highest value, and proceeded on that path",the end points,when i found a +48 endpoint,"find a +48 endpoint and stop clicking, just follow that path",nothing,A small investment helps get bigger returns,none,31
49,once the largest ultimate node of 48 was found no other nodes mattered.,"at first, on all nodes to see their value, finally at the last nodes to see ultimate value.",the final nodes starting with the bottom left hand-side of the web.,when the largest value node was found.,click as few nodes as possible to defer inspection costs.,,only one 48 nodes was present on each web.,,29
50,Any space that wasn't the last,I picked the last one first to ensure the largest payout,The last node,When I found the +$48 node,N/A,N/A,Last nodes have greatest payout,N/A,18
51,"The inner areas made the least amount, I stayed away from them. ",The outer edges seemed to be where the money was made.  I based in on how much was earned in that spot in the previous round. ,the upper edge. ,When I saw what seemed to be the maximum amount I could earn. ,No,No. ,How to determine the most money I could make. ,No. ,42
52,Revealing the final nodes.,I revealed all the final ones.,Last nodes.,"When I either revealed all the final nodes for the best, or 48 dollars.",Last nodes were the big money.,no,Last nodes were the big money,no.,27
53,by a guess,i was by a little guess,by guess,by a guess,yeah i used a small stratergy,no,i learned about the luck,none,46
54,the end node of a negative value,The end node value of 24 or 48,near the last round node,the value of 48,no,no,strategy,no,49
55,just guesed,just guessed,just guessed,just guessed,no,no,na,,59
56,"If there was no point in clicking. If I had already found a +48, or if both end nodes were negative.",The end values first so I would know the largest amounts,One of the end nodes.,When I found an acceptable end balance.,No,No,The strategy to get the most money,none,36
57,random,random,right then left,after 3 clicks,no strategy,no,nothing,,58
58,"Same thing, I didn't really have a plan going in. I just randomly picked a direction",It was just a random click. I didn't put any real thought process into it,I think I clicked left or right more often.,When the game was over,I didn't have a strategy. ,I may have done it incorrectly. I'm not sure,That I didn't qualify for a bonus because of bad clicking choices I made.,It was a great game. I truly enjoyed it. Thank You for the opportunity,46
59,The first two holes,The last hole and see where the 48 is,The last node and hope I hit a 48,Whenever I see a 48 I go there,"No , just hope i see a 48 and then i go there",It made sense after I understood it,How to play the game,Good HIT,25
60,If it was probably going to be a losing path,The path that would probably lead to the highest points,To the left,When I found the most profitable path,,No,To quickly find the profitable path.,,55
61,randomly,i just chose randomly,it was random,when i saw 48 usually,it was mostly random,no,nothing,,23
62,the value of ending node,depends on the value of ending node,I didn't have a method for that,once I found the highest value,,no,take chances,,38
63,I didn't choose inevitable moves,I chose the furthest out,The outer nodes,Whenever I got stressed ,Sometimes I thought 24 was good enough and I wouldn't waste clicking all the nodes,Nope,There is strategy to this,Thanks!,25
64,I guessed.,I guessed.....,The last spot of any give direction.,"If I hit a positive 48, I did not click on anything else.",No,No,How to strategically earn the most by navigating the web.,None,45
65,Clicking on the first two nodes on any path would not have told me much about which node was my goal.,"The very last nodes always had the highest (or lowest) payout, so I wanted to see what my goal was.",Any of the outermost nodes.,"When I saw a positive 48, I stopped clicking and took the path to it. Even if there were another positive 48, I didn't want to waste clicks when there may not be much of a difference in payout.",I tried to minimize clicks and maximize payout.,No.,"It's best to figure out the goal first, then determine the best path towards it.",,24
66,I didn't want to waste clicks on the near nodes since they weren't worth mich,The furthest nodes were worth the most so I clicked those,I tried to mix it up,when I found the 48,the 48 would appear in the same spot 3x in a row,no,cliking on the furthest nodes made the most sense,thank you!,50
67,The end results was a negative.,At the end results because I wanted the highest number regardless how many negatives where on the way to get there.,An ending nodule.,When I found 48 I knew I would find nothing higher.,Crossing fingers.,"No, though it took me awhile in the training to figure out exactly what I was doing wrong.",Based on the rules for this game it was worth spending the $1 to find the highest nodule.,"No, it was a fun game.",35
68,Do not click anywhere that does not lead to highest final valuation,Final destination is most variable in valuation,Next step,whenever I found a +48,"I felt the opportunity cost of scanning each spot was too high, so I just scanned until I found either a 48 or next highest which was 24. If only two 24s were available, I considered scanning the next best option, which after playing seems like a better option, but I was only put in that situation twice.",No,This game suggests having a goal and spending resources in making sure you are on track is a good strategy,,31
69,I didn't bother with the in between steps as they were negligible,"If the destination was 48, I just went there.",left upper node,when I found a 48,,no,That it's easy to forget how much little deductions can stack up,,27
70,NOT BAD,GUESSING,GOOD,GUESSING,MASTER MIND,YES,GOOD,GOOD SURVEY TO TAKE EVERYONE,28
71,"If i chose a module and it had a high negative number, I wouldn't go that way.",Randomly,The corners.,When I saw a high green number. ,No,No,Nothing,None,38
72,It's are dangerous,I have decide puzzle style,every step you can give most values in dollars,It come from negative points,I think person decision making in some situations,Nothing,Lot of try,Nice task to do ,32
73,"If I saw both or possibly one of the end nodes on a path were negative, I wouldn't bother with that path.","I went for the ends looking for a $48 value first, then clicked the first or middle to see if there was a negative value on that path.","At the end nodes, most definitely.","Once I saw two positive values on a path ending with $48, usually. Once or twice I just gave up when I saw there were no $48 end nodes, and went for a safe-looking $24 ending path instead.","No, that about sums it up. End nodes first, first and/or middle nodes second or third, depending on how satisfied I felt about a path.","No, everything was perfectly clear.","How to optimize a strategy at this particular path-finding game, I guess.","Not really, no. But thank you for this opportunity.",32
74,"There was no reason to check the first two steps, so I didn't.",I only chose the end dots to maximize profit.,One of the end points.,When I uncovered a $48 I stopped.,I just tried to make the most profit.,No.,That there is no way anyone earned a $5 bonus.,Thank you!,28
75,I didn't click on the lower value nodes.,"I clicked on the largest potential value spaces, stopping when i got positive 48.","The outer nodes, specifically upper right.",Once I found a positive $48,"I would go until I found a positive 48, otherwise I would just pick a positive 24 if a 48 was not there.",No.,The strategy I devised was the suggested one.,No,21
76,I decided not to click on the inside nodes only unless there were two $48 or $24 nodes and then I had to click inside nodes to find the cheapest route to them.,"I clicked the outside to find the $48 node first, then clicked to find the highest paying route there.",I clicked the outside nodes at the beginning of each round.,I stopped clicking when I found the first $48 node,My only strategy was to find the $48 node then find the cheapest route to it.,Nothing was confusing or hard to understand.,"Thinking back to the exploratory nodes, I really should have paid to see if there were $48 nodes closer in. I just didn't ever run into any in the previous rounds so I saw no need to do that, but am curious if this would have helped.",None,44
77,if I found the 48 at the end,I clicked till I found the high of 48,yes,if I found the 48 at the end ,none,none,that it pays off to pay for hints,,27
78,"The training suggested I click the outer edges first, so that's where I started","Whenever I found 48, I just went there",Bottom left,When I found 48,Tried to minimize clicks to maximize profits. ,Not really,There is likely a logic to gathering this information that isn't intuitive to me,This was fun!,47
79,"When I hit a high positive value, I was done clicking",I just picked random end nodes,on the end nodes,When I hit a high positive value,nope,no,To be patient and look down the road for hints,,36
80,Just guessed,Just guessed,The end of a line,When I had no where else to go,Just hoped it was good,no,Be careful where you go,,28
81,It cost more money to see less results if you dont click the end of the web,I clicked on the last part of the web where the spider would end because it was cheaper in my opinion ,The end of the web,When I found the final value to be positive ,,No it was clear,Decision making skills,fun game,24
82,I tried not to click on nodes that had lost money in the past.,"I decided to click based on past experience, when a click did not usually lose money.",The left side.,When I was losing too much money.,No,I wasn't sure why I kept getting a delay penalty for poor planning.,I learned to try to pay more attention to past experience.,No,49
83,"when i started, i would click the ones immediately next to me, then I realized I was losing a lot of money clicking all those nodes.","I would click at the last node to see which one gave me the biggest amount (48) and then as soon as I uncovered the 48, I would take that route regardless of which node was before since the final node is what is worth the most.",last nodes,As soon as I hit the maximum amount.,,no,that the ultimate goal was the last node and all the numbers were the same just in - and positive form,,35
84,it was all random for me,just randomly,to the left side,when it wouldn't let me anymore,No,no,Nothing,,20
85,Once I found the pattern of how the numbers appear.,"After the first time, and seeing the entirety of the map and the patterns of payments.",The outer most edge.,Once I found the highest paying amount. ,,"Nope, this was actually really fun!",To think before acting.,,20
86,I skipped the first and second dots.,After a few rounds it became apparent to click on the last spot to determine the maximum payout,I spread it out but I guess I spent more time on the very right or left outside dots,When I found the maximum value,As soon as I found that +48 I went for it.,N/a,Nothing...,N/a,35
87,avoid going toward the negative values,"clicked at edge to find the highest points
then just toward that high point",arbitrary but at first where I last saw the highest numbers,when I got 48,"near the end, stop showing more nodes as soon as I saw a 48",no,to judge when I don't need more info and just continue,,48
88,If it took away money.,If it was worth money I went to it.,The top section in the corners.,After I found a positive sqaure.,Nothing.,no.,Patience ,no.,26
89,I didn't bother clicking on the first/second nodes because the values were small so as long as I got a big value on the final node it didn't really matter. ,"In the practice rounds I noticed that the outer nodes had the highest absolute value, so I clicked on those to figure out where the highest payout would be for the least investment of $1/click.","I varied it on purpose, but probably on the outer node on the top row since there was only one intermediate node versus on the left/right there were two intermediate steps. I assumed I would ""lose"" on the intermediate nodes and just factored this in as a cost to get to the +24/+48 node.",I stopped when I found the node that was worth +48.,I didn't really pay much attention to anything but the final nodes in each path. ,"I am not honestly sure what the ""first node"" range of values was because it didn't factor into my strategy so I never really clicked on them.",I learned to focus on the final value and not the intermediate steps.,"You misspelled ""comments."" ;)",39
90,Nodes,Guessing,top circle,Nodes,Luck and gambling,"At first, the nodes.",Probability,-,24
91,No preference or pattern.,It was totally random. I guess a lot of the time I would choose the right side.,"The right. It wasn't on purpose though, I think I just did it impulsively. ","Once I saw a green 4, I would stop. Otherwise, if I hit 2 reds, I would stop and go whatever direction I didn't click.",I usually went up when I went to the sides of the web (when I had the option to go up or down),"Yes, I was unsure of why the test round would have flashing red ""delay for poor planning"" warnings every time I clicked or moved an arrow key - but none of the other rounds had that?",Nothing,No,22
92,,,,,,,,,22
93,Not worth it to click the first 2 spots,Looking for the 48,An end point,Once I found the 48,Find the 48,No,Find the 48,,30
94,the first node,the outer nodes,on the last nodes. ,when i seen the green numbers pop up,click on the outer nodes to see if the trip was worth it before risking moving the spider to a bad node. ,no,the green numbers were constantly changing and the outer nodes had a higher value than the inner nodes. ,i wanna play again. i liked the game,25
95,Random,I just did at random,Random,Random,I honestly just went all out randomly ,No,Clicking more may have been better,,37
96,Getting the points at the end negated anything you would've lost in the middle nodes so I didn't really click those,The ends had the most money on them and negated the cost of clicking,The end nodes,When I found a 48 or uncovered all of the end nodes,Not really,Yeah it was confusing and annoying that I had to play a bunch of rounds that didn't count,Nothing really?,No,25
97,random,random,random,random,random,none,nothinig,none,30
98,I decided not to click if the last node ended in a negative value or a value less than another end node,I decided by seeing what the end values would be. ,i was most likely to click on the end nodes.,i decided when to stop clicking once i got to a positive 48 value by spending $1 to see the nodes.,no,no,I learned to always check the end nodes. i learned that spending $1 in the beginning saved me more money overall. ,,33
99,I didn't sweat the first two nodes as hitting the 48 mitigated any variation in them.,"I clicked the end nodes first, since they were the most impactful on total earnings.",Wherever my mouse pointer was naturally resting closest to.,Until I had either found a 48 value end node or exhausted all end nodes.,It was fairly simple.,No,That the end goal in this experiment is more meaningful than intermittent steps.,No,35
100,Did not click on first or second steps.,I randomly clicked the end spots.,Right or left extreme.,Once I found the 48.,I tried to change click order each time.,Not really.,Quickly learned clicking first and second steps not worth it.,No,46
101,I chose not to click on those with ending nodes which were negative.,"I started by doing it randomly, but then decided to start clicking on the last step nodes to see which led to the most at the end.",On the last level nodes to see which was the higher ending amount,"When I got to the highest possible ending amount or if I had already clicked a lot and they were all negative, I went with the first positive ",No,No,"I learned that it was more beneficial for me to see the ending amount, as they were all high enough (if positive) to cancel out the small amount of negative that I might get by not checking the 1st and 2nd levels.",,25
102,don't click on middle,"randomly, it didn't seem to matter`",end nodes of course,when i hit 48 or 24,"no, pretty simple","no, but it kept saying ""you shouljd click on a node"" when i already did",nothing...not sure what this was about `,n/a,31
103,I could not tell where not to click,I just tried different directions,up,after I decided which direction I was going,no,yes,I do not like spiders!,none,44
104,"by the last nodes, if negative, no point checking middle nodes","ilooked at the last steps, and then if there was uncertainty, clicked some others to find optimal path",any of the last nodes,if I saw a 48 I often stopped,tried to maximise profit.,n/a,optimal path choices,comments is misspelled,23
105,I did not pick the smaller first step boxes.,I randomly picked one of the last boxes in each path.,Top left circle which was the end of a path.,I stopped clicking when I found a spot that totaled $48,My only strategy was to follow the path that ended with the higher $48 payout.,no,I learned that it is better to spend a little to figure out the outcome than to take guesses and lose.,n/a,40
106,The opposite of where I had a bad run before,Gut feeling,The first node,When i found a good path,Just guessing,Nope,I'm bad at guessing,Nope,32
107,tried to avoid the bad spaces,i don't like clicking because it spends a dollar ,at the first step,when I was satisfied ,,no,"sometimes you win, sometimes you lose ",,29
108,I decided not to click so I didn't have to pay the $1.,"I typically didn't click, because I didn't want to pay the $1.","If I decided to click, there was no pattern of where I would click at the beginning.",I decided to stop clicking when I realized it was costing $1.,I didn't click because I didn't want to pay the $1.,Nothing was confusing.,I learned that this study was all about taking risks.,This was a very interesting study.,27
109,the red,"where the green was at, I wanted to click. ", higher corner pieces,when I found the highest number ,this was fun. I just wanted the high numbers. ,no,how to strategize,this was fuN! ,30
110,I calculated the path ,I used the node to help decide,the the left,When I seen the most positive path,I tried to notice a pattern but did not see on so I used the peek tool to help me,no,It would be real hard to get a 5 bonus,Thx for game,36
111,I eventually figured out that clicking on the end nodes was a better predictor of success than clicking on the closest nodes.,I eventually figured out that clicking on the end nodes was a better predictor of success than clicking on the closest nodes.,One of the end nodes,I stopped clicking once I uncovered a +48,,no,General problem-solving abilities,,47
112,I didn't need to know the middle just the end ones. ,Wanted to know what a few end results were. ,One ending node from each side. ,When I thought I would have an idea what was on the end of each of them. ,Nope. Just hope for the best. ,It was easy enough. ,That it's okay to spend a few dollars to make sure you get a positive number at the end. ,,34
113,once if found the big 48 did not need the others,start at the outside find the 48,right bottom ,when I found the big 48,"just get the big 48 the rest did not matter, not worth spending 1's to find a plus 4.",no,how to optimize the value of the circles,"that was fun, please post more hits!!",39
114,I did the trial,I did the trial,The ends,When i found 48,No,Nope,Strategy!,Thanks!,30
115,Paths that would be hit on my way to the +48 didn't matter.,"The outer nodes told me where the +48 was, and I favored the previous location of the +48.",The previous landing spot.,As soon as I ran into the +48 or ran out of outer nodes.,That's it.,No,About picking the best path quickly,,29
116,I didn't really know where NOT to click,I clicked on where the blue dots were highlighted,One of the outer corners,Once the game stopped me,I only clicked on the corners first,no,To wait a while before clicking,No,37
117,The practice test helped me figure out that clicking on the end nodes was most important. So I knew not to click on the closer in nodes if I knew the end node path I wanted to take.,I used the practice test to help. ,An end node.,"If I saw a path to a +48 at the end, I would stop clicking and just go along that path.","I tried to minimize losing the $1 for clicking, but I quickly saw I would lose big if I didn't click enough to get to a good end node.",No,"I learned to click on end nodes, most importantly.",,36
118,I chose at random,I chose at random,up,I waited until the time ran,np,no,I think it was random ,,29
119,Nothing unnecessary like the first and second spaces which didn't make much of a difference in earnings,I chose the destination spaces and kind of randomly chose until I found 48,Top left,When I found 48 or all the end nodes were viewed,Just kind searched for 48 and didnt pay attention to the first couple nodes.,It was easy.,Nothing as far as I can tell. ,Thank you!,34
120,I didn't click on paths that lead to -48 or -24,I tried to be systematic about revealing the best outcome.,the upper right corner.,I stopped when I found the +48,I wasn't sure about checking the second node from the end if there seemed to be two equally good possibilities.,no,I learned how to optimize my strategy for this particular puzzle.,no,32
