,0,1,2,3,4,5,6,7,8
38,None of the path space were worth clicking aka small numbers,Wanted the biggest numbers so I clicked toward the end.,At the ends of each path,I stopped clicking when I found a good number to make profit,Wanted the highest numbers!,No,"The ends of the paths had bigger amounts, I learned quick.",,21
39,Intuition,Intuition,Where ever my gut told me where to go.,When I reached the end of a path.,"From what I could see, there wasn't much strategy with this game. It appeared to be more about random luck.","No, it was pretty straight forward.","$48, if I remember correctly.",N/A,34
40,No way to know.,Randomly until finding a positive value,Wherever the positive value was,When I found a positive value,There is no strategy the whole game is just a toss up on whether or not you get lucky on the last node.,no,Absolutely nothing,,19
41,after the first node the path was either set or it was a random choice,If the first node was a positive number I would click that one,I chose based on the 1st node value or at random.,When there were no more nodes,"no, it was hard to determine what the best path would be based on only the first node",Were the node values predetermined or adjusted during play? I kind of wondered.,"I'm not sure, I couldn't find a pattern to follow that would reliably lead to an increase in my reserve.",,36
42,Did not click on any node that was on the inside and that was not on the clear path to the node I was trying to get to.,"I clicked on nodes that were on the outside fringe, not the internal ones. ",On the last nodes on the edge of the clusters.,When I realized there was the highest amount possible.,"Did not click on any unnecessary nodes, just chose the quickest direct path.",No.,The best path is a direct route.,,50
43,If it led to certain amount of loss,I clicked where I thought I would get the most amount of money.,At the bottom left and right.,If I was going to lose more money than I gained,"I chose the ones closest to me and only opened a few nodes, if I found a decent paying one I went for it out right instead of spending more dollars",No,Go where the money is :),Thank you!,23
44,I took a guess.,I went horizontal then vertical.,Across,I took a guess.,,nothing was confusing.,"I took my time, but I wanted to get more clicks out of each test.",,47
45,I mostly clicked on the outer edge to find my path,"Initially, I tried to click as much as I needed to find the highest payout",I was most likely to click the outer nodes,"Once I knew that I'd make around 20 to 30 points, I took that route and stopped clicking","After I hit 500 points, I paid very little attention to making more money",No,I learned that you should look ahead,No,27
46,I tried to make a pattern where to click,I tried to do one pattern,The top part of the node,Every time the spider is at the end node,I tried to click on those nodes that gives more money. But I end up getting less when I go to just one route,none,I learn to explore and take risk,I really enjoyed the game. I always participate on your surveys/ studies I hope I can grab some more and explore more of this kind of game in the future!  ,28
47,I just randomly decided,I just randomly decided,I was most likely to click the up arrow.,At the end of each chain of the web I stopped.,I didn't really have much of a strategy.,No.,I learned that maybe I should have accepted the $1 help.,No.,33
48,by the nodes that were all minus,by clicking on the nodes,on the right,when i saw a large amount,did not have a strategy,no,not sure,,52
49,I pretty much clicked everywhere,First closest nods first then chaos from there,First web of nodes directly touch my spidey's start node,When I got a real high node ,It was pretty much just chaos. I tried strategy but lost it pretty fast. ,No,That spidey/node minesweeper is pretty tough,Fun HIT!,28
50,random,random,top left,when i felt like i had reached the highest number in the web,tried to maximize the amount of moves in hopes that more green numbers would show up along the way,"no, it was pretty clear",I learned a little bit about my decision making,enjoyed the experiment!,33
51,"I... kind of clicked everywhere. I'm very risk averse, and I'd rather know I'm about to gain a little money than unknowingly lose a lot of it?","I started of clicking at the end nodes, as those would have the biggest value jumps, and then the subsequent nodes that were closer to the start.",i clicked on the end notes of each round,"Once I got closer to the beginning nodes where the possible values were smaller, there was less of a chance of losing money and I wouldn't click those.","I'm not big on betting, so I kind of clicked on everything and then figured out which path would still get me out ahead..",Nope!,I am not good at taking risks.,,31
52,I didn't clink on of the nodes along the route.,I click at the last node to see the best possible outcome with each route.,The last node nearest the start point.,When I reached an amount that I felt comfortable with.,I tried to minimize the numbers of nodes I had to pass through.,No,To minimize my losses.,No,39
53,I didn't bother backtracking from nodes with negative or small values.,I started at the ends and on finding a reasonably high value I worked my way back.,"On an end tile, often in the lower right for no particular reason. ",When I had a safe path to a decent node.,"I started just checking every possible end node, but I soon realized I would max out my bonus without doing so I settled for anything that would result in over about 30 gamebux so I'd have some extra in case I got surrounded by like -100 nodes or something. ",The bonus payment scheme was a bit confusing and I'm not sure I remembered it because that seems lower than I thought but w/e it's fine,I have no idea! ,"Nope, thanks! ",29
54,"I went randomly, but tried to vary it since it seemed random and as if the higher numbers wouldn't be under the same node the next round.","It took a while (lots of practice) to understand what was being asked. But once I learned, I decided to lose the $1 to test as many as I could until a decent amount showed up. So I sacrificed earnings to check a number of nodes. I sometimes clicked where it seemed a high bonus hadn't been before.","I tried to guess randomly, and tried to keep from checking the same one repeatedly.","I stopped either when a decent amount to pursue was uncovered, OR when I had checked many and it seemed I was sacrificing too much money to keep checking them.",I just tried to be random and balance sacrificing $1 for revealing the number versus trying to get a good bonus.,"I was confused in the beginning, but perhaps that was my fault. The plane route training really helped with learning how to play the actual web game.",That I was not good at understanding the instructions at first! The practice really helped to get the hang of it. ,This was fun! Thank you for creating a task that was like a game.,40
55,I just tried to click where I thought I might find money,I guessed,On the outside webs,When I thought I found the highest web,"No, I just guessed mostly",NO,You have to find the right path,,30
56,I was focused on the termnii and the route to the largest valued terminus. Anything else was ignored,"I chose the all the end points as that is when the game ended. I was always curious to find the largest value. And even if I found it before I revealed all the other, I would reveal the others just to be safe",On one of the terminii,One I had found the largest terminus  as well as checked its path a little,"1. Check all termini regardless of value (always spending a minimum of $18)
2. Find highest value
3. Check 2-3 of the nodes on the way to avoid a sucker node
4. Move

Once I got used to it, I would generally be okay with risking some negative values a long the way.

I looked to make more than 18 so I could make a profit over all my end checking.",No,"I am curious to a fault (checking all termini)
I am a doubter (after finding the largest, I still felt the need to check the path)
I am not super-thorough. I was okay throwing money to solve the problem with out taking the time to consider how many extra square I was revealing",Has there been an optimum strategy found?,28
57,I did not click the innermost nodes.,I decided among the outermost nodes randomly to find the highest value.,One of the outermost nodes.,I stopped once I found a high value (usually at least 40) in the outermost nodes.,No,,"It did not really pay off to click on more nodes to determine a pathway, once a high value outer node was located.",,33
58,"I was focusing on the end nodes and if I clicked on one that had enough points, I didn't click anything else.","I wanted to find out which end node had the most points, focusing on the longest path. I thought that that would have the potential for the most points. ",the end nodes,I tried to stop clicking as soon as I found an end point that had enough points to make a satisfactory run.,No,No,I learned that I should do more of a cost/benefit analysis in deciding where to click and to stop clicking sooner.,,44
59,"I never clicked on the closest ones, because those never const me much money anyway","I clicked on the farthest away nodes first, to see where the highest numbers were",The very ends of the paths,As soon as I found a green number that was high enough to make it worthwhile to move,Sometimes I accidentally clicked in the wrong spots,no,Sometimes you have to trust that the early losses will be small and in order to get a larger pay off,Fun game! Thanks for the hit,26
60,I didn't click on the inside nodes because I had to travel over them no matter what.,I clicked on the outer nodes until I found one that had a decently high value (over 20-25 or so),"The upper left or upper right nodes, moving clockwise.",I stopped when I found one high enough to be worth moving to.,I think everything was covered.,"The training was confusing. The nodes I ""should"" be clicking seemed arbitrary, and having to wait a random amount of seconds was harsh.",I'm not sure. I learned the rules for how to move the spider around.,None,37
61,I did not click on any of the points in the beginning because they were not worth much money,I did a random selection of the end points,Top right end point,Once i found a large enough dollar amount,Click to reveal numbers until you find a high dollar amount,The randomness of the dollar amounts,I learned to find which end point had the highest dollar amount,Fun!,32
62,"Clicking on the paths before the end node is a bit pointless, because if I find a high result I'm going to eat the penalties to get there, and usually its not bad","Since it was very cheap, I would usually look at all of the end nodes and try to find the one with a value higher than 50",Whichever place I didn't end last round on usually.,I usually would stop when I found a value I felt was sufficiently high,The highest the value I can get with the least amount of clicks was the doctrine i was following.,no,To analyze the cost of my actions before committing to a decision.,NONE,34
63,By the lower numbers of losses on the path.,"I chose the last steps to reveal first, then mostly guessed the cost of the path or clicked the second from last step.",Each final step.,When I saw a very large sum I figured the losses o the path to it wouldn't decrease the earnings very much.,Once or twice I deliberately avoided a larger sum if a slightly smaller sum was available because I was betting on the probability of a low cost path.,Not particularly.,How each one dollar click could add up.,A few costly mistakes at the beginning were because I pushed the buttons too fast.,26
64,I learnt the inner nodes didn't cost much to move on them,I started clicking more towards the outside of the nodes. And kinda just went from there.,At the ends of the nodes.,"I stoped clicking when I felt I had the highest amount seen,","Not really, I described my methods in the questions above.","Nope, was super clear in the instructions","I learned to try and conserve my clicks, since they cost money",Thanks for the bonus!,27
65,"When I took the airplane practice class thing, it taught me where to click and where not to click.","I checked (clicked) the path ""ends"" until I found one that was of a good value (40 or more usually) and followed that path.","Either bottom left or bottom right corner.  I tried to switch it up some.  Usually bottom left, though.","I just had to balance the risk of losing a dollar for every click in the hopes that there was a better ending figure.  I decided on staying at $40 or more, and it seemed to work out.",,"I didn't understand the whole ""preview"" clicking instruction until I took the airplane tutorial.  I thought I could only click on the next circle after the start.  I think this is because of the accompanying picture, but it might have just been due to my own stupidity.",I learned that practice makes perfect!,,33
66,randomly,the ends to see where the highest number was,at the edges,when I found a good spot,click on random spots at the endpoints to find a high number,no,it was fun,,24
67,When a location yields a negative amount I avoid it.,After revealing several important amount locations I click on a route toward the most money.,To the left.,When I reach the end of a path I stop clicking.,I tried to make the most money without revealing every location beforehand.,No,I learned it was beneficial to spend some money to reveal locations.,,28
68,I did not dclick on the centered pieces.,By negative reinforcement during the test period - the more $ I built up the more prone I was to click on more options.,I usually tried the upper portions first - reach for the higher parts.,I clicked until I felt like I was getting the most money for my one-dollar click investment.,"I tried to make as much money as I could bonus wise, knowing it was worth 20 cents per ever hundred dollars I accumulated.",There was a lack of definitive instructions?,I learned through negative reinforcement what not to do and what to click on.,I loved knowing it was going to get a bonus of 20 cents per 100 dollars - thanks!,61
69,Guessing,Guessing,the endpoints,When a large number appeared,no,no,nothing,,23
70,"I decided not to click the nodes on the way to the ends, since their values didn't seem very great.",I chose the endpoints of each web as they seemed to be the goals and the nodes with the greatest possible gains and losses.,I chose to start from the top right cluster of nodes just as a choice.,I would uncover all the ends and decide where to go based on which endpoint had the greatest value.,,,I learned that the cost of valuable information would be outdone by the gains once one knew what to do with that information.,,23
71,i didn't click in the in between nodes,i clicked on the last part of the node to see what was the best choice to go to,the last node,i stopped when i saw a high number i wanted to go to,i went with my initial gut feeling,no, i learned new stragedies,this was my favorite study to do on mturk,24
72,I only clicked the inside ones when they were on the path to a high paying node.,It seemed most productive to always click the end nodes. I did it randomly.,I think I seemed to mostly click on the right bottom but then I changed it up when I realized I was starting there a lot. Then I usually started on ones that were not the high paying ones in the round before.,"Once I hit a high paying node and ensured the path was good, I stopped.",I was trying to find the highest paying node. Then tried to resist clicking too many more once I found one.,No.,That the inside paths were usually minimal loss or profit so finding the best paying node on the outside would have probably been enough.,,50
73,"I did not click anywhere near where I started, since it would not be a huge profit by wasting a dollar to get four dollars, as opposed to 1 dollar to get up to 30-40 dollars.","the last edges of the path i would travel, since those give the highest amounts any minor loss I would receive on the way there could be mitigated by the big payout.","I randomly chose one of the last edges of a given path each round, since I knew the amounts were not going to be the same each round I attempted to start clicking in random spots.","Whenever I saw an amount on the last edge of the path of around 20-30, since I could be fairly sure I could get a profit by taking the path","I solely clicked on the last edges of any given path, and took a risk attempting to get to the largest amount I could find. I did not uncover every last edge, but just enough so that I could at least get a net gain.","It was very intuitive, since I am a computer science major I have seen problems like these before.","A path from one point to another is not judged by the endpoints, but rather the total of all the edges along the way.","Very fun game, and good implementation of real life scenarios, such as a plane trying to find the most efficient path to travel.",24
74,Random,Random,Center,Timer,Poor,No,Not to be an air traffic controller,None,65
75,"If I clicked on a node that was red, I clicked on the nodes going away from that node.","When I clicked on a node that would make money, I clcked on the nodes that would lead to that last node.",I usually would click to the right side or up.,I tried to go to nodes that were the last nodes in the path. I wouldn't be able to click anymore.,I tried to go around the web and not go towards the place from round to round.,It was hard in the trial phase for me to understand that to discover the value of the nodes you needed to click on nodes where you couldn't move anymore. I spent some time waiting for seconds to pass before I could continue.,"I learned that if the last node was green, I would probably earn money or break even.",I have no other comments.,58.
76,I simply chose my path based on the end node.,I tried to find a terminating node around $50 and worked towards it.,I decided on a fixed pattern and followed it.,When I found an end node at or near $50,"No, it was a simple strategy.",no,How to play a new game.,no,35
77,Tried not to click on the end nodes,Clicking on the end nodes,end nodes,When an end node of more than $40 appeared,get as much info as possible,Nope,"More information, the better",,42
78,Once I'd find a suitable pathway,Using strategy learned from the primer.,End of chain.,When I'd determined an acceptable pathway.,Near the end I was attempting to cognitively influence the results with my mind.,No.,Some sequencing concepts.,"Thanks and be well, let's help dismantle capitalism together friend!",34
79,I didnt click,I didnt click,I didnt click,I didnt click,"I remembered if the last path was good, and used it until it quit giving rewards, the explored other paths till I found another good one",no,exploration is a good thing. I dont peek,,55
80,Anything not an end node didn't seem to be worth clicking on.,"The end nodes were all I was interested in, since they had the highest values.  I also picked the top end nodes as I seemed to get the best values from those.",End nodes on the top.,If I found a value between 50 to 90ish.,"Basically try not to lose money, though that wasn't always possible.",Nope.  Was very easy to understand.,"That the game was harder than I thought it would be.  Seems simple, but it's a lot harder.  I'm actually surprised I made as much as I did.","Fun game.  Easy to learn, had to master.",36
81,When I saw the negative red numbers.,I decided to click end nodes.,Always at the top.,When I say a high green number.,"No, I just can't remember the correct answers to your quiz.","Yes, the quiz.",To keep practicing until you get the hang of it.,,65
82,"checked destinations first; if larger reward found, didn't keep clicking most of time",random searching,on the outermost nodes,when I identified 'larger' reward,learned not to spend too much clicking intervening nodes,"initially, the choosing highlighted nodes thing was a bit confusing.","Learned to search for target, not spend money on interval nodes",nope,66
83,I decided not to click in the middle nodes because it was costing too much to get to the end result,I clicked the last node of each area to know where the largest amounts were,in the lower left section,I stopped clicking when I found a range around $30 or more,I clicked the last nodes in each area despite it costing $1 each time because I usually regained that money back along the path.,no,It takes a risk to gain a higher reward,,43
84,I didn't click on the beginning steps because they were not worth it.,I clicked at the end points to see the biggest points.,At the end points of each line.,When I found a high score I felt was worth going.,That is all I could think of.,None.,That games are fun.,Thank you and have a great day!,30
85,I did not bother clicking on any circles besides the last step because the values were irrelevant.,I checked the last step circles and looked for the highest value.,I always began my search with one of the last step circles.,When I found a high enough number I stopped clicking and went to it.,I made a mistake on one of the trials and only got a +18 when +45 was available.,Nope,I learned how to play this game.,,36
86,Guessed and avoided areas of low end result,I guessed then went with highest overall,It varied,I guessed based on end value,no,no,Taking chances can be fun,,38
87,I didn't click any intermediate nodes - I knew they were less important than the ending nodes.,I checked the ending nodes for each area - and generally went to a node that had at least $40 in rewards.,Top rows - end nodes.,I stopped clicking when I found a value of at least ~$45-50,,No.,Not much.,,26.
88,I tried to avoid things that seemed negative more often,I just randomly chose,up,When i couldn't go anymore,no,no,Things were not the same,,19
89,"If a group of end nodes all had negative values, there was no need to click around there, since the end pay off would most likely be negative.","I clicked all end nodes to see the end amount you can earn. Then I moved inward from the highest paying end nodes to see if there was any downside to going there, and what the net payoff would be.","For me, was random. Tended to click starting near the left or top side.","When you were left with the best route, you can stop clicking. since the first couple of steps were low payouts or minimal losses, you didn't need to click those.","Since the cap was at $500, I became more loose with my clicking choices, and wanted to see if I was missing any special ""high pay"" nodes hidden between the end nodes.","The beginning ""tutorial"" section which made you wait if you didn't check a certain node was confusing and frustrating.","There wasn't a hard cap at $500. Aside from that, I learned that you can make the ""optimal"" decision without revealing the whole map. ","Interesting experiment, since there was a $ value involved and it felt like a game, I was more inclined to try and had more fun than I anticipated.",23
90,?,?,The outsides,?,n/a,n/a,n/a,n/a,31
91,It almost never seemed to make too much of a difference what the values on the way to the endpoints were.,I needed to see on what value did each path end.,On the end of each path.,Once I'd decided what ending got the highest payout.,"No, that's it.",Nope.,I suppose that there must have been a better strategy. I could have made a lot more had I not been so cautious in clicking on every possible end.,,28
92,"Once several negative numbers appeared in the cluster, I did not click on that cluster.","I looked for patterns within the clusters.  My clicks were mainly random, but if I felt drawn to one cluster based on the amount of positive numbers appearing, I would continue to click within that cluster.","I clicked on the bottom half initially, but I think my strategy was fairly random.","I stopped clicking when I reached a number higher than 20.  When I saw a number in the 100s, I realized that there could be higher numbers and felt like I clicked more instead of stopping when I reached a 20+ number.","I felt like things were too random to actually have a strategy.  For instance, when I thought I finally figured out a pattern, I would click and it would change my beliefs.",No,Trying to find a pattern in something is very difficult!,Thank you for allowing me to participate - that was fun!,31
93,the lowest value last step,based largely on where the most valuable last step was,bottom left,when I found a sufficiently high value spot,no,no,how to play the spider game,,35
94,The first nodes and mid nodes.,"I clicked on the last node values, because they were highest values.",The final nodes on each branch.,When I found a high value.,I tried my best to maximize the gains on the final nodes.,No.,How to maximize the profit I earned in the game.,,22
95,I didn't click on dots that wouldn't help me get the highest number at the end.,I checked the last dots where you end the game.,Always an end dot but randomly placed.,"If I found a value around 50, I usually stopped because they didn't get too much higher than that.",I just tried to not click on too many dots to where I would lose money.,No.,I learned the best dots to reveal.,none.,38
96,I didnt see the point of clicking on any node that wasn't a final stop.,"I checked the 5th degree nodes to see what had the highest amounts.  If there was something that seemed good early, then i just went to it to save the money.",One of the end nodes. ,Once I found a 5th degree node that seemed good then I gave up and went to it.  If it was only mediocre then i kept checking. ,Just ignore the smaller inside numbers and find the largest last number with the fewest number of clicks. ,no,"I learned that its not always the best to get all the info, sometimes that costs you more than just making a commitment would be. ","This was super fun, i'd play this as some sort of a mobile app or game if it was developed into a game of some kind. ",32
97,just guessed,just chance ,on the right side,when i hit a relatively high number,"just picked the higher spot
",at first it was,that i did pretty good ,that was fun,46
98,I didn't click on many nodes that were close to the spider. ,"After doing the testing, I clicked on the farthest nodes per the tutorial..",I always clicked on one of the final nodes looking for the highest amount.,I stopped clicking when I reached an amount that I felt was high enough and above a certain threshold.,"I clicked on the farthest nodes looking for anything above 30.  If nothing showed up on the first try, I clicked around again on the farthest nodes of each little block.",It was a pretty straight forward...so no.,That apparently my strategy was quite poor since I didn't even hit the average.,,42
99,Places where I felt I would fail.,Places where I didn't click yet.,Right. ,When I arrived to the end.,Just tried to click in the places where I hadn't click. ,Everything was perfect! ,I learn to play a new game.,Thanks for the survey! ,24
100,chance,chance,ends of each node,when I had identified the likeliest high node,pure blind luck,no,don't play with spiders,no,63
