,0,1,2,3,4,5,6,7,8
40,"Again, based off of the previous rounds, there seemed to be a pattern of where the negative nodes were.",I was basing my clicks on the patterns that I had noticed in the previous rounds.,The node right above the starting one.,When I had figured out what type of path I was going to take.,,No.,I learned that there are definitely patterns to be studied that can help you in a game like this.,,28
41,"Just when I found a 48, I usually stopped",I started with a random end each time,I think the bottom left,"when I found a 48, usually","really wasn't one, ",no,not sure,no,42
42,Randomly,Randomly,Where the high amount was in the last round,Once I uncovered the 48,Didn't really have a strategy,In the practice rounds it seemed like the time you had to wait was not based on anything I was actually doing. ,The best way to make the most money in the game,None,42
43,Eventually I realized that if one of the two outside values was 48 I didn't need to click the other on that path because the variable was the two immediate steps before it.,outside spots were the biggest value.  If there were two outside spots valued at 48 then I checked which path gave more,lower left corner,When I knew the most valuable path,it only evolved slightly after the training rounds.  I figured out 90% of my strategy in the training.,No,To think through the hypothesis.  It was also so worth getting a preview since the click only cost $1.00.  Gambling in these parameters didn't make much sense.,thanks!!,38
44,I tried not to go for lower than 48,I tried to go for the 48.,On the outer edges.,When I saw a path to the 48 or the 24 that was clear.,It was a game of chance.,No,I learned that it was hard not to sacrifice money to try to make money.,Interesting and fun.,57
45,I learned quickly that the first two steps don't matter.,I tried to find the highest ending value with the least amount of clicks.,The terminus of the top left route.,I decided when I found the maximum final reward.,"The order of the clicks was a random guess, the the training taught me that a high final payout could erase any penalties from the first two steps.","No, it was not.",I learned that it was best to sacrifice some cash in order to maximize the reward.,Good luck with your research!,41
46,I didn't click on the inside nodes because the training said to click on the outside highlighted nodes.,"I decided to click on the highlighted nodes at the end to see which would be the biggest number. Once I saw a +48, i went that way. ",the top and bottom nodes of each maze,as soon as I found the highest + number like +48 or +24,I was trying ti maximize my earnings by finding the highest positive value node I could end on. ,At first it was hard to know which nodes to click on and how many dollars I wanted to spend. ,I learned that I had to spend money to find the best path. The only time i ended up losing money was when i didn't click on nodes at all and just picked a path. ,"Thanks, this was fun and interesting!",34
47,If I found a +48 I didn't click anymore.,I just saw where the +48 was and followed that.,Outside boxes.,When I found a +48.,I just clicked the outside boxes until I found a +48.,Nope.,How consistent each round is.,no,29
48,tried not to start where I last ended up,random,random spots,when I would find the positive 48 or highest positive outcome.,it was fun :),nope,Not exactly sure what this survey was about. but it was fun,,28
49,guess work,just guess work,right arrow,came to end,tried same thing few times hoping to earn more,no,guess work does not work much,nothing,37
50,If the information available was enough to make a decision,"Randomly, usually starting on the left",Left nodes,If the information available was enough to make a decision,,No,Left nodes were usually better,,32
51,"If I clicked an outer node that was +/-24, I avoided clicking its opposite to save $1 and tried a different pair of outer nodes in search of a +48","I clicked an outer node first since it had the min or max point value. If the min or max was +/-24, I tried a different outer node till I found 48",I think I clicked the top outer nodes first most often.,"If I found a +48, I stopped clicking inner nodes because the path would always be positive in my favor by a lot","Once I found a +48, I stopped clicking and moved the spider. I never moved to an outer node if I wasn't sure of its value since $1 was a cheap way to avoid  a -24 or a -48",In the practice round I was confused about the hints it gave me regarding whether or not to stop clicking. It didn't seem to make sense.,Spend the $1 on node insurance,fun game. Thanks!,42
52,I didn't click any of the interim nodes.,I only factored in the final nodes and the cost of clicking.,the end nodes.,When I'd find the 48 dollar value.,I think I summed it all up above!,"In the beginning I kept getting an error telling me I was clicking the incorrect nodes. I thought I'd read the instructions, but it's possible I missed something.",Small sacrifices are worth the large payoff.,Nope!,27
53,using the previous stage,By thinking of the last level in the game, click most in the left side at beginning,decide by thinking about the steps and point i earn,I think this strategy of this game is about making the decision what to do next ,"Yes, i was confused a little when choosing which side i should go",I learn something about the decision making,No comments,28
54,The values of the final destinaion,The final destination,The final destinations,When i found the highest value,Once found the highest final destination would expose the route.,No,The most direct path can be not the most rewarding,none,28
55,When a path wouldn't lead to a high last number,"I chose based on what would get me to the highest end value I could find, because it would be the greatest net gain once I found a positive 48","I would always start with the ending points, because those showed where the highest net value would be",I would always stop clicking once I found the positive 48 (or the next highest number).,"I always clicked to show values, because it wasn't worth a risk to get a -48 on a round rather than just spending $1 to see what it was. ","No, the instructions were great and it was very straightforward.",It was worth it to spend a small amount to find out where your highest potential gain was. ,Interesting and fun HIT!,25
56,When I was able to find the $48 first,I tried to click the ends since that is where the $48 would appear,the ends,When I found the $48 i just moved the spider in that direction,,No,To pay attention to patterns,no,25
57,Didnt waste on the closer nodes,I picked the end nodes,Randomly on the ends,When I got a high number,"Just the ends, and not in the same spot as last time",Nope. Everything was easy,I learned how to get to the best outcome,Interesting and fun study,35
58,I finally figured this out during the training.  You have to click the nodes at the top first.  Then if they are less than 48 you can check  other nodes.,I clicked the nodes on the top ,The top right node,If the value the first node was 48 I would stop clicking if not then I would keep checking until I found one that was 48,"I just basically tried to click until I found a node value of 48, and then went towards that since it is the highest value.","At first it was hard to understand the game, so I did horrible.  The training helped me to finally understand how to play.","I learned which nodes I needed to click on without losing money.  I figured out you stopped when you found 48, and you could keep checking until you hit 48.",This was a really fun HIT.  I enjoyed playing this game.,41
59,I'd avoid the 2 directional ones and just focus on the branched ones.  If I found a +48 I'd stop clicking,I just figured I should keep a consistant patttern and started in the bottom right until I found a +48,Always started at the branch of the bottom right,If I found a +48 or the was done clicking the branch ones.,Just wanted to be consistent and figured averaged out would be better than trying to gamble on where to start clicking.,Could have explained in the tutorial you wanted us to click certain ones I just started going at it and got a timeout for a bit that was annoying.,I learned a bit about how this game works.,,25
60,I did not want to click on the first and second nodes because those values are too small to greatly affect the payoff.,Since the ending nodes had the bigger losses and rewards I wanted to reveal them. ,The last node. I did not have a preference for which last node to pick.,"When I saw the highest value you can get, 48 then I decided to take the move. I did not want to waste more dollars.",,No.,Not much.,,24
61,If there was a big negative amount.,Tried to unveil the $48 slot and go from there. ,Nowhere in particular.,Stopped at the last spot where the $48 was or $24.,"My strategy was very random, dependent on the unveiling.",No.,How to use more strategy over time.,Thanks.,31
62,when i used the reveal nodes i tried avoiding going any direction that started negatively,tried to click where i felt like i could make money,wherever the highest value green was,i didnt stop i kept hoping for the best,i didnt really have a strategy other than going where i felt like i could make the most. i failed miserably tho,no,not to press my luck,no,37
63,The first steps didn't matter too much because it was such a small loss or win.,I was mainly interested in the last step because that resulted in a higher loss or payoff.,At the last nodes.,When I have found the $48 reward or $24 if there was no $48.,N/A,N/A,N/A,,28
64,I didnt click the middle ones,The end ones were the most value,The last button,When I found the highest number,No,No,Nothing,No,35
65,I only clicked in the far corners where the highest values were located.,Based on where the 48 point numbers appeared most frequently,The sides,"After I found a 48, then I would stop clicking.",I tried to click on the spaces where 48 which seemed to be most frequently to the sides.,no,I learned that it was better to pay the $1 to find the path with the highest amount of $.,,36
66,eventually learned clicking on the first ones wasn't worth,Since you could only go one way and the first node was always less eventually I would just click on the one farthest out,the first ones,once I had a good feeling about where to,the $1 clicks were worth getting more,no,that it was actually pretty easy- but it took me awhile,fun!!!,38
67,I tried to avoid the red ones at first,I don't know,the left bubble,Whenever there was a green number,At the end I stopped using the hints because I was doing bad no matter what and I didn't want to waste the dollar,no,I learned that even if a node branch started green it would not end green ,,33
68,I didn't waste clicks on the low scoring ones.,I clicked on the final step because they either gave or took the most,The final step.,Once I found the $48,I clicked until I found the $48 and went in that direction,The question asking how much the range for the first step was. I didn't know if it was referring to the very first step you make in the spider game or to the first step of the survey (the practice round).,To go for the bigger prize,,23
69,I lost a lot of money just checking the first nodes,I realized it was worth my while to check the furthest out nodes because I wanted to guarantee I'd come out ahead,The outer node on the right,"If I found a green 48, or checked 1 out of each of the 3 outer nodes",That about sums it up. Try to find the green 48 with the least amount of clicks,"No, it was very clear, it just took a few rounds to come up with a strategy",Nothing?,Thank you for the opportunity to participate! Best of luck in your research,28
70,Lowest reward amounts,Highest reward amounts,Upper column,Once I found the highest reward,n/a,n/a,Not to accidentally click towards negative numbers,thanks!,34
71,Thinking there was a pattern to the negative amounts,I was trying to remember where the $48 was.,random,When there were no more spiders.,wish i would have thought to click backwards.,"no, instructions and training round was helpful","nothing, but it was interesting",,68
72,If there is a 48 at the end of one path I wont check the other node at the end of the same path,"I start on the outsides, if there are multiple 48s on different paths I check which path earns more",The last node in the paths,"If there is only one of the highest number on the outside paths I stop and go there, otherwise I stop when I've revealed the paths to the highest numbers.",If multiple paths have the largest number at the end I check which one earns the most on the path towards it,N/A,A method of establishing an algorithm to solve a problem ,N/A,25
73,lowest possible number,Highest positive number,to the left,gut feeling,na,na,be more strategic,,42
74,Stay away from the red,When I found a 48 I would go there immediately.  Just did everything I could to get as much green as possible,Bottom left corner,When I found a positive 48 or I did not find a positive 48 in the last nodules,"no, just try to make as much as possible",Nothing was.,I honestly didn't learn anything other than how to operate the game,I hope we can be allowed to do this again in the future or another version of it.  Maybe next time allow us to go backwards and change our moves for a fee instead of revealing the value of a nodule,30
75,The space in the middle of the spider and the end. ,"I figured out that the high amounts were at the ends, so I looked at those and the ones on either side of the spider to decide which way to go. ",Left or right of the spider. ,When I ended on a positive. ,I tended to go left or right because I did better than when I started up. ,No,A new fun game. ,"No, thank you. ",43
76,I chose at random.,I chose at random.,The top node on the far right side.,Usually after I spent a couple of dollars because I didn't want to spend too much.,I didn't really have one.,Not really.,I'm not sure.,None.,30
77,I clicked only on ends,I tried to catch patterns,At the end to the left of the last end that had a green value.,I went for the highest payoff in green generally,"No, but I should have paid closer attention to any explained values and the order that they were displayed in.","No, except that I didn't pay close attention to any patterns that were told to me before I started the test rounds.",I learned to be observant of patterns for high values.,Thank you!!,47
78,using inspector,Using inspector,the outer nodes,when i found 48,no,no,Nothing,no,28
79,The in between spots.,"At first I thought I could only click the surrounding blocks from the first originating point so would just click all of them around me and go the route of 2 or 4, but then I noticed I could click the others so by near the end I was clicking each end node (the one that could be potentially  48 or -48) because even if it cost 8 dollars to figure out it was a guaranteed 48(40 net) back.",The further points where you can get 48 or -48,When I saw 48,,"Yes, at first I thought I could only click on the immediately surrounding boxes to the starting point to open them to see.",Nothing,,29
80,process of elimination,just using instinct,a the node where I could achieve the most moves,not sure,It was difficult to have a strategy since the choices were coming up fast and I didn't have a chance to check for consistencies,not at all,This was similar to gambling,,64
81,random order,random order,"Didn't matter, since I was going to reveal all of them",I just revealed all of it; I didn't think saving money that way mattered.,no,,,,
82,I would not click on the upper right first unless it ha already been a gree.,"I would always start where I just had , had a green positive number. ",At the last green number,as soon as I ran across a positive number a green number.,nope ,no,I need to do this again and earn more money.,na,43
83,NEG END,PAID FOR CORNER NODE,CORNER,CORNER,NO,NO,NOTHING,,41
84,Guessed,Just guessed,Somewhere near the top,When I found a positive value or knew that there were only positive values left. I couldn't find a pattern,Truly could not figure one out,No,That I'm a terrible guesser in this task,none,21
85,I never clicked the nodes that were not on the ends,found the two nodes opposite to find their pattern,far right top node,after I figured out if the pattern was identical or mirrored,"nothing, just trying to figure out the pattern in the least amount of moves",no,how follow a pattern,,33
86,The first couple of nodes didn't really matter,The last nodes were the most important,The last nodes,When I saw a 48,none,none,Finding optimum strategy,,28
87,It was random.,I randomly clicked the last nodes until one revealed the highest amount.,It was any random last node.,I stopped if one revealed a green $48,There wasn't much of a strategy. I followed the training session tips.,No,To not be too greedy exploring all the nodes as that would cost more.,No,31
88,When there were too many negative factors.,"It took me awhile to catch on. I clicked the ends first to see what had the best option. If a green 48 popped up, then I knew to possibly click other bubbles to see how to get there.",On an outside corner.,When I saw a green 48.,"Clicking to see the highest green number, if I got a 48 on the first try, then click others around to see if I could get there without losing all the money. ","I was confused at first during the trial run, because I felt like no matter what I clicked on I was doing something wrong. I misunderstood at the beginning and thought you could only click on one bubble for the entire round, but I figured this out later and then I understood a lot better. ",To be a little more patient when learning the trial round. ,,35
89,Anything other than the last node was irrelevant.,I clicked at the last circle on the line to find the 48,Bottom right-most circle.,"As soon as I found a 48, I would stop clicking.","I would usually click the last circles of each line until I found a 48.  As soon as that happened, I would send the spider along that path.  It was always better to click on the last circles to make sure you didn't land on a big negative space.",No,I learned a quick and easy game about making choices based off of a quick cost analysis.,Fun activity.  Thanks.,33
90,I knew not to click on the inner circles because they were not worth that much.,I found it best to click on the circles on the outside because they were worth the most money.,I tried to click on an outer circle that had the highest dollar amount the most times.,I stopped clicking once I found a circle with the highest known dollar amount on it.,I followed my gutt instinct.,Not at all,I learned that you can guess correctly more times if you try and focus on the odds of where the good dollar amounts appeared most of the time.,simple and straightforward,34
91,I decided not to click on the lesser valued nodes.,I checked the corners first because I learned that they had the highest amounts. From there it was random.,I think the top left corner.,When the amount I was looking for was found or the next best.,Only tried to make the most.,"At first I misunderstood why I had to wait all those seconds even after I read the message that came with it, but it was not confusion, but lack of understanding initially.",I learned to checked the corners first and only because that's where the highest amounts were and they mattered the most.,Very nice game and a great change of pace from the usual.,36
92,i didnt it was random,just random choice,to the right,at the last step,"no, it was random",no,nothing,no comments,44
93,Where the negative number was at the end.,"I tried to see if there was a pattern sometimes, but that wasn't always true.",In the corners.,When I had an idea that the end number would be positive.,No.,No.,How to create a strategy to earn money.,No.,39
94,Avoid the negative last stage. ,I eventually looked for 48s and beelined toward them. ,The last stage. ,Stopped looking at near tiles when the game became clear to me. ,"Confused at first, then looking for 48s.",No. ,Go for 48s. ,,37
95,"The first steps wouldnt be very valuable to click, since it wouldnt help with what the final node would be.",I tried to find the ending nodes with 48.00,The final nodes,"Once I found 48 I would stop. If I clicked a few without finding 48, I would go towards the highest",I didnt get a strategy until after a few rounds,No,The end result is most valuable,no,30
96,"If both legs on the outter-most were negative, that path was a dud so you ignore it.",Check the outter-most first to find a 48 or highest positive value.,Bottom right,When you find the highest positive value.,"If you find a 48, just go for it otherwise you're losing money with each click. I messed up one round and thought the path lead to a positive but I had mis-remembered and was rushing. Outside of that instance, this was my strategy.",Negative.,Not specific to the game: double check your path. Specific to the game: the best route will usually end with the highest available reward so take it once you've found it.,Very interesting. Thank you for the opportunity!,35
97,I didn't click on the first or second steps.,I clicked on the end steps and did so randomly.,The end step on the left or right side.,I stopped clicking once I found 48 because that was the highest amount.,There's not much else.,It was confusing at first knowing which one to click.,I learned how to use it correctly.,,23
98,I just clicked randomly,I just started clicking randomly as the game went on.,Random,When the round was over?,No,No,Nothing,,31
99,"If large sum was already determined, clicking inner nodes was inconsequential",Outside first to determine where large sum was,outer node on bottom right,when best large sum was discovered,I  was consistent in my starting location.,no,unsure,no,32
100,I never clicked an inner node,I just picked the firsst one at random and then went clockwise,The outermost node at the upper left,when I found the +48,"find the 48, go from there",no,How to play the same,,37
101,,,,,,,,,
102,,,,,,no,nothing,,30
103,didn't bother with the small amounts.,looked for the 48,at the ends,When I found the 48,That sums it up,No it was clear,That finding the good end nodes cost a bit,"The game claimed to be able to pay out up to 5$ bonus, I don't see how this is possible considering the amount of trials and point values.",28
104,"I went in order, so I didn't click if I already found a satisfactory route, hopefully with +48 at end.",I just clicked close to the spider first to see one route through.,Near the spider.,I stopped clicking when I found a route with +48 at the end.,"I checked out a whole route first, left, right, or top. In retrospect I should have checked the last nodes first.",No,I learned to check the final destination first before going through.,,26
105,negative number,where the end is,top node,if a path looks good,path that ends in a positive integer,no,lower number sometimes netted more,NA,20
106,front values were always lower,the bigger end points,bottom right,once green,try to go for higher,no,go with positive value ,none,26
107,I did not click when the path seemed to be red or negative. ,I clicked wherever the path seemed to be green. ,"Most likely to click going up ladder, or wherever first green box was located. ","I stopped clicking, once money was calculated. ","I tried to follow a path, wherever the green squares would lead me. ",Easy to understand,I learned to stay with my pattern. ,,52
108,Follow the arrows if there is no arrows then you can't go ,I just followed the arrows,either to the left or right or up or down ,when there is no more arrows ,No ,no ,Which direction to go ,,39
109,I didn't click on nodes if the two last nodes were both negative or lower value.,I clicked on the last nodes to find the one with the highest value and then narrowed down if there two or more were the same.,"One of the last nodes, I just chose randomly.",When I found one at $48,If I found a $48 node I just went there without much further investigation because that would have cost $1 per node.,No,How to balance spending with earning.,,28
110,"when i was clicking the final nodes to reveal, i tried t do one on each path first- so i didnt click the one on a path that i did click","first clicks i choose randomly, but towards the end if i found the positive 48 then i just went for it.",top path- right node,when i found the positive 48 or clicked all the final nodes,"not really, i learned from the practice and tried to use what I learned. but i flet towards the end i was losing some clicking more noes after finding a positive 48 so i would chance it.",no,as in knew knowledge? that Mturk task can be fun.,very fun!,42
111,On negative nodules,"If the end nodule had a decent $ amount, that was where I took the spider",Bottom left,I figured 24 was enough for me. ,"I settled for 24 most times, because I didn't think it was worth chasing to see if there was a 48","No, it was easy",I don't know,,33
112,When the negative number was high,I just clicked randomly ,I don't know ,When i was satisfied with the number ,no ,no ,To look at all my choices before making a choice,,26
113,I checked the nodes first,I checked the nodes first to see what would be more profitable,the upper node on the left side,The arrows stopped me,Apparently it wasn't good because I didn't even hit $1000,Not sure,I learned that I needed to try to follow the highest money ,,44
114,If I saw a negative score in that region.,Based on the score of the last node.,No I was not more willing to click at the beginning. ,After I had made up my mind about the node I wanted.,I was able to decipher which route would result in the best outcome for me.,No!,How to make the right choice based on using a proper strategy. ,Thank you!,29
115,i didn't click if i already found the highest number,the end values,the end points,when i found the highest number,n/a,no,how to check,n/a,32
116,i tried to go left if i kept getting negative on the first two nodes,"whichever way I went if i won more money, i went back and click the opposite. ",took turns,the game stopped it,nothing really,no,2 negatives seemed to get me a 3rd negative,,49
117,The nodes on the path towards negative nodes,The last nodes that you would land on first,The last nodes in the sequence,When I found a positive 48,Click on ending nodes until you find 48,No,You have to determine how much you want to spend on clicks in order to lower risk,,21
118,Trial and error,It was random until the last 4 stages when I kind of figured it out.,Most likely to my right.,I didn't,It was a learn as you go method,"Yes, the entire game until the end.",I should have gone to the left more often,It was a fun game after you figured the method.,46
,,,,,,,,,34.71551724
,,,,,,,,,9.820835026
,,,,,,,,,68
,,,,,,,,,20
