responses,rt,time_elapsed,trial_type,pid
"{""Q0"":""no"",""Q1"":""42"",""Q2"":""stinks you don't know the value of the nods till you click them and they changed each time""}",42467,716220,survey-text,10
"{""Q0"":""I'm guessing but when I go in one direction and hit on all bad nodes, I try and go in another direction."",""Q1"":""When a direction I just went on had all negative nodes."",""Q2"":""When it would not let me go any further."",""Q3"":""Right"",""Q4"":""Just not worry about the first click in hopes that the following 2 would make up for it.""}",129081,654141,survey-text,11
"{""Q0"":""Nothing. It seems like a game of chance."",""Q1"":""53"",""Q2"":""none""}",42977,698136,survey-text,11
"{""Q0"":""I tried to make my first move a winning move so I would first click one node away from the start point"",""Q1"":""I never tried to click on any of the end nodes first. I would try and click out a profitable path first and if I found that path I would stop clicking."",""Q2"":""I would stop clicking if I had found a profitable first move or if I had clicked 3 times. "",""Q3"":""I was more likely to click the left node, then the left node, then the node up from that. "",""Q4"":""After I started suffering major losses I figured I had nothing to lose so I started moving and clicking randomly and it ended up sort of working as i ended up breaking even. ""}",318887,1084911,survey-text,12
"{""Q0"":""No, everything was straightforward and clear. "",""Q1"":""24"",""Q2"":""This was a fun survey to take part in!""}",38909,1124825,survey-text,12
"{""Q0"":""A possible path to earn money."",""Q1"":""A history of negative money\""move.\"""",""Q2"":""I did it randomly."",""Q3"":""To the right."",""Q4"":""no""}",119383,594426,survey-text,13
"{""Q0"":""no"",""Q1"":""39"",""Q2"":""no""}",15890,611374,survey-text,13
"{""Q0"":""The immediate spots where I could move first"",""Q1"":""The spots that I could not move to first"",""Q2"":""I only clicked once per trial"",""Q3"":""The spot above the spider"",""Q4"":""I went with gut feeling""}",72031,543786,survey-text,14
"{""Q0"":""No"",""Q1"":""30"",""Q2"":""n/a""}",15564,560374,survey-text,14
"{""Q0"":""chose what gave me profit"",""Q1"":""high neg values"",""Q2"":""once a profit path was found"",""Q3"":""the right side"",""Q4"":""just click until profit path is available""}",53425,1130100,survey-text,15
"{""Q0"":""no"",""Q1"":""27"",""Q2"":""no""}",11050,1142154,survey-text,15
"{""Q0"":""Next move"",""Q1"":""Where I knew I wouldn't go"",""Q2"":""When I found a good path"",""Q3"":""first spot"",""Q4"":""Nope""}",27194,574580,survey-text,16
"{""Q0"":""No"",""Q1"":""34"",""Q2"":""Thanks""}",6796,582379,survey-text,16
"{""Q0"":""Started on inside"",""Q1"":""Stay away from negative branches"",""Q2"":""Seemed like I had enough ingo"",""Q3"":""Inner nodes"",""Q4"":""NA""}",33802,732129,survey-text,17
"{""Q0"":""no"",""Q1"":""31"",""Q2"":""no""}",8328,741485,survey-text,17
"{""Q0"":""Tried to follow positive numbers."",""Q1"":""Stayed away from starting off on the negatives."",""Q2"":""Once i've gotten in the green enough."",""Q3"":""Towards the green."",""Q4"":""At times i just had to go in randomly.""}",162486,782736,survey-text,18
"{""Q0"":""It was pretty straight forward."",""Q1"":""30"",""Q2"":""None""}",60045,843791,survey-text,18
"{""Q0"":""I started randomly with one move away.  If it was positive, I would click on the ending spot.  If it were positive, I went there. If my first click (which was either right, left or up) were not positive, I would click one of the directions left.  If that were positive I would choose one of the two ending spots there.  If I didn't' like the first ending spot, I would click the second.  I didn't put much value into my second move."",""Q1"":""I didn't click on the second node I would go to.  Didn't seem like that one mattered.  If I could get a positive first node and positive third node, then it doesn't matter what the second node was."",""Q2"":""If I was happy with the final node and first node, that was my route.  I think my first node being happy was the most important decision."",""Q3"":""The node to the right of the first move."",""Q4"":""Click node 1.  If happy, click node 3.  If happy, go there.  If unhappy with 3, go opposite direction.  If unhappy with node 1 click different node 1 and follow same strategy.  If unhappy with second first node, click final first node.  Follow strategy choosing final node.  Once a route was identified with 2 positive amounts, go that way regardless of what is in middle move.""}",311634,1103377,survey-text,19
"{""Q0"":""No, this was a pretty fun game to play.  I was actually a little bummed when it ended."",""Q1"":""33"",""Q2"":""None.""}",50178,1154564,survey-text,19
