,0,1,2,3,4,5,6,7,8
16,I didn't bother backtracking from nodes with negative or small values.,I started at the ends and on finding a reasonably high value I worked my way back.,"On an end tile, often in the lower right for no particular reason. ",When I had a safe path to a decent node.,"I started just checking every possible end node, but I soon realized I would max out my bonus without doing so I settled for anything that would result in over about 30 gamebux so I'd have some extra in case I got surrounded by like -100 nodes or something. ",The bonus payment scheme was a bit confusing and I'm not sure I remembered it because that seems lower than I thought but w/e it's fine,I have no idea! ,"Nope, thanks! ",29
17,Random,Random,Center,Timer,Poor,No,Not to be an air traffic controller,None,65
18,I decided not to click in the middle nodes because it was costing too much to get to the end result,I clicked the last node of each area to know where the largest amounts were,in the lower left section,I stopped clicking when I found a range around $30 or more,I clicked the last nodes in each area despite it costing $1 each time because I usually regained that money back along the path.,no,It takes a risk to gain a higher reward,,43
19,I didn't click on the beginning steps because they were not worth it.,I clicked at the end points to see the biggest points.,At the end points of each line.,When I found a high score I felt was worth going.,That is all I could think of.,None.,That games are fun.,Thank you and have a great day!,30
20,Guessed and avoided areas of low end result,I guessed then went with highest overall,It varied,I guessed based on end value,no,no,Taking chances can be fun,,38
21,I tried to avoid things that seemed negative more often,I just randomly chose,up,When i couldn't go anymore,no,no,Things were not the same,,19
22,It almost never seemed to make too much of a difference what the values on the way to the endpoints were.,I needed to see on what value did each path end.,On the end of each path.,Once I'd decided what ending got the highest payout.,"No, that's it.",Nope.,I suppose that there must have been a better strategy. I could have made a lot more had I not been so cautious in clicking on every possible end.,,28
23,first stages,last ending points,the end points right side,once i found a high value,not really,no,go for the highest,none,26
24,i usually did not click the first step,i clicked on mostly end nodules,the end nodules,when I found a large enough green number at the end,went the route to the largest end nodule,no,I learned that I there was rarely a route without red numbers,no,60
25,where i would lose money,Random,random,when i came up with a decent positive amount,just the first node with a decent amount is when i stopped clicking,none,that nothing in life is free ,none,27
26,I didnt click on nods within the web ,I clicked at the ends of the web,the sides of the web,When I received a high number node,no ,no,games are fun when money is invovled ,,29
27,,,,,,,,,
